blue_win_percentage,red_win_percentage,team_win,team_pred
9.699779500820966,90.30022049917903,0,0
92.45585110184985,7.544148898150155,1,1
91.80506124861931,8.19493875138069,1,1
66.23931625434423,33.76068374565577,0,1
13.812037404435365,86.18796259556464,0,0
14.320951116634074,85.67904888336592,0,0
63.471014547255145,36.528985452744855,1,1
82.32184784720474,17.678152152795263,1,1
98.28954497967595,1.7104550203240478,1,1
97.49574086772505,2.504259132274953,1,1
19.7877958721176,80.2122041278824,0,0
71.08296594797584,28.917034052024164,1,1
45.271108763106014,54.728891236893986,1,0
94.48661929837415,5.513380701625849,1,1
72.32440112405516,27.675598875944843,0,1
70.54548482408073,29.45451517591927,0,1
95.6861084715276,4.313891528472396,1,1
62.76564205103761,37.23435794896239,0,1
31.17488068320734,68.82511931679267,0,0
19.927080418030283,80.07291958196971,0,0
41.20113136626975,58.79886863373025,0,0
93.23978506541269,6.76021493458731,1,1
2.7304741930704775,97.26952580692952,0,0
60.46213314424589,39.53786685575411,1,1
77.79242822707184,22.207571772928162,1,1
29.36478994976023,70.63521005023978,0,0
10.806186511029976,89.19381348897002,0,0
9.15022284900119,90.8497771509988,0,0
58.49599675118738,41.50400324881262,0,1
62.02319605082294,37.97680394917706,0,1
20.491073769066528,79.50892623093347,0,0
20.181091144558692,79.81890885544131,1,0
43.97167536659891,56.02832463340109,1,0
28.246254676507064,71.75374532349294,0,0
14.760943649004366,85.23905635099564,0,0
86.00809179816964,13.991908201830356,0,1
47.98399066797628,52.01600933202372,0,0
76.65557929858757,23.34442070141243,1,1
16.15022148330987,83.84977851669012,0,0
60.184269445092895,39.815730554907105,0,1
44.77269886358094,55.22730113641906,1,0
51.53884416794347,48.46115583205653,0,1
12.910265135088645,87.08973486491135,1,0
85.39056213176785,14.609437868232149,1,1
81.0472512004148,18.952748799585194,1,1
38.88258523408023,61.11741476591977,0,0
64.62057520216379,35.37942479783621,0,1
59.687743391671134,40.312256608328866,1,1
91.6573969218442,8.342603078155804,1,1
39.99146511280702,60.00853488719298,0,0
13.947281182911247,86.05271881708876,0,0
55.03912322345579,44.96087677654421,1,1
64.64152791818736,35.358472081812636,1,1
33.049555335151354,66.95044466484865,0,0
34.38701687307377,65.61298312692622,0,0
