top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,top_blue_lane,top_blue_role,top_red_lane,top_red_role,jung_blue_lane,jung_blue_role,jung_red_lane,jung_red_role,mid_blue_lane,mid_blue_role,mid_red_lane,mid_red_role,ad_blue_lane,ad_blue_role,ad_red_lane,ad_red_role,support_blue_lane,support_blue_role,support_red_lane,support_red_role
Tryndamere,Volibear,Jarvan IV,Kindred,Cassiopeia,Vel'Koz,Caitlyn,Lucian,Thresh,Milio,-8942.0,red,-1,2.0,2.0,-11.0,-8.0,-2.0,-3.0,-5.0,top,Fighter,top,Fighter,jungle,Tank,jungle,Marksman,top,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
Illaoi,Sion,Taliyah,Graves,Vladimir,Orianna,Xayah,Vayne,Rell,Pyke,-3932.0,red,0,1.0,0.0,0.0,-1.0,2.0,0.41999999999999993,-7.0,top,Fighter,top,Tank,jungle,Mage,jungle,Marksman,top,Mage,mid,Mage,adc,Marksman,top,Marksman,support,Tank,support,Support
Warwick,Jayce,Nunu & Willump,Viego,Yasuo,Yone,Caitlyn,Draven,Zyra,Milio,-947.0,blue,0,-1.0,0.0,5.0,-2.0,1.0,-3.0,-3.0,top,Fighter,top,Fighter,jungle,Tank,jungle,Assassin,top,Fighter,top,Assassin,adc,Marksman,adc,Marksman,support,Mage,support,Support
Sion,Jayce,Kha'Zix,Lee Sin,Zilean,Orianna,Miss Fortune,Kai'Sa,Xerath,Veigar,5896.0,blue,1,-2.0,-1.0,-3.75,10.33,5.67,6.29,3.29,top,Tank,top,Fighter,jungle,Assassin,jungle,Fighter,mid,Support,mid,Mage,adc,Marksman,adc,Marksman,mid,Mage,mid,Mage
Gragas,Urgot,Kindred,Elise,Galio,Pantheon,Jinx,Aphelios,Nautilus,Nasus,-7953.0,red,-2,2.0,1.0,-2.5,-5.0,-7.67,-0.050000000000000044,-7.8,top,Fighter,top,Fighter,jungle,Marksman,jungle,Mage,mid,Tank,top,Fighter,adc,Marksman,adc,Marksman,mid,Tank,top,Fighter
Vladimir,Zed,Evelynn,Taliyah,Nautilus,Zeri,Nilah,Ornn,Darius,Blitzcrank,2970.0,red,-1,-1.0,0.0,-0.33000000000000007,0.10000000000000009,7.0,1.67,0.0,top,Mage,top,Assassin,jungle,Assassin,jungle,Mage,mid,Tank,adc,Marksman,adc,Fighter,top,Tank,top,Fighter,support,Tank
Jayce,Renekton,Nidalee,Lee Sin,Nautilus,Katarina,Lucian,Ezreal,Nami,Karma,3419.0,blue,-1,1.0,0.0,0.0,0.0,4.5,1.5,2.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Fighter,mid,Tank,mid,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Mage
Camille,Tahm Kench,Jarvan IV,Trundle,Vladimir,Fizz,Jinx,Jhin,Nami,Lux,2522.0,blue,0,1.0,0.0,1.0,3.0,4.0,3.0,5.33,top,Fighter,top,Support,jungle,Tank,top,Fighter,top,Mage,mid,Assassin,adc,Marksman,adc,Marksman,support,Support,mid,Mage
Gragas,Sion,Talon,Xin Zhao,Lissandra,Singed,Jinx,Varus,Senna,Zilean,-278.0,blue,1,0.0,0.0,1.0,1.5,-1.0,-7.5,-8.67,top,Fighter,top,Tank,jungle,Assassin,jungle,Fighter,mid,Mage,top,Tank,adc,Marksman,mid,Marksman,support,Marksman,mid,Support
Shen,Sion,Zed,Kha'Zix,Ahri,Sylas,Senna,Vayne,Kai'Sa,Lulu,529.0,red,-1,1.0,0.0,0.5,-4.25,-7.5,1.5,4.67,top,Tank,top,Tank,top,Assassin,jungle,Assassin,mid,Mage,top,Mage,support,Marksman,top,Marksman,adc,Marksman,support,Support
Olaf,Shen,Ekko,Udyr,Neeko,Zoe,Vayne,Kai'Sa,Alistar,Thresh,5874.0,red,1,2.0,-3.0,2.25,4.0,7.33,-7.0,-4.67,top,Fighter,top,Tank,jungle,Assassin,top,Fighter,jungle,Mage,mid,Mage,top,Marksman,adc,Marksman,support,Tank,support,Support
Jayce,Ornn,Jax,Viego,Sylas,Orianna,Caitlyn,Kai'Sa,Lux,Soraka,-7372.0,red,-2,2.0,1.0,-2.67,-9.67,-0.8300000000000001,-7.0,-8.0,top,Fighter,top,Tank,top,Fighter,jungle,Assassin,top,Mage,mid,Mage,adc,Marksman,adc,Marksman,mid,Mage,support,Support
Darius,Sett,Jinx,Rengar,Katarina,Talon,Kindred,Karthus,Milio,Senna,4721.0,blue,2,1.0,0.0,-0.33000000000000007,3.14,6.0,1.13,11.33,top,Fighter,top,Fighter,adc,Marksman,top,Assassin,mid,Assassin,jungle,Assassin,jungle,Marksman,jungle,Mage,support,Support,support,Marksman
Olaf,Garen,Master Yi,Kindred,Sylas,Ahri,Zeri,Seraphine,Janna,Bard,-2080.0,red,0,-1.0,0.0,-2.0,-1.5,-3.0,-2.0,-5.25,top,Fighter,top,Fighter,jungle,Assassin,jungle,Marksman,top,Mage,mid,Mage,adc,Marksman,adc,Mage,support,Support,support,Support
Irelia,Sion,Rek'Sai,Ekko,Jinx,Akshan,Twisted Fate,Ezreal,Milio,Taric,580.0,red,2,2.0,0.0,2.5,-4.0,-5.67,2.5,-1.53,top,Fighter,top,Tank,jungle,Fighter,jungle,Assassin,adc,Marksman,top,Marksman,mid,Mage,adc,Marksman,support,Support,support,Support
Jayce,Kai'Sa,Wukong,Xin Zhao,Gragas,Gwen,Varus,Xayah,Lulu,Zilean,7526.0,blue,2,-1.0,-1.0,8.83,5.67,1.5,-0.33999999999999986,-5.0,top,Fighter,adc,Marksman,top,Fighter,jungle,Fighter,top,Fighter,top,Fighter,mid,Marksman,adc,Marksman,support,Support,mid,Support
Camille,Ornn,Zed,Kha'Zix,Cassiopeia,Gragas,Zeri,Yasuo,Karma,Alistar,-4825.0,red,-2,1.0,1.0,3.0,1.0,-3.75,-4.0,-8.8,top,Fighter,top,Tank,top,Assassin,jungle,Assassin,top,Mage,top,Fighter,adc,Marksman,top,Fighter,support,Mage,support,Tank
Irelia,Nasus,Kindred,Olaf,Ahri,Vladimir,Xayah,Kai'Sa,Rakan,Taric,3620.0,blue,2,1.0,-1.0,2.0,1.67,-0.5,-4.33,0.0,top,Fighter,top,Fighter,jungle,Marksman,top,Fighter,mid,Mage,top,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
