top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,top_blue_lane,top_blue_role,top_red_lane,top_red_role,jung_blue_lane,jung_blue_role,jung_red_lane,jung_red_role,mid_blue_lane,mid_blue_role,mid_red_lane,mid_red_role,ad_blue_lane,ad_blue_role,ad_red_lane,ad_red_role,support_blue_lane,support_blue_role,support_red_lane,support_red_role
Kled,Malphite,Lillia,Olaf,Yasuo,Sylas,Zeri,Caitlyn,Milio,Maokai,9038.0,blue,2,-1.0,-3.0,0.0,12.4,-3.0,11.67,3.4,top,Fighter,top,Tank,jungle,Fighter,top,Fighter,top,Fighter,top,Mage,adc,Marksman,adc,Marksman,support,Support,top,Tank
Ornn,Jax,Rengar,Kha'Zix,Katarina,Kassadin,Jinx,Kalista,Pyke,Alistar,4860.0,red,2,-2.0,-3.0,2.83,0.5,-1.0,1.0,-2.0,top,Tank,top,Fighter,top,Assassin,jungle,Assassin,mid,Assassin,mid,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Tank
Milio,Jayce,Zeri,Zed,Ornn,Karthus,Kha'Zix,Kayn,Malzahar,Zilean,4552.0,blue,0,-1.0,0.0,1.5,-0.16999999999999993,1.0,0.6699999999999999,2.0,support,Support,top,Fighter,adc,Marksman,top,Assassin,top,Tank,jungle,Mage,jungle,Assassin,top,Fighter,mid,Mage,mid,Support
Ornn,Udyr,Hecarim,Sylas,Fizz,Renekton,Samira,Vayne,Alistar,Blitzcrank,-608.0,blue,1,0.0,0.0,-1.5,0.5700000000000001,1.0,-0.8300000000000001,-3.83,top,Tank,top,Fighter,jungle,Fighter,top,Mage,mid,Assassin,top,Fighter,adc,Marksman,top,Marksman,support,Tank,support,Tank
Malphite,Mordekaiser,Zac,Gragas,LeBlanc,Tristana,Sivir,Jinx,Milio,Lulu,-6015.0,red,-2,1.0,2.0,2.0,-5.0,0.0,-5.5,-6.0,top,Tank,top,Fighter,top,Tank,top,Fighter,mid,Assassin,mid,Marksman,adc,Marksman,adc,Marksman,support,Support,support,Support
Singed,Cho'Gath,Graves,Hecarim,Katarina,Fizz,Tristana,Samira,Alistar,Pyke,-5084.0,red,-2,-1.0,0.0,0.9199999999999999,-1.42,-1.0,-5.75,-10.0,top,Tank,top,Tank,jungle,Marksman,jungle,Fighter,mid,Assassin,mid,Assassin,mid,Marksman,adc,Marksman,support,Tank,support,Support
Rumble,Jax,Jarvan IV,Bel'Veth,Sylas,Yasuo,Varus,Kai'Sa,Brand,Milio,3634.0,red,0,-2.0,-1.0,7.67,1.25,-1.67,3.0,1.0,top,Fighter,top,Fighter,jungle,Tank,jungle,Fighter,top,Mage,top,Fighter,mid,Marksman,adc,Marksman,support,Mage,support,Support
K'Sante,Karthus,Gragas,Kha'Zix,Fizz,Pantheon,Kog'Maw,Twitch,Lulu,Karma,-8771.0,red,-1,2.0,1.0,-1.5,-4.0,-1.5,-6.33,-5.5,top,Tank,jungle,Mage,top,Fighter,jungle,Assassin,mid,Assassin,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Mage
Yone,K'Sante,Sejuani,Hecarim,Cassiopeia,Lissandra,Sivir,Aphelios,Thresh,Alistar,5556.0,blue,-1,-2.0,0.0,0.0,10.0,1.0,4.5,10.5,top,Assassin,top,Tank,jungle,Tank,jungle,Fighter,top,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Tank
Riven,Aatrox,Elise,Master Yi,Yasuo,Kayle,Xayah,Ashe,Rakan,Taric,2003.0,blue,0,-1.0,-1.0,-1.75,5.67,3.25,1.0,2.75,top,Fighter,top,Fighter,jungle,Mage,jungle,Assassin,top,Fighter,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support
Tahm Kench,Ornn,Kayn,Viego,Vladimir,Cassiopeia,Ezreal,Xayah,Yuumi,Lulu,-2458.0,red,-2,1.0,0.0,-1.5,0.0,-0.1499999999999999,-3.33,-7.33,top,Support,top,Tank,top,Fighter,jungle,Assassin,top,Mage,top,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
Fiora,Yone,Diana,Evelynn,Shen,Malphite,Ashe,Jhin,Soraka,Brand,-4146.0,red,-1,-1.0,0.0,-3.33,-3.0,1.1,-2.0,0.08000000000000007,top,Fighter,top,Assassin,jungle,Fighter,jungle,Assassin,top,Tank,top,Tank,adc,Marksman,adc,Marksman,support,Support,support,Mage
Gangplank,Akshan,Kha'Zix,Ivern,Orianna,Aatrox,Jinx,Zeri,Lux,Zilean,-6686.0,blue,-2,-1.0,2.0,-0.33000000000000007,-2.4,-2.0,-2.67,-6.75,top,Fighter,top,Marksman,jungle,Assassin,jungle,Support,mid,Mage,top,Fighter,adc,Marksman,adc,Marksman,mid,Mage,mid,Support
Fiddlesticks,Vel'Koz,Thresh,Jarvan IV,Illaoi,Xayah,Kai'Sa,Ahri,Rumble,Rakan,-4144.0,red,1,1.0,1.0,-7.0,-10.0,-1.5,-9.0,1.0,jungle,Mage,mid,Mage,support,Support,jungle,Tank,top,Fighter,adc,Marksman,adc,Marksman,mid,Mage,top,Fighter,support,Support
Pantheon,Mordekaiser,Lee Sin,Kayn,Taliyah,Ahri,Twitch,Jinx,Karma,Milio,-1287.0,red,-2,0.0,0.0,-1.0,-1.0,-3.5,-1.5,1.33,top,Fighter,top,Fighter,jungle,Fighter,top,Fighter,jungle,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Mage,support,Support
Sion,Ornn,Ekko,Master Yi,Malzahar,Yasuo,Senna,Jinx,Zilean,Milio,-2686.0,red,-2,1.0,1.0,3.0,-1.25,0.0,-5.5,-6.0,top,Tank,top,Tank,jungle,Assassin,jungle,Assassin,mid,Mage,top,Fighter,support,Marksman,adc,Marksman,mid,Support,support,Support
Kayn,Fiora,Hecarim,Xin Zhao,Ahri,Lissandra,Samira,Zeri,Nautilus,Lulu,-345.0,red,-2,-1.0,1.0,-2.71,2.5,3.0,6.0,7.0,top,Fighter,top,Fighter,jungle,Fighter,jungle,Fighter,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,mid,Tank,support,Support
Akshan,Urgot,Evelynn,Kayn,Ryze,Ahri,Jhin,Kindred,Karma,Pyke,2348.0,blue,1,-1.0,0.0,1.0,3.0,0.4,2.5,-0.27,top,Marksman,top,Fighter,jungle,Assassin,top,Fighter,mid,Mage,mid,Mage,adc,Marksman,jungle,Marksman,support,Mage,support,Support
Jayce,Irelia,Wukong,Viego,Orianna,Viktor,Jinx,Miss Fortune,Janna,Milio,124.0,blue,0,1.0,0.0,0.32999999999999996,5.67,2.0,0.0,0.0,top,Fighter,top,Fighter,top,Fighter,jungle,Assassin,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
K'Sante,Kennen,Vi,Poppy,Annie,Viktor,Aphelios,Zeri,Taric,Karma,3330.0,blue,2,0.0,0.0,5.5,1.42,3.25,-3.0,-3.5,top,Tank,top,Mage,jungle,Fighter,top,Tank,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Mage
Singed,Quinn,Fiddlesticks,Lillia,Ahri,Jayce,Xayah,Jinx,Rakan,Senna,9940.0,blue,2,-2.0,-1.0,3.0,7.6,2.0,13.33,13.71,top,Tank,top,Marksman,jungle,Mage,jungle,Fighter,mid,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Marksman
Malphite,Lulu,Kha'Zix,Wukong,LeBlanc,Sylas,Aphelios,Jinx,Milio,Thresh,-4219.0,red,2,2.0,0.0,-4.0,-3.5,1.0,-6.0,-2.0,top,Tank,support,Support,jungle,Assassin,top,Fighter,mid,Assassin,top,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
Akshan,Kled,Zac,Olaf,Jayce,Azir,Zeri,Sivir,Lux,Janna,4013.0,blue,2,0.0,0.0,1.83,4.0,0.0,0.5,4.67,top,Marksman,top,Fighter,top,Tank,top,Fighter,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,mid,Mage,support,Support
Nasus,Jayce,Graves,Wukong,Kassadin,Cassiopeia,Jinx,Zeri,Thresh,Annie,5604.0,blue,2,1.0,-1.0,3.5,7.5,2.0,6.5,7.0,top,Fighter,top,Fighter,jungle,Marksman,top,Fighter,mid,Assassin,top,Mage,adc,Marksman,adc,Marksman,support,Support,mid,Mage
Camille,Renekton,Master Yi,Fiddlesticks,Aurelion Sol,Yasuo,Aphelios,Jinx,Seraphine,Lulu,-7059.0,red,-2,-1.0,1.0,-5.0,-3.5,-3.0,0.0,-0.5,top,Fighter,top,Fighter,jungle,Assassin,jungle,Mage,mid,Mage,top,Fighter,adc,Marksman,adc,Marksman,adc,Mage,support,Support
Jayce,Urgot,Rammus,Viego,Azir,Fizz,Ezreal,Kai'Sa,Bard,Nautilus,-498.0,blue,0,-1.0,0.0,-3.67,-3.0,1.5,2.0,5.25,top,Fighter,top,Fighter,jungle,Tank,jungle,Assassin,mid,Mage,mid,Assassin,adc,Marksman,adc,Marksman,support,Support,mid,Tank
Yorick,Renekton,Nocturne,Ashe,Lux,Vladimir,Kai'Sa,Lee Sin,Pyke,Yuumi,9703.0,blue,1,0.0,-1.0,4.0,7.4,4.67,0.0,-2.0,top,Fighter,top,Fighter,jungle,Assassin,adc,Marksman,mid,Mage,top,Mage,adc,Marksman,jungle,Fighter,support,Support,support,Support
Camille,Fiora,Fiddlesticks,Udyr,Zed,Malphite,Ezreal,Jinx,Ivern,Lulu,7002.0,blue,2,-2.0,-1.0,3.67,3.8,4.0,1.0,6.0,top,Fighter,top,Fighter,jungle,Mage,top,Fighter,top,Assassin,top,Tank,adc,Marksman,adc,Marksman,jungle,Support,support,Support
Darius,K'Sante,Sylas,Master Yi,Akshan,Senna,Aphelios,Kog'Maw,Janna,Pyke,3243.0,blue,2,1.0,-3.0,-0.6699999999999999,0.5,-0.5800000000000001,-2.33,-4.0,top,Fighter,top,Tank,top,Mage,jungle,Assassin,top,Marksman,support,Marksman,adc,Marksman,adc,Marksman,support,Support,support,Support
Olaf,Yone,Nocturne,Hecarim,Viktor,Katarina,Draven,Veigar,Karma,Zyra,-3783.0,red,-2,-1.0,1.0,-7.0,-4.0,-4.0,2.0,2.33,top,Fighter,top,Assassin,jungle,Assassin,jungle,Fighter,mid,Mage,mid,Assassin,adc,Marksman,mid,Mage,support,Mage,support,Mage
Jax,Jayce,Udyr,Xin Zhao,Katarina,Fiddlesticks,Jinx,Zeri,Soraka,Yuumi,87.0,blue,2,1.0,0.0,6.0,-1.0,-0.66,-5.67,-5.5,top,Fighter,top,Fighter,top,Fighter,jungle,Fighter,mid,Assassin,jungle,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
Ornn,Mordekaiser,Fiddlesticks,Nidalee,Katarina,Akshan,Zeri,Twitch,Rakan,Soraka,-1223.0,blue,0,2.0,0.0,2.5,6.75,-1.0,-1.58,-7.75,top,Tank,top,Fighter,jungle,Mage,jungle,Assassin,mid,Assassin,top,Marksman,adc,Marksman,adc,Marksman,support,Support,support,Support
Gragas,Camille,Shaco,Lee Sin,Qiyana,LeBlanc,Ezreal,Jinx,Karma,Pyke,4937.0,blue,1,2.0,0.0,2.33,0.0,2.25,2.5,-0.08000000000000007,top,Fighter,top,Fighter,jungle,Assassin,jungle,Fighter,mid,Assassin,mid,Assassin,adc,Marksman,adc,Marksman,support,Mage,support,Support
Gragas,Jax,Vi,Kindred,Ahri,Vex,Zeri,Jinx,Bard,Lulu,-4006.0,red,-2,1.0,1.0,0.19999999999999996,-5.33,-3.33,2.0,3.0,top,Fighter,top,Fighter,jungle,Fighter,jungle,Marksman,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
Olaf,Gnar,Kha'Zix,Graves,Viktor,Zoe,Jinx,Caitlyn,Thresh,Zyra,-5247.0,red,-2,-1.0,2.0,0.0,-5.0,-2.0,-4.0,-3.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Marksman,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Mage
Fiora,Kennen,Xayah,Kha'Zix,LeBlanc,Akshan,Qiyana,Jinx,Nami,Amumu,-2020.0,red,2,2.0,-1.0,2.5,-4.67,0.5,1.5,-4.5,top,Fighter,top,Mage,adc,Marksman,jungle,Assassin,mid,Assassin,top,Marksman,mid,Assassin,adc,Marksman,support,Support,jungle,Tank
Cho'Gath,Urgot,Graves,Twisted Fate,Karma,Talon,Xayah,Kog'Maw,Nautilus,Renata Glasc,4192.0,red,2,-1.0,-3.0,5.83,-5.75,-5.33,0.44999999999999996,0.33000000000000007,top,Tank,top,Fighter,jungle,Marksman,mid,Mage,support,Mage,jungle,Assassin,adc,Marksman,adc,Marksman,mid,Tank,support,Support
Garen,Vladimir,Lee Sin,Nidalee,LeBlanc,Gragas,Kalista,Yasuo,Seraphine,Maokai,-4535.0,red,-2,0.0,1.0,0.0,-7.2,0.0,-3.0,-4.25,top,Fighter,top,Mage,jungle,Fighter,jungle,Assassin,mid,Assassin,top,Fighter,adc,Marksman,top,Fighter,adc,Mage,top,Tank
Kennen,Swain,Gwen,Hecarim,Zed,Yasuo,Zeri,Kai'Sa,Braum,Blitzcrank,-5240.0,red,-2,2.0,1.0,-4.25,0.3500000000000001,-4.67,-5.0,-2.33,top,Mage,top,Mage,top,Fighter,jungle,Fighter,top,Assassin,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Tank
Olaf,Poppy,Diana,Hecarim,Nautilus,Sylas,Xayah,Nilah,Lulu,Sejuani,3944.0,blue,0,0.0,-2.0,-1.0,1.25,1.17,-0.33000000000000007,0.5,top,Fighter,top,Tank,jungle,Fighter,jungle,Fighter,mid,Tank,top,Mage,adc,Marksman,adc,Fighter,support,Support,jungle,Tank
Dr. Mundo,Garen,Evelynn,Nunu & Willump,Karthus,Zed,Jhin,Swain,Rakan,Pyke,3081.0,blue,-1,2.0,0.0,3.0,0.0,0.16999999999999993,-1.5,-0.16999999999999993,top,Fighter,top,Fighter,jungle,Assassin,jungle,Tank,jungle,Mage,top,Assassin,adc,Marksman,top,Mage,support,Support,support,Support
Darius,Irelia,Kha'Zix,Talon,Akali,Sylas,Ezreal,Zeri,Yuumi,Rakan,-5036.0,red,-2,-1.0,1.0,-2.67,0.5,0.6600000000000001,5.75,1.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Assassin,top,Assassin,top,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
Garen,Yone,Lillia,Kayn,Annie,Taliyah,Samira,Ashe,Alistar,Morgana,3136.0,blue,0,-1.0,1.0,0.5,2.75,7.0,-1.0,-9.17,top,Fighter,top,Assassin,jungle,Fighter,top,Fighter,mid,Mage,jungle,Mage,adc,Marksman,adc,Marksman,support,Tank,support,Mage
Darius,Garen,Gragas,Amumu,Talon,Syndra,Tristana,Jinx,Yuumi,Lulu,2613.0,blue,-2,-1.0,-1.0,1.33,5.25,-0.08000000000000007,3.0,7.5,top,Fighter,top,Fighter,top,Fighter,jungle,Tank,jungle,Assassin,mid,Mage,mid,Marksman,adc,Marksman,support,Support,support,Support
Cho'Gath,Garen,Evelynn,Diana,Katarina,Qiyana,Ashe,Jinx,Blitzcrank,Morgana,-2999.0,red,0,1.0,1.0,-2.0,6.67,-3.17,1.0,1.33,top,Tank,top,Fighter,jungle,Assassin,jungle,Fighter,mid,Assassin,mid,Assassin,adc,Marksman,adc,Marksman,support,Tank,support,Mage
Kayle,Ornn,Hecarim,Master Yi,Irelia,Yasuo,Jinx,Kog'Maw,Lux,Xerath,1389.0,blue,0,-2.0,0.0,0.0,9.0,2.25,7.25,1.5,top,Fighter,top,Tank,jungle,Fighter,jungle,Assassin,top,Fighter,top,Fighter,adc,Marksman,adc,Marksman,mid,Mage,mid,Mage
Jax,Poppy,Nidalee,Wukong,Ahri,Zoe,Ezreal,Jhin,Braum,Pyke,4821.0,blue,2,0.0,-1.0,2.0,1.5,3.67,3.0,4.0,top,Fighter,top,Tank,jungle,Assassin,top,Fighter,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
Sion,Irelia,Elise,Graves,Azir,Syndra,Varus,Ezreal,Senna,Pyke,-5725.0,red,-2,2.0,0.0,-2.0,-7.75,-3.0,-4.0,-2.08,top,Tank,top,Fighter,jungle,Mage,jungle,Marksman,mid,Mage,mid,Mage,mid,Marksman,adc,Marksman,support,Marksman,support,Support
Jayce,Shen,Shaco,Skarner,Ahri,Viego,Draven,Aphelios,Nami,Lulu,967.0,red,0,2.0,0.0,-5.67,3.0,-1.0,2.0,4.0,top,Fighter,top,Tank,jungle,Assassin,jungle,Fighter,mid,Mage,jungle,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Support
Camille,Darius,Kayn,Viego,Twitch,Vladimir,Sivir,Xayah,Yuumi,Nautilus,-18.0,red,0,2.0,0.0,-3.5,-2.0,0.5,2.0,2.0,top,Fighter,top,Fighter,top,Fighter,jungle,Assassin,adc,Marksman,top,Mage,adc,Marksman,adc,Marksman,support,Support,mid,Tank
Gangplank,K'Sante,Ekko,Poppy,LeBlanc,Kassadin,Draven,Jinx,Thresh,Milio,693.0,blue,0,1.0,0.0,-2.67,-1.5,-1.0,-2.0,-1.0,top,Fighter,top,Tank,jungle,Assassin,top,Tank,mid,Assassin,mid,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Support
K'Sante,Rengar,Vi,Rek'Sai,Ryze,Fizz,Kai'Sa,Ezreal,Pyke,Lux,-1216.0,blue,2,-1.0,-1.0,1.33,-4.0,-0.5,-3.0,-0.5,top,Tank,top,Assassin,jungle,Fighter,jungle,Fighter,mid,Mage,mid,Assassin,adc,Marksman,adc,Marksman,support,Support,mid,Mage
Mordekaiser,K'Sante,Lee Sin,Gragas,Anivia,Yasuo,Aphelios,Zeri,Nasus,Yuumi,-5166.0,red,0,1.0,0.0,1.0,-0.8,1.75,-9.25,-9.67,top,Fighter,top,Tank,jungle,Fighter,top,Fighter,mid,Mage,top,Fighter,adc,Marksman,adc,Marksman,top,Fighter,support,Support
Nasus,Malphite,Hecarim,Vi,Fizz,Akali,Kog'Maw,Samira,Xerath,Leona,-9207.0,red,-2,2.0,2.0,-6.1,-1.4,-4.6,-4.0,-3.5,top,Fighter,top,Tank,jungle,Fighter,jungle,Fighter,mid,Assassin,top,Assassin,adc,Marksman,adc,Marksman,mid,Mage,support,Tank
Urgot,Pantheon,Diana,Sylas,Zoe,Veigar,Vayne,Ezreal,Lulu,Thresh,-505.0,red,1,2.0,0.0,-2.0,-2.0,-3.33,-1.0,1.0,top,Fighter,top,Fighter,jungle,Fighter,top,Mage,mid,Mage,mid,Mage,top,Marksman,adc,Marksman,support,Support,support,Support
Ryze,Nasus,Master Yi,Kayn,Lissandra,Zed,Xayah,Aphelios,Rakan,Nautilus,2588.0,blue,0,-1.0,0.0,3.0,2.35,0.08000000000000007,3.75,4.0,mid,Mage,top,Fighter,jungle,Assassin,top,Fighter,mid,Mage,top,Assassin,adc,Marksman,adc,Marksman,support,Support,mid,Tank
Gragas,Poppy,Kindred,Hecarim,Yasuo,Zed,Lucian,Aphelios,Thresh,Milio,-4571.0,red,-2,1.0,1.0,-3.0,-3.5,-6.8,1.6600000000000001,4.83,top,Fighter,top,Tank,jungle,Marksman,jungle,Fighter,top,Fighter,top,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Support
Ornn,Sion,Lee Sin,Kha'Zix,Vel'Koz,Ahri,Xayah,Veigar,Blitzcrank,Taric,4851.0,blue,0,-1.0,0.0,3.0,6.0,2.0,7.0,7.0,top,Tank,top,Tank,jungle,Fighter,jungle,Assassin,mid,Mage,mid,Mage,adc,Marksman,mid,Mage,support,Tank,support,Support
Jinx,Gragas,Teemo,Urgot,Nautilus,Tryndamere,Syndra,Kai'Sa,Sylas,Karma,3006.0,blue,-2,1.0,0.0,4.0,2.0,0.5,0.4,2.67,adc,Marksman,top,Fighter,top,Marksman,top,Fighter,mid,Tank,top,Fighter,mid,Mage,adc,Marksman,top,Mage,support,Mage
Jarvan IV,Tryndamere,Hecarim,Vladimir,Vex,Sejuani,Aphelios,Ezreal,Thresh,Janna,-2952.0,red,1,0.0,0.0,0.83,-2.0,1.0,-8.8,-4.9,jungle,Tank,top,Fighter,jungle,Fighter,top,Mage,mid,Mage,jungle,Tank,adc,Marksman,adc,Marksman,support,Support,support,Support
K'Sante,Olaf,Viego,Wukong,Ahri,Varus,Jinx,Zeri,Senna,Soraka,3346.0,blue,0,0.0,0.0,-2.0,0.5,2.0,-0.6699999999999999,0.0,top,Tank,top,Fighter,jungle,Assassin,top,Fighter,mid,Mage,mid,Marksman,adc,Marksman,adc,Marksman,support,Marksman,support,Support
Urgot,Pantheon,Maokai,Elise,Zed,Malzahar,Ashe,Xayah,Twitch,Zac,3817.0,blue,2,-1.0,0.0,6.5,3.25,3.8,-9.0,-7.17,top,Fighter,top,Fighter,top,Tank,jungle,Mage,top,Assassin,mid,Mage,adc,Marksman,adc,Marksman,adc,Marksman,top,Tank
Jax,Gragas,Kayn,Viego,Vladimir,Twisted Fate,Xayah,Ashe,Senna,Twitch,1441.0,blue,2,2.0,0.0,1.0,-1.5,-5.67,2.66,1.33,top,Fighter,top,Fighter,top,Fighter,jungle,Assassin,top,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Marksman,adc,Marksman
Ezreal,Graves,Sion,Zeri,Akshan,Darius,Karma,Ahri,Gragas,Yuumi,3725.0,red,2,1.0,-1.0,-3.0,-1.3399999999999999,2.5,-3.0,-0.33000000000000007,adc,Marksman,jungle,Marksman,top,Tank,adc,Marksman,top,Marksman,top,Fighter,support,Mage,mid,Mage,top,Fighter,support,Support
Ahri,Lee Sin,Sion,Lux,Graves,Jayce,Xayah,Aphelios,Rakan,Amumu,2544.0,blue,-2,2.0,1.0,2.0,3.0,6.0,4.0,4.0,mid,Mage,jungle,Fighter,top,Tank,mid,Mage,jungle,Marksman,top,Fighter,adc,Marksman,adc,Marksman,support,Support,jungle,Tank
Darius,Shaco,Thresh,Alistar,Gragas,Vayne,Caitlyn,Riven,Ekko,Syndra,-2154.0,red,-2,-1.0,1.0,3.0,-1.25,-4.5,-3.75,2.0,top,Fighter,jungle,Assassin,support,Support,support,Tank,top,Fighter,top,Marksman,adc,Marksman,top,Fighter,jungle,Assassin,mid,Mage
Irelia,Malphite,Rengar,Jarvan IV,Ashe,LeBlanc,Xerath,Ezreal,Lux,Karma,-2747.0,red,-2,2.0,0.0,1.0,-9.0,-1.33,-1.0,-5.33,top,Fighter,top,Tank,top,Assassin,jungle,Tank,adc,Marksman,mid,Assassin,mid,Mage,adc,Marksman,mid,Mage,support,Mage
Jayce,Riven,Vi,Ekko,Gragas,Varus,Aphelios,LeBlanc,Rakan,Pyke,-1940.0,red,0,1.0,-1.0,0.25,-3.0,0.0,-2.2399999999999998,-7.33,top,Fighter,top,Fighter,jungle,Fighter,jungle,Assassin,top,Fighter,mid,Marksman,adc,Marksman,mid,Assassin,support,Support,support,Support
Cassiopeia,Zac,Lee Sin,Kha'Zix,Akali,Swain,Kai'Sa,Yone,Pyke,Yuumi,1401.0,red,2,1.0,0.0,0.5,1.33,-2.0,-0.5,-4.25,top,Mage,top,Tank,jungle,Fighter,jungle,Assassin,top,Assassin,top,Mage,adc,Marksman,top,Assassin,support,Support,support,Support
Volibear,Aatrox,Gragas,Lee Sin,Zed,Sylas,Ezreal,Kai'Sa,Alistar,Lulu,8883.0,blue,1,-1.0,-2.0,3.21,3.0,6.67,-2.0,-1.0,top,Fighter,top,Fighter,top,Fighter,jungle,Fighter,top,Assassin,top,Mage,adc,Marksman,adc,Marksman,support,Tank,support,Support
Vladimir,Jayce,Lee Sin,Nidalee,Zoe,Ahri,Jinx,Aphelios,Leona,Yuumi,553.0,blue,-1,0.0,0.0,1.5,0.0,2.0,0.0,-0.16999999999999993,top,Mage,top,Fighter,jungle,Fighter,jungle,Assassin,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Tank,support,Support
LeBlanc,Illaoi,Jarvan IV,Viego,Annie,Mordekaiser,Varus,Ezreal,Rakan,Vel'Koz,2934.0,blue,0,-1.0,0.0,3.0,3.0,-1.0,-3.67,4.33,mid,Assassin,top,Fighter,jungle,Tank,jungle,Assassin,mid,Mage,top,Fighter,mid,Marksman,adc,Marksman,support,Support,mid,Mage
Aphelios,Riven,Sejuani,Hecarim,Lulu,Lux,Vayne,Twitch,Alistar,Milio,-6493.0,red,-2,1.0,2.0,-9.0,-3.0,-1.5,3.0,6.67,adc,Marksman,top,Fighter,jungle,Tank,jungle,Fighter,support,Support,mid,Mage,top,Marksman,adc,Marksman,support,Tank,support,Support
Aatrox,Cassiopeia,Sylas,Lee Sin,Kog'Maw,Zed,Varus,Ezreal,Nami,Ashe,3525.0,blue,0,-1.0,0.0,2.93,6.75,-5.5,1.0,5.0,top,Fighter,top,Mage,top,Mage,jungle,Fighter,adc,Marksman,top,Assassin,mid,Marksman,adc,Marksman,support,Support,adc,Marksman
Malphite,Riven,Amumu,Jarvan IV,Yasuo,Viktor,Samira,Miss Fortune,Blitzcrank,Annie,2435.0,blue,2,-2.0,0.0,1.5,-0.5,-1.33,-0.33000000000000007,-5.0,top,Tank,top,Fighter,jungle,Tank,jungle,Tank,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,support,Tank,mid,Mage
Illaoi,Riven,Jarvan IV,Ekko,Syndra,Ashe,Jinx,Talon,Lulu,Braum,-2992.0,red,0,2.0,1.0,-5.8,-0.33000000000000007,-7.75,2.67,-3.5,top,Fighter,top,Fighter,jungle,Tank,jungle,Assassin,mid,Mage,adc,Marksman,adc,Marksman,jungle,Assassin,support,Support,support,Support
Jax,Darius,Maokai,Rengar,Vel'Koz,Cassiopeia,Jinx,Ezreal,Annie,Milio,689.0,red,2,0.0,1.0,-0.5800000000000001,-1.0,3.0,2.0,1.5,top,Fighter,top,Fighter,top,Tank,top,Assassin,mid,Mage,top,Mage,adc,Marksman,adc,Marksman,mid,Mage,support,Support
Gangplank,Riven,Lee Sin,Maokai,Ahri,K'Sante,Jinx,Twitch,Rakan,Blitzcrank,-3997.0,red,-2,-2.0,0.0,-5.0,-2.5,5.0,-2.0,4.67,top,Fighter,top,Fighter,jungle,Fighter,top,Tank,mid,Mage,top,Tank,adc,Marksman,adc,Marksman,support,Support,support,Tank
Ornn,Cho'Gath,Lee Sin,Vi,LeBlanc,Zoe,Jinx,Ezreal,Milio,Karma,2715.0,blue,2,2.0,0.0,3.0,7.5,-0.33000000000000007,0.6600000000000001,3.25,top,Tank,top,Tank,jungle,Fighter,jungle,Fighter,mid,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Mage
Jax,Rumble,Nocturne,Jarvan IV,Aurelion Sol,Tristana,Lucian,Jinx,Thresh,Alistar,-4361.0,blue,-2,0.0,2.0,-8.8,-6.5,0.5,3.33,-4.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Tank,mid,Mage,mid,Marksman,adc,Marksman,adc,Marksman,support,Support,support,Tank
Jayce,K'Sante,Jarvan IV,Lillia,Zoe,Talon,Xayah,Aphelios,Blitzcrank,Thresh,4472.0,blue,2,-1.0,-2.0,-1.33,4.33,8.0,3.0,2.17,top,Fighter,top,Tank,jungle,Tank,jungle,Fighter,mid,Mage,jungle,Assassin,adc,Marksman,adc,Marksman,support,Tank,support,Support
