,sequence_number,gold_difference,team_win,herald_difference,dragon_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
829,830,-6763.0,1,-2,2.0,-2.0,3.0,-4.5,-5.0,0.6699999999999999,-1.0,-1.0
830,831,1504.0,0,-2,1.0,-0.66,-7.0,0.0,2.67,3.25,0.0,-1.0
831,832,-3926.0,1,1,1.0,5.0,-9.67,2.0,-5.75,-7.5,1.0,1.0
832,833,-3454.0,0,2,-1.0,1.0699999999999998,-6.0,-2.17,0.6699999999999999,-4.0,0.0,-1.0
833,834,3185.0,1,2,0.0,-3.25,8.67,1.0,0.5,-0.25,1.0,1.0
834,835,8854.0,1,2,-2.0,4.1,4.0,4.0,8.25,3.33,2.0,0.0
835,836,8144.0,1,2,-2.0,-0.5,7.5,7.0,8.8,10.6,-2.0,0.0
836,837,2302.0,1,0,0.0,-1.0,-4.0,-3.0,0.8300000000000001,4.0,-2.0,2.0
837,838,-393.0,0,-1,-2.0,-3.67,6.33,0.0,8.5,1.73,1.0,-1.0
838,839,-3401.0,1,-2,1.0,1.0,-4.0,0.0,-1.5,0.0,0.0,1.0
839,840,4454.0,1,1,-1.0,-5.6,6.33,1.33,5.1,9.67,0.0,0.0
840,841,-668.0,1,-1,0.0,-3.8,-9.0,-5.0,1.5,2.5,0.0,0.0
841,842,4079.0,1,2,1.0,1.33,1.0,4.0,2.0,-0.3399999999999998,1.0,0.0
842,843,2283.0,0,-2,-1.0,-2.0,2.33,1.0,5.67,8.0,-1.0,-1.0
843,844,5488.0,1,2,-1.0,1.34,-0.5,3.67,1.67,-2.67,1.0,0.0
844,845,86.0,0,2,0.0,0.5,4.33,1.0,-1.08,-1.0,-1.0,-1.0
845,846,-363.0,0,2,2.0,4.0,3.0,-1.0,-4.33,-1.0,2.0,-1.0
846,847,-5842.0,0,-2,2.0,3.0,-1.0,-7.8,-5.75,-3.0,0.0,-2.0
847,848,6016.0,1,0,-1.0,-1.33,4.5,4.67,10.0,4.83,0.0,0.0
848,849,-965.0,0,-1,-1.0,4.25,-2.42,-3.83,-4.33,-3.3,3.0,0.0
849,850,3573.0,1,2,1.0,6.83,-1.5,-2.67,-1.5,-8.0,-1.0,0.0
850,851,-3262.0,0,-1,-1.0,-2.75,5.0,-3.0,-2.0,0.8300000000000001,0.0,1.0
851,852,1496.0,1,0,1.0,0.0,6.0,-4.0,4.0,8.0,3.0,0.0
852,853,2857.0,0,2,1.0,0.0,4.0,4.4,-0.83,0.1699999999999999,2.0,-1.0
853,854,8004.0,1,1,-1.0,5.6,2.83,4.5,5.0,3.17,4.0,0.0
854,855,2361.0,1,0,-2.0,0.83,6.33,-0.3799999999999999,1.5,1.67,1.0,0.0
855,856,-2887.0,1,2,1.0,0.0,-9.0,1.25,-4.0,-2.83,3.0,1.0
856,857,-931.0,0,2,1.0,1.5,-3.0,-0.83,-1.92,-6.5,-1.0,-1.0
857,858,2078.0,1,2,-1.0,-1.0,-1.25,0.6699999999999999,-4.5,3.0,-1.0,0.0
858,859,1097.0,1,2,2.0,-2.6,-5.5,-2.0,-2.0,-3.0,-1.0,-1.0
859,860,10821.0,1,1,-2.0,4.2,13.0,9.0,2.08,3.5,0.0,1.0
860,861,6696.0,1,1,-1.0,5.0,4.33,5.67,2.0,6.5,-2.0,0.0
861,862,3979.0,1,-1,-2.0,1.75,7.0,-2.0,7.33,6.6,1.0,0.0
862,863,-408.0,1,0,-1.0,-2.0,1.25,0.1699999999999999,-7.67,-1.0,-1.0,0.0
863,864,699.0,1,2,0.0,-0.25,4.5,1.5,1.58,2.0,0.0,0.0
864,865,2133.0,1,1,-1.0,1.33,-3.5,3.33,5.0,0.1300000000000001,0.0,0.0
865,866,5103.0,1,2,-1.0,2.8,8.75,3.5,-2.67,8.0,-3.0,0.0
866,867,-1035.0,0,0,0.0,-1.0,-2.0,-2.5,-3.5,-3.0,2.0,0.0
867,868,2781.0,1,0,0.0,-1.5,1.0,5.33,0.0,6.75,-1.0,1.0
868,869,-1593.0,0,0,-1.0,-4.83,6.5,-0.25,1.17,-7.0,-2.0,0.0
869,870,2930.0,1,1,0.0,3.0,6.33,1.0,1.42,-1.5,-1.0,0.0
870,871,-2652.0,0,0,1.0,3.0,-1.0,0.0,-6.5,-6.33,-1.0,0.0
871,872,9326.0,1,-1,-1.0,1.4300000000000002,7.0,10.83,1.0,2.0,-2.0,-1.0
872,873,5989.0,1,1,-2.0,0.5,2.0,5.0,2.5,3.25,1.0,1.0
873,874,-9760.0,0,-1,1.0,-2.0,-13.5,-3.33,-11.5,-12.0,0.0,-2.0
874,875,-2751.0,0,0,2.0,6.75,4.0,-1.0,-1.0,-3.5,0.0,0.0
875,876,1330.0,0,0,-1.0,0.6699999999999999,-2.0,0.7400000000000001,0.58,-4.5,0.0,1.0
876,877,-3261.0,0,2,1.0,-3.0,7.0,-2.0,5.67,7.67,-2.0,0.0
877,878,1117.0,1,1,-2.0,4.33,3.0,0.0,3.33,2.25,2.0,2.0
878,879,4647.0,1,2,-1.0,1.1800000000000002,5.5,0.0,3.6,7.33,-1.0,-1.0
879,880,-4070.0,0,0,2.0,3.25,-2.75,-0.8300000000000001,-3.0,-5.0,0.0,-1.0
880,881,2374.0,1,2,-2.0,0.1999999999999999,-1.33,5.2,-4.0,-9.33,0.0,0.0
881,882,-1791.0,0,-1,0.0,0.0,-2.0,2.0,-0.5,-1.5,0.0,0.0
882,883,-6246.0,0,-2,0.0,1.0,-6.25,-10.25,1.75,-1.16,1.0,-1.0
883,884,-5868.0,0,-2,0.0,-1.34,-5.0,-4.75,-2.0,-3.0,1.0,1.0
884,885,5823.0,1,2,-1.0,-1.5,5.0,1.5,2.5,4.0,-1.0,2.0
885,886,3454.0,1,2,-1.0,-2.0,-4.5,-0.33,4.0,-1.75,1.0,0.0
886,887,-3554.0,0,-2,-1.0,-6.67,-1.0,-4.5,-1.0,0.0,-2.0,-1.0
887,888,17268.0,1,1,-2.0,10.88,11.0,8.8,0.0,0.5,-1.0,-1.0
888,889,1349.0,1,1,0.0,-0.58,4.0,-1.33,2.53,10.0,0.0,0.0
889,890,1762.0,0,0,0.0,-2.25,3.17,6.0,2.5,2.75,-1.0,-2.0
890,891,-2607.0,1,-2,0.0,0.0,0.5,-4.75,1.53,0.8300000000000001,-1.0,0.0
891,892,-1723.0,0,-1,1.0,-4.25,-1.33,-3.0,0.33,-1.73,-2.0,0.0
892,893,2596.0,0,-2,0.0,0.0,-9.0,-1.73,3.0,4.2,-1.0,0.0
893,894,-10341.0,0,0,-1.0,-2.0,-4.75,-3.5,-3.5,-2.33,2.0,1.0
894,895,-2044.0,1,1,1.0,-0.8300000000000001,2.0,1.5,-5.0,0.6699999999999999,-2.0,0.0
895,896,-3402.0,0,-2,1.0,3.0,0.5,-7.0,-4.67,-2.67,-1.0,1.0
896,897,-537.0,0,2,1.0,0.6699999999999999,-3.5,-2.0,-0.1699999999999999,0.3399999999999998,-1.0,0.0
897,898,-955.0,1,0,-2.0,-3.33,3.67,0.6699999999999999,1.5,4.0,0.0,1.0
898,899,-12038.0,0,-1,0.0,-5.6,-5.33,-5.75,-5.6,-7.0,0.0,-2.0
899,900,6584.0,1,2,-2.0,-8.86,-1.6,1.0,2.67,9.0,-1.0,-1.0
900,901,-3062.0,0,1,0.0,-2.5,-4.0,-0.33,-5.67,-10.75,2.0,1.0
901,902,-4504.0,1,0,-1.0,-2.5,-1.67,-0.33,-3.58,4.5,0.0,2.0
902,903,-1505.0,0,-2,2.0,-0.5,-0.5,2.17,-3.6,1.17,1.0,0.0
903,904,2019.0,1,0,0.0,0.0,-0.5,1.0,1.0,1.0,0.0,-1.0
904,905,16916.0,1,1,-2.0,1.6,12.4,5.67,3.4,12.8,0.0,0.0
905,906,-1552.0,1,2,1.0,0.5,4.0,-2.33,-4.0,-3.0,1.0,-1.0
906,907,-629.0,0,1,1.0,-2.67,3.33,-1.25,1.0,-0.5,1.0,-2.0
907,908,4994.0,1,0,-1.0,1.0,2.67,-0.3399999999999998,5.0,7.0,-1.0,1.0
908,909,1456.0,1,2,1.0,1.0,1.0,-1.0,3.5,1.83,2.0,0.0
909,910,-2864.0,1,0,1.0,2.5,4.75,1.08,-3.9,2.0,2.0,0.0
910,911,4720.0,1,2,-2.0,0.4499999999999999,-2.5,0.0,9.33,3.2,0.0,0.0
911,912,432.0,1,2,-2.0,0.5,-0.5800000000000001,-5.67,-1.5,-1.25,1.0,0.0
912,913,1549.0,0,0,1.0,0.5800000000000001,0.0,-2.0,-2.0,-3.0,0.0,-1.0
913,914,2602.0,1,2,-2.0,0.5,7.33,2.0,7.0,0.27,0.0,0.0
914,915,3957.0,1,2,-1.0,3.0,2.0,3.0,-1.5,-6.0,-1.0,-1.0
915,916,-101.0,1,-1,0.0,-1.0,0.33,-1.25,3.33,1.73,-1.0,-2.0
916,917,-1046.0,1,0,-1.0,3.67,1.0,-0.5,-1.0,-3.0,-1.0,0.0
917,918,-7632.0,0,1,1.0,-1.0,-9.0,-1.5,-0.92,-4.0,3.0,1.0
918,919,6921.0,1,-1,-1.0,3.0,4.0,7.0,1.5,7.75,3.0,1.0
919,920,2125.0,1,2,1.0,1.58,1.17,2.67,-1.0,1.0,0.0,-1.0
920,921,-2883.0,0,0,-2.0,1.0,4.0,-4.5,-0.3299999999999999,-4.33,0.0,0.0
921,922,1731.0,1,2,-1.0,2.25,-2.5,0.33,2.5,-2.5,1.0,0.0
922,923,-862.0,1,-2,2.0,2.0,-3.0,1.0,0.66,1.34,-4.0,-1.0
923,924,2784.0,0,2,1.0,-0.7,2.17,4.0,0.66,3.0,-2.0,-1.0
924,925,1266.0,0,-2,2.0,2.67,2.5,1.0,-0.5,-6.0,1.0,1.0
925,926,-1258.0,0,-2,-2.0,-3.0,2.0,-0.5,2.7,3.33,0.0,-1.0
926,927,1519.0,0,0,1.0,-2.0,-2.0,0.0,-1.0,-1.67,2.0,-2.0
927,928,3299.0,1,0,-1.0,-0.25,6.0,1.0,4.8,8.25,0.0,0.0
928,929,10764.0,1,0,0.0,3.34,4.25,1.0,6.36,5.17,-1.0,1.0
929,930,-5448.0,0,-2,1.0,-5.5,-6.0,-4.5,-1.5,-6.0,1.0,2.0
930,931,1885.0,0,-1,-1.0,0.1699999999999999,11.4,0.33,7.5,3.5,1.0,-1.0
931,932,1127.0,0,0,-1.0,0.33,2.0,-1.6,0.0,-0.6699999999999999,0.0,-1.0
932,933,407.0,1,2,1.0,1.67,-12.8,-1.92,-1.45,-2.13,1.0,0.0
933,934,5515.0,1,0,0.0,-4.67,1.0,6.0,-0.49,5.0,-1.0,-2.0
934,935,-6080.0,0,-2,2.0,-3.0,-4.0,-3.0,-2.7,-2.17,2.0,0.0
935,936,-5713.0,0,-2,0.0,-2.0,-7.33,-6.8,-1.0,0.0,1.0,0.0
936,937,-1475.0,1,0,1.0,-2.5,-2.5,-1.0,2.33,-0.5,2.0,1.0
937,938,3222.0,0,-2,1.0,3.75,2.0,-0.5800000000000001,2.5,4.0,-1.0,0.0
938,939,6415.0,1,2,-1.0,0.5800000000000001,0.33,1.67,10.17,2.25,1.0,0.0
939,940,-2689.0,0,0,1.0,-2.67,0.5,0.0,-6.0,-0.1999999999999999,1.0,0.0
940,941,-3530.0,0,2,0.0,-4.0,-2.5,-3.75,-3.2,3.75,1.0,1.0
941,942,-10444.0,0,1,-1.0,-0.3399999999999998,-10.0,-7.88,-9.0,-9.0,0.0,1.0
942,943,-13662.0,0,-1,0.0,-7.0,-13.88,-7.75,-2.83,-1.8,2.0,0.0
943,944,2826.0,0,1,-1.0,2.5,-1.0,3.3,-0.33,1.67,0.0,-2.0
944,945,-638.0,0,2,0.0,0.0,-1.5,1.5,-2.0,-2.5,-1.0,0.0
945,946,3526.0,1,2,1.0,-0.85,1.0,1.7,5.0,5.75,-1.0,0.0
946,947,-8139.0,0,-2,1.0,-0.25,-4.0,1.0,-3.12,1.0,2.0,0.0
947,948,6355.0,1,-1,-1.0,0.53,5.5,2.0,5.67,7.0,-1.0,-1.0
948,949,-132.0,1,0,-2.0,-1.0,3.67,5.0,-0.33,-3.4,1.0,-1.0
949,950,-326.0,1,2,1.0,2.67,6.0,1.4,-1.75,0.5800000000000001,-1.0,-1.0
950,951,-8860.0,0,-2,1.0,-3.33,-3.5,-7.0,-0.3500000000000001,6.25,0.0,-1.0
951,952,1749.0,0,0,-2.0,-3.0,0.5,2.67,-3.67,0.5,1.0,0.0
952,953,4717.0,1,-2,-1.0,6.67,0.5,8.4,3.5,1.66,0.0,0.0
953,954,-2993.0,0,-2,1.0,0.3299999999999999,-4.0,1.0,-2.0,-6.0,-2.0,1.0
954,955,-2351.0,0,0,2.0,-0.83,-2.5,1.67,-0.33,-7.0,-3.0,-1.0
955,956,2507.0,1,2,-2.0,3.21,6.5,1.0,-2.5,-2.0,0.0,0.0
956,957,-2664.0,1,-2,2.0,2.0,-6.0,-4.5,1.0,-2.0,-1.0,0.0
957,958,-2694.0,0,0,1.0,-3.5,0.0,-0.8,1.42,7.33,1.0,0.0
958,959,8476.0,1,2,-2.0,1.0,4.0,0.0,8.0,9.83,2.0,0.0
959,960,-6046.0,0,-2,1.0,0.0,-1.33,-1.2999999999999998,-2.0700000000000003,1.17,1.0,0.0
960,961,1604.0,1,2,1.0,6.0,-1.0,-0.1699999999999999,-1.33,-2.67,-1.0,0.0
961,962,-2670.0,1,-2,2.0,-1.0,-1.0,-6.33,3.5,7.67,-2.0,1.0
962,963,-761.0,1,0,0.0,0.0,2.0,4.75,-0.3299999999999999,-3.0,0.0,-1.0
963,964,9639.0,1,0,-2.0,-4.75,-0.4000000000000001,3.33,5.66,6.0,-1.0,-1.0
964,965,636.0,1,0,1.0,2.0,2.33,-2.33,-9.6,-8.6,1.0,1.0
965,966,-1830.0,1,0,1.0,-1.5,0.0,3.5,0.0,-1.0,-2.0,0.0
966,967,1264.0,0,0,-2.0,1.75,0.33,-2.0,6.5,0.4199999999999999,2.0,0.0
967,968,-4067.0,0,-2,-1.0,0.0,1.25,3.0,0.25,4.5,2.0,1.0
968,969,-5684.0,0,0,0.0,-2.33,-3.0,-3.0,-7.33,-1.3,2.0,0.0
969,970,9091.0,1,1,-1.0,1.5,4.0,4.0,3.5,5.67,1.0,1.0
970,971,2589.0,1,0,1.0,-0.6699999999999999,2.5,-2.0,-1.0,2.25,-1.0,0.0
971,972,-4095.0,1,-2,2.0,-0.33,-6.0,-4.33,-5.5,-8.33,-1.0,0.0
972,973,2174.0,1,0,0.0,1.33,-3.33,2.67,6.67,2.0,2.0,1.0
973,974,-8082.0,0,-1,2.0,-6.83,-2.42,-8.0,0.33,-3.1,0.0,2.0
974,975,-1003.0,0,1,1.0,-4.0,-3.5,3.0,4.5,6.5,-2.0,0.0
975,976,3043.0,0,2,-2.0,-2.33,5.0,4.0,5.0,3.67,0.0,-1.0
976,977,5162.0,1,1,1.0,6.5,2.1,4.33,-3.0,1.33,2.0,0.0
977,978,-11288.0,0,0,1.0,-2.25,-9.5,-1.08,-2.6,-9.0,0.0,0.0
978,979,9678.0,1,2,0.0,-2.67,4.25,8.0,6.83,10.67,0.0,0.0
979,980,2365.0,1,2,0.0,2.5,0.25,11.57,4.0,3.5,1.0,0.0
980,981,1165.0,1,0,-1.0,-4.5,6.0,1.5,4.67,3.5,0.0,-1.0
981,982,-6629.0,0,0,2.0,3.67,-5.67,-5.75,0.6699999999999999,-0.6699999999999999,-2.0,-1.0
982,983,-1743.0,0,-1,1.0,0.83,-2.0,-2.0,1.0,1.0,0.0,1.0
983,984,-2075.0,0,0,-1.0,-1.25,-0.6600000000000001,1.0,-1.5,-4.75,-1.0,1.0
984,985,-11215.0,0,0,-1.0,-3.75,-0.2799999999999998,-2.5,-3.5,-8.5,0.0,2.0
985,986,-1128.0,0,2,1.0,1.0,-5.5,-1.5,1.0,0.0,2.0,0.0
986,987,3927.0,1,2,-2.0,1.0,2.0,5.4,-4.0,-4.67,-1.0,0.0
987,988,14796.0,1,1,-2.0,1.5,6.33,-1.0,4.67,7.67,1.0,-1.0
988,989,6421.0,1,-1,-1.0,-1.5,6.5,8.0,7.33,3.0,0.0,0.0
989,990,-1825.0,1,2,1.0,-6.0,-7.0,1.25,-1.0,-1.25,-3.0,0.0
990,991,-385.0,0,0,0.0,0.0,1.33,-1.0,-1.0,0.0,0.0,-1.0
991,992,2520.0,1,-2,-1.0,-2.0,-0.5,0.0,2.0,2.0,0.0,0.0
992,993,-1727.0,0,-1,0.0,0.75,-6.67,-2.33,-3.0,-6.0,0.0,0.0
993,994,-9094.0,0,-2,2.0,3.5,-0.25,-5.0,-7.0,-7.0,2.0,1.0
994,995,-389.0,1,0,0.0,-4.67,0.6699999999999999,2.8,6.75,4.5,0.0,0.0
995,996,-1194.0,0,1,1.0,-4.75,-1.0,1.5,0.0,0.0,2.0,0.0
996,997,-196.0,0,0,1.0,-2.67,1.5,0.0,5.0,6.2,3.0,0.0
997,998,-2867.0,0,-2,2.0,1.33,-2.0,2.0,-2.0,-2.33,1.0,0.0
998,999,-9839.0,0,-2,1.0,-5.3,2.0,-8.4,-10.0,-9.25,-1.0,0.0
999,1000,-7709.0,0,0,2.0,-4.0,-15.5,0.0,-5.0,-11.5,-2.0,-1.0
