,sequence_number,gold_difference,team_win,herald_difference,dragon_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
625,626,-3143.0,0,-2,-1.0,0.5,-7.0,-5.8,2.0,4.83,2.0,0.0
626,627,-7675.0,0,0,2.0,-5.8,-4.64,-5.0,-6.0,-2.9,1.0,0.0
627,628,1836.0,1,2,-1.0,5.0,-3.5,-2.5,1.75,10.2,4.0,1.0
628,629,2394.0,0,2,1.0,1.5,-0.1699999999999999,-0.6600000000000001,0.1699999999999999,-2.5,2.0,0.0
629,630,9424.0,1,2,1.0,0.0,2.33,4.33,10.0,3.0,-1.0,0.0
630,631,10562.0,1,1,-2.0,3.0,6.75,7.0,1.92,7.33,0.0,1.0
631,632,-1199.0,0,0,2.0,2.0,-2.0,0.0,-0.5,1.0,2.0,1.0
632,633,-6548.0,0,-2,2.0,-7.5,0.0,-8.5,-2.9,-3.17,-2.0,1.0
633,634,-2406.0,1,1,1.0,1.5,1.0,3.75,-3.67,-2.0,1.0,1.0
634,635,-295.0,0,-2,1.0,-3.67,-1.0,3.1,0.0,1.0,2.0,0.0
635,636,478.0,1,0,-1.0,2.5,6.0,4.0,2.5,1.0,1.0,1.0
636,637,9381.0,1,-1,0.0,5.5,13.67,9.33,8.6,2.4,-2.0,1.0
637,638,456.0,0,2,-2.0,-0.6699999999999999,-0.9,5.75,1.17,0.25,0.0,1.0
638,639,-16650.0,0,-2,1.0,1.0,-11.5,-5.4,-6.67,-6.33,-1.0,3.0
639,640,3644.0,1,1,-1.0,2.33,-1.0,5.0,-1.0,6.5,-1.0,1.0
640,641,2805.0,1,0,-1.0,-1.33,4.33,9.0,3.0,1.17,2.0,-1.0
641,642,-3942.0,0,-2,2.0,3.0,-3.33,-2.0,-2.0,0.6699999999999999,3.0,1.0
642,643,4614.0,1,2,1.0,0.83,1.0,-1.0,0.5,2.67,2.0,0.0
643,644,7269.0,1,2,1.0,0.0,5.0,2.0,4.0,6.0,1.0,0.0
644,645,3482.0,1,0,1.0,-1.17,2.0,-2.08,3.17,0.4199999999999999,0.0,0.0
645,646,-416.0,0,2,0.0,0.5,-11.25,0.0,-5.25,-1.34,2.0,0.0
646,647,-4315.0,0,2,-1.0,2.0,1.5,-2.0,-0.1699999999999999,-4.29,-2.0,0.0
647,648,-186.0,1,0,1.0,-1.5,2.5,3.5,-0.33,-1.67,0.0,-1.0
648,649,-12402.0,0,-2,1.0,-4.0,-11.8,-7.0,-5.4,-6.07,-2.0,1.0
649,650,747.0,0,2,-1.0,-2.5,-0.6699999999999999,-2.0,2.75,-0.33,0.0,1.0
650,651,-6960.0,0,-2,2.0,-2.67,-5.0,-2.67,-4.0,-5.0,1.0,1.0
651,652,-4364.0,0,-2,2.0,0.0,-4.5,-3.0,-4.0,-2.0,-2.0,-1.0
652,653,8820.0,1,0,0.0,1.0,-0.5,4.36,7.2,1.33,-2.0,-1.0
653,654,12875.0,1,1,0.0,5.0,11.0,8.67,2.6,11.6,0.0,0.0
654,655,979.0,1,0,-1.0,4.8,0.33,-0.83,-3.0,-1.0,0.0,0.0
655,656,3259.0,1,2,-1.0,1.0,3.0,2.6,-1.0,-5.25,-1.0,0.0
656,657,-2251.0,1,0,-2.0,-1.0,-1.0,3.0,0.0,-0.5,0.0,0.0
