,Unnamed: 0,link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,gold_difference,turret_blue,turret_red,dragon_blue,dragon_red,blue_heralds,red_heralds,team_win
917,9821,/match/euw/6386825058,Vayne,Poppy,Bel'Veth,Jarvan IV,Ezreal,Neeko,Malzahar,Kai'Sa,Yuumi,Pyke,0.67,3.0,5.0,0.33,1.0,2.0,0.0,1.0,3.0,2.0,616.0,0.0,0.0,1.0,0.0,1,1,red
6171,1897,/match/tr/1404330641,Renekton,Pantheon,Rek'Sai,Kayn,Katarina,Malphite,Jinx,Kai'Sa,Lulu,Thresh,0.5,5.0,0.29,4.5,0.8,19.0,1.0,12.0,1.0,5.67,-8450.0,1.0,0.0,1.0,0.0,1,0,red
2058,8994,/match/vn/83038675,Darius,K'Sante,Kha'Zix,Volibear,Vex,Ryze,Aphelios,Kai'Sa,Janna,Xerath,0.5,2.0,8.0,3.0,1.33,2.5,2.0,1.5,3.5,1.5,-1434.0,0.0,0.0,1.0,0.0,1,1,red
4979,6700,/match/na/4644531266,Irelia,Volibear,Gragas,Shaco,Talon,Vladimir,Ezreal,Sivir,Lux,Milio,2.67,0.5,7.0,2.5,2.0,0.5,7.0,0.2,6.0,1.0,5277.0,1.0,2.0,0.0,1.0,1,1,blue
9845,6464,/match/na/4644993296,Fiora,Jayce,Kha'Zix,Viego,Akali,Cassiopeia,Xayah,Aphelios,Milio,Twitch,0.33,4.0,10.0,1.5,0.33,0.67,8.0,0.25,9.0,1.0,-18.0,1.0,1.0,0.0,1.0,1,1,blue
2498,2312,/match/tr/1403692042,Poppy,Irelia,Sylas,Rengar,Yasuo,Ekko,Draven,Varus,Syndra,Blitzcrank,3.0,0.5,2.5,1.5,1.33,1.0,1.0,2.5,0.33,6.0,-611.0,0.0,0.0,2.0,0.0,0,2,red
9760,9669,/match/eune/3363807995,Gangplank,Quinn,Jarvan IV,Gragas,Neeko,Zed,Kai'Sa,Sivir,Janna,Thresh,0.0,7.0,0.75,8.0,0.67,2.5,1.0,3.0,1.0,5.0,-9598.0,0.0,0.0,1.0,1.0,1,1,red
3853,9524,/match/vn/83658923,Sion,Mordekaiser,Twitch,Lee Sin,Katarina,Akali,Jhin,Ezreal,Jarvan IV,Karma,0.0,6.0,0.57,1.83,1.5,1.0,1.6,5.5,5.5,3.5,-2924.0,0.0,0.0,1.0,0.0,0,2,red
6019,9156,/match/euw/6385570302,Jayce,Kennen,Kha'Zix,Jarvan IV,Syndra,Zed,Draven,Jinx,Nautilus,Milio,1.5,1.0,7.0,0.67,3.0,0.75,2.0,2.0,1.0,2.0,5408.0,0.0,0.0,0.0,1.0,2,0,blue
7311,59,/match/oce/567582219,Sett,Renekton,Kha'Zix,Viego,Galio,Sylas,Kai'Sa,Xayah,Pyke,Lulu,1.67,1.33,3.0,0.6,8.0,1.5,2.33,1.5,7.0,0.5,7929.0,0.0,1.0,2.0,0.0,2,0,blue
5027,421,/match/oce/567247705,Jax,Rumble,Elise,Sejuani,Zed,Nasus,Zeri,Xayah,Lulu,Milio,1.0,5.0,3.0,1.75,3.5,1.0,0.5,3.0,2.0,8.0,1983.0,0.0,0.0,1.0,0.0,0,2,red
5852,4681,/match/kr/6472151517,Kled,Malphite,Hecarim,Graves,Annie,Zoe,Jinx,Ezreal,Thresh,Karma,2.5,1.0,3.33,1.33,2.0,1.5,1.0,3.5,3.0,1.0,2834.0,0.0,1.0,0.0,1.0,2,0,blue
