gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
3234.0,1,2,-1.0,-1.0,-0.3299999999999999,4.0,1.0,5.0,6.0,0.0,0.0
5133.0,1,2,2.0,0.0,1.33,7.0,5.5,0.0,6.0,1.0,-2.0
1248.0,0,0,1.0,0.0,0.92,3.0,0.0,0.0,2.5,1.0,-1.0
-8865.0,0,-1,1.0,1.0,-1.0,-9.25,1.5,-11.0,-10.75,1.0,0.0
2188.0,1,2,1.0,-1.0,1.5,2.33,4.5,0.5,-1.0,0.0,0.0
7297.0,1,0,-1.0,-2.0,2.67,1.5,5.0,-2.25,0.08,-2.0,0.0
-3476.0,0,-2,-1.0,-1.0,0.33,-7.0,-2.0,-3.33,-7.5,-1.0,-2.0
2885.0,1,2,1.0,0.0,1.0,-1.5,-5.0,2.0,7.0,2.0,0.0
5489.0,1,0,0.0,0.0,-0.3299999999999999,10.0,5.33,3.5,9.25,0.0,-1.0
2125.0,1,0,0.0,1.0,1.5,0.5,-2.5,6.5,5.0,-1.0,-1.0
215.0,0,-2,1.0,-1.0,1.0699999999999998,3.0,1.5,2.0,-1.0,2.0,-1.0
8386.0,1,2,-2.0,-2.0,5.0,4.67,1.5,5.0,5.75,1.0,0.0
6100.0,1,0,-1.0,0.0,3.1,-1.0,6.0,-0.33,0.75,-1.0,-1.0
-4296.0,0,1,0.0,0.0,-1.67,-1.0,2.0,-1.5,-4.5,2.0,1.0
4101.0,1,-2,-1.0,0.0,-3.0,4.0,-2.0,5.1,3.25,0.0,0.0
-9652.0,0,-2,2.0,1.0,-4.0,-3.0,-4.0,-1.5,-1.5,0.0,1.0
1326.0,0,2,1.0,-1.0,4.0,1.5,-2.5,1.42,0.75,0.0,0.0
-5246.0,0,0,2.0,1.0,0.0,-1.67,-0.5,-8.0,-3.0,0.0,-1.0
4048.0,0,0,-1.0,-1.0,7.33,1.0,6.0,7.6,-1.17,0.0,1.0
6323.0,1,0,-1.0,-2.0,2.67,9.33,6.33,8.2,1.25,1.0,-1.0
-2947.0,0,0,0.0,1.0,5.5,-1.17,-0.5,-2.25,0.5,1.0,0.0
3189.0,1,0,-2.0,0.0,-0.25,3.5,8.0,2.5,2.0,1.0,0.0
1097.0,1,2,2.0,-1.0,-2.6,-5.5,-2.0,-2.0,-3.0,-1.0,-1.0
3746.0,1,2,0.0,-1.0,-1.0,4.5,4.0,-0.1699999999999999,0.0,0.0,0.0
-5862.0,0,-1,-1.0,1.0,-4.0,-4.5,0.5,-2.5,-1.5,0.0,-2.0
5641.0,1,-1,-1.0,-2.0,-0.5,0.5,0.4199999999999999,5.75,3.0,0.0,0.0
3607.0,0,2,-1.0,-1.0,-0.83,3.0,3.17,7.5,3.4,-3.0,2.0
2374.0,1,2,-1.0,-2.0,0.0,0.0,-2.33,1.17,0.0,0.0,0.0
-7036.0,0,-2,-1.0,1.0,-8.0,-11.67,-8.71,-3.9,-8.33,1.0,1.0
4373.0,1,2,-1.0,0.0,0.6699999999999999,0.33,4.67,0.5800000000000001,1.33,0.0,-2.0
514.0,1,-2,0.0,0.0,0.8300000000000001,-4.0,0.33,-1.0,-2.0,0.0,2.0
-1649.0,1,0,1.0,1.0,2.5,-6.0,-1.67,-4.67,1.0,-1.0,1.0
4077.0,1,0,-1.0,0.0,2.67,3.67,6.67,1.5,6.0,1.0,0.0
165.0,1,0,-1.0,0.0,-3.0,-1.0,0.4499999999999999,-1.0,1.0,-1.0,-1.0
-2035.0,0,2,0.0,-1.0,1.5,-1.33,-3.75,1.0,1.25,-1.0,-1.0
-1852.0,0,0,-1.0,1.0,-5.8,-5.0,-2.0,2.29,-4.0,1.0,2.0
-5053.0,0,0,-1.0,1.0,0.75,-5.25,-6.0,-13.2,-5.0,2.0,0.0
7140.0,1,2,-1.0,-3.0,1.33,0.75,-3.0,3.0,2.25,1.0,-1.0
714.0,0,-2,0.0,1.0,-0.3299999999999999,0.0,4.0,-4.33,-2.5,0.0,-1.0
3833.0,0,0,-1.0,1.0,0.25,8.67,8.0,-0.97,3.0,2.0,-2.0
-3276.0,0,-2,-1.0,2.0,0.0,-2.17,-0.8300000000000001,-1.0,5.0,-1.0,1.0
-389.0,1,0,0.0,1.0,-4.67,0.6699999999999999,2.8,6.75,4.5,0.0,0.0
2530.0,0,2,1.0,-1.0,-0.58,-4.33,0.0,0.1699999999999999,3.75,2.0,0.0
-69.0,1,0,0.0,0.0,-0.6699999999999999,2.33,1.0,2.8,-2.5,0.0,1.0
5053.0,1,0,-1.0,-1.0,-0.5800000000000001,6.67,-1.5,5.67,5.0,3.0,0.0
789.0,1,0,-1.0,0.0,-1.5,-1.0,6.5,-2.0,0.0699999999999998,0.0,-1.0
6916.0,1,2,-1.0,-2.0,1.25,5.5,5.0,4.0,4.0,2.0,-1.0
-4484.0,1,2,1.0,0.0,3.5,0.1699999999999999,-3.5,1.83,-9.5,0.0,-1.0
3439.0,1,0,-1.0,1.0,1.17,6.33,4.0,2.9,1.33,2.0,1.0
785.0,1,-1,0.0,1.0,-5.5,0.5,0.93,1.4,-0.5,0.0,0.0
