link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,gold_difference,turret_blue,turret_red,dragon_blue,dragon_red,blue_heralds,red_heralds,team_win
/match/oce/568139970,Malphite,Jayce,Ekko,Varus,Qiyana,Lissandra,Twitch,Graves,Thresh,Janna,2.0,0.0,5.0,0.0,4.0,2.0,5.5,0.5,10.0,0.6,3857.0,0.0,0.0,0.0,0.0,1,1,blue
/match/oce/568139659,Jayce,Irelia,Kha'Zix,Diana,Syndra,Gragas,Xayah,Varus,Janna,Rakan,5.0,0.5,1.5,2.0,0.0,2.0,0.0,4.0,1.0,3.0,-4785.0,1.0,0.0,2.0,0.0,1,1,red
/match/oce/568028632,Malphite,Mordekaiser,Kindred,Kha'Zix,Viktor,Lissandra,Twitch,Zeri,Milio,Yuumi,1.0,1.0,1.5,2.5,2.0,5.0,1.0,4.0,1.0,4.0,-2150.0,1.0,0.0,1.0,0.0,0,1,red
/match/oce/568005438,Udyr,Ornn,Master Yi,Kha'Zix,Orianna,Karthus,Aphelios,Xayah,Maokai,Bard,2.0,3.0,2.0,2.0,4.0,1.0,1.0,2.5,3.0,2.0,-2214.0,1.0,0.0,2.0,0.0,0,2,red
/match/oce/567999153,Rumble,Gangplank,Lee Sin,Jarvan IV,Pantheon,Lissandra,Jinx,Kog'Maw,Milio,Lulu,6.0,0.0,6.0,2.0,0.0,6.0,5.0,1.33,1.67,0.5,1992.0,0.0,1.0,0.0,1.0,2,0,blue
/match/oce/567990613,Akshan,Sion,Lee Sin,Viego,Galio,Brand,Nilah,Karthus,Pyke,Senna,3.0,2.0,7.0,2.0,3.0,2.0,9.0,0.75,4.0,0.75,-63.0,1.0,1.0,0.0,1.0,1,1,red
/match/oce/567980064,Sion,Illaoi,Nocturne,Sylas,Fizz,Kha'Zix,Lux,Ziggs,Senna,Janna,6.0,0.25,5.0,1.0,2.5,0.67,2.5,0.67,4.0,1.0,4973.0,0.0,1.0,1.0,1.0,1,1,red
/match/oce/568119195,Jax,Olaf,Hecarim,Evelynn,Qiyana,Akshan,Veigar,Ezreal,Karma,Soraka,2.5,0.4,1.5,3.5,6.0,0.25,1.0,1.0,5.0,3.0,4079.0,0.0,1.0,0.0,1.0,2,0,blue
/match/oce/568120073,Jax,Camille,Nautilus,Rek'Sai,Kennen,Lucian,Draven,Syndra,Graves,Nami,2.0,0.67,7.0,2.0,1.5,4.0,3.5,1.5,8.0,1.25,6950.0,0.0,1.0,2.0,0.0,2,0,blue
/match/oce/568115603,Kindred,Nami,Sylas,Lucian,Ezreal,Rek'Sai,Renekton,LeBlanc,Karma,Jax,0.44,6.0,0.33,9.0,0.0,12.0,0.25,4.0,0.75,15.0,-14538.0,3.0,0.0,1.0,0.0,0,2,red
/match/oce/568111468,Annie,Nami,Tahm Kench,Lucian,Wukong,Rek'Sai,Xayah,Viktor,Nautilus,Zac,0.6,6.0,0.2,6.0,1.6,6.5,2.33,4.33,1.5,5.0,-8033.0,2.0,0.0,1.0,0.0,0,1,red
/match/oce/568109448,Renekton,Gnar,Talon,Rek'Sai,Annie,Galio,Aphelios,Jinx,Milio,Yuumi,2.5,0.6,1.5,11.0,1.0,6.0,0.8,2.0,1.0,11.0,-2371.0,1.0,1.0,2.0,0.0,0,1,red
