gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role,win_score_difference
2157.0,0,2,1.0,0.0,4.5,1.0,0.5,4.5,3.0,-1.0,0.0,3.6999999999999815
4775.0,1,2,-1.0,-1.0,5.75,2.17,5.4,-4.5,-4.0,0.0,0.0,6.5600000000000165
-6212.0,0,-2,-1.0,1.0,-1.71,0.6699999999999999,-2.0,-0.5999999999999999,-0.5800000000000001,-3.0,-1.0,-40.88000000000002
-773.0,1,-1,1.0,0.0,-2.67,0.33,2.0,0.0,-2.0,0.0,1.0,-17.99999999999997
15853.0,1,1,-1.0,-5.0,10.43,5.25,-1.0,6.0,6.25,-1.0,1.0,3.2700000000000244
-9942.0,0,-2,2.0,3.0,-0.5,-9.6,-3.33,-1.0,0.33,1.0,1.0,28.790000000000013
3550.0,0,0,0.0,0.0,1.0,4.0,3.0,4.0,4.0,0.0,1.0,-3.6599999999999895
3619.0,1,-2,-1.0,-1.0,3.67,1.67,-3.0,1.83,7.75,0.0,1.0,1.3599999999999923
-3043.0,0,-1,-1.0,1.0,-2.0,-6.67,-3.0,3.5,9.67,-2.0,0.0,-5.150000000000013
6179.0,1,0,0.0,-1.0,0.0,6.6,1.33,1.0,3.0,-1.0,-1.0,11.99999999999998
2586.0,1,2,-1.0,0.0,-0.5,-0.5,1.5,4.5,-1.0,0.0,1.0,-43.26999999999998
5946.0,1,-2,1.0,0.0,-0.33,1.5,2.25,5.33,5.0,-1.0,-2.0,-10.319999999999986
1764.0,1,2,1.0,-1.0,0.1699999999999999,-2.0,5.5,3.0,3.5,-1.0,0.0,-1.0700000000000216
-2799.0,1,0,0.0,1.0,-5.0,1.0,2.83,-0.5,1.25,1.0,0.0,-5.170000000000009
8794.0,1,1,-1.0,-1.0,2.0,3.7,6.5,9.75,5.6,0.0,0.0,-4.489999999999974
-6152.0,0,0,1.0,0.0,-2.5,-4.0,-2.0,-3.0,-4.75,0.0,1.0,1.3799999999999957
2518.0,1,2,0.0,0.0,3.33,0.66,1.0,-3.5,0.0,2.0,-1.0,-5.769999999999989
-8076.0,0,1,2.0,1.0,-3.5,-5.0,-1.83,-5.0,0.0,-2.0,1.0,-13.520000000000016
-2629.0,1,-2,-2.0,1.0,1.0,0.0,-2.0,2.0,1.0,1.0,-1.0,4.689999999999969
-2038.0,1,2,1.0,0.0,-0.83,-1.33,2.0,-5.5,-5.5,-1.0,0.0,-0.0100000000000335
-5197.0,0,2,-2.0,0.0,-7.88,-8.0,1.0,0.5,0.5,1.0,1.0,16.16000000000001
6194.0,1,2,-2.0,-1.0,0.0,5.5,0.33,3.5,2.5,1.0,-1.0,108.71000000000002
4224.0,0,0,1.0,-2.0,7.0,2.0,-0.5,0.5,-2.0,0.0,0.0,5.260000000000019
-1531.0,1,-2,2.0,1.0,0.83,1.0,-3.0,-3.5,-4.0,2.0,-1.0,-6.920000000000002
-1587.0,0,2,0.0,-1.0,-4.8,-5.0,-3.5,0.0,0.5,1.0,0.0,37.54999999999998
-2877.0,0,-2,-1.0,1.0,1.5,-2.33,4.0,-2.25,-5.5,2.0,0.0,-15.489999999999974
-3526.0,0,0,-1.0,0.0,-1.5,-8.0,0.0,-6.0,-6.75,1.0,1.0,-7.960000000000051
3754.0,0,2,-1.0,-1.0,-1.25,0.1699999999999999,7.67,3.0,3.0,1.0,2.0,-6.779999999999994
-2167.0,1,-2,1.0,1.0,-2.5,-9.33,-4.0,-1.75,-2.25,1.0,-1.0,-8.059999999999995
5209.0,1,0,1.0,-1.0,-3.0,0.0,3.4,10.67,6.0,-1.0,0.0,-8.61
164.0,1,0,1.0,0.0,1.0,2.0,-1.0,1.0,1.5,2.0,0.0,7.69999999999996
-4058.0,0,-2,0.0,1.0,2.75,-1.0,-9.5,-1.67,0.1699999999999999,1.0,1.0,-29.510000000000023
-5384.0,0,-2,2.0,0.0,-0.3299999999999999,-6.43,-6.67,-1.25,-1.33,1.0,-1.0,-7.080000000000027
-5166.0,0,-2,-1.0,1.0,-5.0,2.0,0.0,3.0,0.3399999999999998,0.0,0.0,-3.509999999999998
-1423.0,0,-2,-1.0,1.0,-0.5,2.5,2.17,0.1699999999999999,-0.1999999999999999,-1.0,0.0,-12.209999999999994
-3166.0,1,0,-1.0,1.0,0.0,-1.4,0.8300000000000001,-2.67,2.0,2.0,-1.0,2.0900000000000034
124.0,1,0,1.0,0.0,0.3299999999999999,5.67,2.0,0.0,0.0,-1.0,-1.0,-0.8600000000000065
-2808.0,1,0,2.0,1.0,0.92,-3.75,-1.0,2.5,-1.0,0.0,0.0,-3.159999999999989
1500.0,0,0,0.0,1.0,5.0,1.0,-0.33,-1.33,2.0,1.0,-1.0,3.049999999999976
-1105.0,1,0,0.0,2.0,-2.17,-1.83,-1.5,6.5,0.8699999999999999,0.0,0.0,1.240000000000002
-4773.0,0,-1,2.0,1.0,4.6,-5.75,-3.25,-1.0,2.0,2.0,1.0,-13.719999999999956
6945.0,1,2,-1.0,-1.0,2.6,9.0,0.0,-1.67,-2.0,-2.0,-2.0,-15.820000000000029
90.0,1,2,-2.0,1.0,-2.5,1.6,7.75,1.0,2.5,2.0,2.0,0.7800000000000296
4713.0,1,2,1.0,-1.0,2.0,4.33,0.8300000000000001,-0.5,2.33,1.0,0.0,-17.190000000000026
-4777.0,1,-2,-1.0,2.0,-0.83,-2.67,-0.33,2.0,3.33,1.0,0.0,-11.33999999999999
11906.0,1,1,-2.0,-3.0,5.8,8.5,4.8,11.0,10.75,0.0,1.0,1.9300000000000068
432.0,1,2,-2.0,-1.0,0.5,-0.5800000000000001,-5.67,-1.5,-1.25,1.0,0.0,36.6
3151.0,0,2,0.0,0.0,0.0,4.67,4.0,2.9,-0.8399999999999999,-3.0,-2.0,44.60999999999999
3744.0,1,2,-1.0,0.0,1.33,1.0,-1.25,2.0,3.0,0.0,1.0,11.30999999999998
2867.0,1,0,1.0,1.0,1.0,8.25,0.8300000000000001,2.0,6.5,0.0,0.0,18.700000000000045
2437.0,1,-1,1.0,0.0,-1.17,-0.5,1.0,3.0,1.0,-2.0,-2.0,-11.049999999999995
-137.0,1,0,2.0,0.0,3.75,2.5,-3.5,0.0,1.0,-3.0,-1.0,1.5599999999999523
1812.0,1,0,-1.0,0.0,-3.0,-1.33,-1.5,1.0,-1.27,-1.0,-1.0,-38.9
235.0,0,0,1.0,0.0,-0.6,-1.75,1.0,3.0,4.33,1.0,1.0,-9.15
249.0,0,1,1.0,1.0,-1.5,-7.4,-7.5,5.5,1.5,0.0,-2.0,-10.68000000000002
5752.0,1,1,-1.0,-1.0,2.1,1.0,1.67,2.0,5.5,-1.0,0.0,5.349999999999994
125.0,0,-2,-1.0,-1.0,2.0,-5.33,2.0,-4.5,-6.33,1.0,1.0,2.609999999999971
-6795.0,0,0,1.0,2.0,-5.8,-3.0,-1.0,-5.5,-7.5,-1.0,1.0,-18.89999999999999
4265.0,1,2,0.0,-1.0,2.0,-3.5,3.67,-2.5,-3.0,1.0,1.0,59.58000000000001
-5406.0,0,-1,2.0,1.0,-4.0,-6.0,-2.5,1.5,-0.6699999999999999,-1.0,1.0,-34.829999999999984
-937.0,1,2,1.0,1.0,2.67,1.0,-4.0,-3.67,-4.0,-2.0,0.0,12.70999999999998
