link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference_at_20_minutes,turret_difference_at_20_minutes,dragon_difference_at_20_minutes,KDA_blue,KDA_red,Blue_Heralds_killed,Red_Heralds_killed,Team_Win,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red
/match/las/1290634645,Aatrox,Elise,Sejuani,Gragas,Galio,Yasuo,Ezreal,Aphelios,Senna,Karma,-9431.0,-4.0,0.0,31 / 41 / 46,41 / 31 / 59,2,0,red,4.5,1.0,4.67,5.0,1.6,1.4,0.57,3.67,1.43,5.0
/match/las/1290630790,Katarina,Malphite,Sylas,Talon,Sion,Aurelion Sol,Tristana,Seraphine,Rakan,Milio,-2086.0,-2.0,-2.0,10 / 25 / 14,25 / 10 / 52,2,0,red,4.0,5.0,2.5,7.0,3.0,0.67,0.5,8.0,1.5,3.5
/match/las/1290603826,Vladimir,Aatrox,Talon,Lillia,Yasuo,Cho'Gath,Lucian,Ezreal,Sion,Karma,4858.0,1.0,0.0,34 / 21 / 41,21 / 34 / 25,2,0,blue,10.0,10.0,3.0,1.2,2.33,1.25,0.33,12.0,1.17,0.25
/match/las/1290596743,Katarina,Zed,Gragas,Sylas,Malphite,Akshan,Zeri,Xayah,Taric,Renata Glasc,-7114.0,-4.0,1.0,16 / 32 / 31,32 / 16 / 50,1,1,red,1.5,4.5,1.75,4.0,2.0,1.5,1.33,2.33,1.5,4.5
/match/las/1290594749,Yasuo,Shen,Wukong,Rek'Sai,Ezreal,Pantheon,Lucian,Ziggs,Karma,Nami,-456.0,1.0,-2.0,17 / 44 / 26,44 / 17 / 64,1,1,red,0.43,4.5,1.33,6.5,0.12,8.0,1.25,4.0,2.67,5.0
/match/las/1290584701,Vayne,Bel'Veth,Maokai,Rengar,Sylas,Yasuo,Vex,Ezreal,Nautilus,Swain,4710.0,3.0,0.0,39 / 33 / 50,33 / 40 / 46,1,1,blue,1.8,1.4,9.0,0.83,3.0,1.4,2.4,1.25,2.0,5.5
/match/las/1290566002,Dr. Mundo,Quinn,Maokai,Hecarim,Talon,Fizz,Karthus,Jinx,Rakan,Zilean,-854.0,0.0,0.0,31 / 41 / 49,41 / 31 / 54,0,2,red,1.2,1.2,1.0,9.0,2.0,2.33,2.25,1.0,4.0,10.0
/match/las/1290560774,Gragas,Sion,Graves,Jarvan IV,Ezreal,Ryze,Sivir,Jinx,Swain,Blitzcrank,6426.0,3.0,2.0,30 / 17 / 44,17 / 30 / 26,2,0,blue,1.0,0.8,2.67,3.67,10.0,1.33,5.5,1.5,2.25,2.33
/match/las/1290563406,Malphite,Dr. Mundo,Wukong,Graves,Veigar,Anivia,Kai'Sa,Ezreal,Janna,Zilean,-1240.0,0.0,1.0,33 / 18 / 57,18 / 33 / 20,2,0,blue,8.0,0.5,2.67,7.0,3.0,0.67,2.0,1.25,3.5,2.5
/match/las/1290561225,Quinn,Jayce,Diana,Rammus,Yasuo,Galio,Veigar,Karthus,Milio,Nautilus,-9742.0,-4.0,-2.0,12 / 40 / 15,40 / 12 / 63,0,2,red,1.0,1.67,0.75,9.0,0.17,12.0,0.14,8.5,0.75,16.0
/match/las/1290553833,Urgot,Camille,Sylas,Kayn,Akshan,Ahri,Ezreal,Jinx,Xerath,Morgana,6188.0,2.0,2.0,43 / 19 / 43,19 / 43 / 18,2,0,blue,5.0,0.33,3.5,1.5,3.67,2.0,2.6,0.43,8.5,1.0
/match/las/1290557344,Yone,Malphite,Lee Sin,Jarvan IV,Ryze,Aurelion Sol,Ezreal,Aphelios,Braum,Rakan,899.0,3.0,1.0,28 / 36 / 31,36 / 28 / 66,2,0,red,1.75,1.5,6.5,1.5,11.0,1.5,0.88,1.6,3.0,2.0
/match/las/1290556175,K'Sante,Poppy,Fiddlesticks,Ekko,Malphite,Annie,Xayah,Lucian,Twitch,Braum,-5633.0,-1.0,-3.0,35 / 44 / 56,44 / 35 / 60,1,1,red,1.6,3.0,1.0,4.5,0.67,8.0,3.0,2.67,1.33,2.0
/match/las/1290552215,Lee Sin,Viktor,Karma,Sylas,Akshan,Yasuo,Lux,Twitch,Ezreal,Lulu,4968.0,4.0,0.0,27 / 19 / 39,19 / 27 / 23,2,0,blue,4.5,2.5,0.25,2.5,4.5,0.75,0.67,5.0,2.0,4.0
/match/las/1290553010,Riven,Malphite,Lee Sin,Kayn,Kassadin,Diana,Zeri,Xayah,Morgana,Thresh,85.0,0.0,2.0,50 / 39 / 73,39 / 50 / 63,0,1,blue,1.75,0.83,2.75,4.33,1.75,1.6,1.67,1.67,1.25,9.0
/match/las/1290531212,Malphite,Garen,Kha'Zix,Kindred,Ahri,Vex,Jinx,Kai'Sa,Blitzcrank,Pyke,3621.0,1.0,0.0,40 / 43 / 56,43 / 40 / 63,2,0,red,3.5,3.5,3.0,2.0,14.0,0.5,0.83,3.25,1.8,1.57
/match/las/1290532006,Gragas,Yorick,Lee Sin,Fiddlesticks,Senna,Jayce,Caitlyn,Ezreal,Veigar,Milio,-5782.0,-1.0,-2.0,15 / 35 / 16,35 / 15 / 60,2,0,red,2.0,0.5,0.75,12.0,0.33,11.0,0.67,5.5,0.0,3.0
/match/las/1290520338,Gangplank,Sett,Ivern,Lee Sin,Zed,Talon,Varus,Ziggs,Veigar,Rakan,-890.0,-3.0,1.0,27 / 50 / 38,50 / 28 / 58,1,1,red,1.0,7.0,2.0,2.0,1.75,2.25,0.8,3.0,0.83,6.0
/match/las/1290521051,Kennen,Fiora,Talon,Viego,Vex,Akshan,Jinx,Seraphine,Thresh,Rakan,-7880.0,-5.0,-3.0,14 / 30 / 22,30 / 14 / 48,0,2,red,0.0,4.0,0.33,11.0,0.5,5.0,0.5,9.0,0.5,8.0
/match/las/1290504535,Tryndamere,Quinn,Kha'Zix,Jarvan IV,Vel'Koz,Pantheon,Ezreal,Seraphine,Rakan,Bel'Veth,-469.0,-1.0,0.0,39 / 26 / 52,26 / 39 / 39,0,2,blue,1.0,2.0,5.0,4.0,2.67,1.0,1.6,4.0,5.5,1.17
/match/las/1290493277,Cho'Gath,Riven,Karthus,Gragas,Jayce,Syndra,Jinx,Xayah,Janna,Milio,-3610.0,-1.0,-1.0,16 / 34 / 21,34 / 16 / 44,2,0,red,5.0,0.5,6.0,4.0,0.0,4.0,0.5,4.0,1.5,4.0
