gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role,win_score_difference
2246.0,1,-2,0.0,0.0,0.0,8.0,0.0,0.5,5.0,-2.0,0.0,-14.540000000000028
1426.0,1,-2,0.0,0.0,3.0,7.0,2.6,7.0,6.0,-1.0,-1.0,27.800000000000004
-20.0,0,2,1.0,0.0,-0.25,0.5,8.0,-1.67,-5.5,-1.0,0.0,26.74999999999998
4202.0,1,1,-1.0,0.0,1.6,2.0,-3.0,8.67,7.0,1.0,1.0,53.940000000000026
5166.0,1,2,2.0,-1.0,3.0,-1.0,3.0,1.0,4.33,2.0,0.0,6.700000000000017
7929.0,1,2,2.0,-1.0,0.3399999999999998,2.4,6.5,0.8300000000000001,6.5,1.0,0.0,18.67000000000001
4729.0,1,1,1.0,-3.0,0.5,5.0,1.0,-3.0,-1.0,-2.0,0.0,11.27000000000001
4831.0,1,-1,-2.0,0.0,5.0,7.0,-0.5,1.17,2.17,-1.0,0.0,-0.1199999999999903
13167.0,1,2,-1.0,-2.0,3.67,8.0,14.0,11.86,10.8,0.0,-1.0,7.590000000000003
12477.0,1,-1,-2.0,-1.0,14.33,2.67,15.71,2.17,5.29,1.0,1.0,71.16999999999999
-3018.0,0,-2,0.0,0.0,0.0,-8.67,-3.1,-3.67,-3.0,-2.0,0.0,-1.0500000000000185
310.0,1,-2,-1.0,1.0,-1.67,1.33,2.0,6.0,10.67,3.0,1.0,59.3
-8129.0,0,-2,0.0,0.0,4.0,-7.0,-6.67,-5.0,-9.25,-1.0,1.0,-96.1
-4630.0,1,0,1.0,1.0,3.0,-0.57,3.75,-4.67,-6.5,-1.0,-1.0,3.769999999999982
4775.0,1,2,0.0,-1.0,-1.0,2.5,2.0,2.0,4.0,0.0,-1.0,2.619999999999997
-4176.0,1,0,-1.0,3.0,-1.0,-1.5,0.0,-0.75,-2.47,0.0,-1.0,-27.99999999999997
3183.0,1,2,-2.0,0.0,4.6,1.0,6.0,1.0,3.0,-1.0,2.0,-2.19999999999996
-514.0,0,2,1.0,0.0,-4.0,-2.75,-1.0,2.0,-0.1699999999999999,-2.0,-2.0,-8.710000000000008
425.0,0,-1,-1.0,0.0,2.5,-0.8300000000000001,-2.34,-0.5,1.0,1.0,0.0,57.69999999999999
-4977.0,0,0,0.0,1.0,-11.0,-1.0,4.0,2.5,3.0,0.0,1.0,1.6500000000000623
-1813.0,0,0,1.0,0.0,1.67,-1.0,-2.0,0.0,1.0,0.0,0.0,-64.31
7633.0,1,2,-2.0,-1.0,3.0,6.0,4.5,12.0,5.6,-1.0,1.0,-4.030000000000008
-3659.0,0,-2,0.0,1.0,0.7300000000000001,-7.0,1.67,-2.33,-0.5,-1.0,0.0,5.810000000000031
-8773.0,0,-1,-2.0,1.0,-4.75,-4.33,-1.0,-3.67,-4.5,0.0,1.0,5.709999999999987
6694.0,1,2,-1.0,0.0,-1.0,8.6,4.0,2.0,5.5,-1.0,0.0,3.789999999999957
5773.0,1,2,-2.0,-1.0,7.0,8.4,6.67,1.0,3.0,-1.0,1.0,-16.12999999999999
2007.0,1,2,-1.0,-1.0,0.0,-4.0,1.5,1.0,-2.0,1.0,1.0,2.449999999999953
2420.0,1,2,-1.0,0.0,3.33,5.67,-1.25,0.5,-3.5,-2.0,1.0,7.289999999999978
2631.0,1,1,2.0,-1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,19.92
2125.0,1,2,1.0,0.0,1.58,1.17,2.67,-1.0,1.0,0.0,-1.0,9.450000000000005
9301.0,1,2,-1.0,-1.0,0.0,10.4,0.0,12.0,5.7,-1.0,0.0,25.93999999999994
-67.0,1,2,0.0,0.0,0.83,-2.33,0.6000000000000001,0.0,-1.92,0.0,0.0,6.169999999999995
2170.0,1,0,-1.0,-1.0,-1.0,2.33,3.5,3.5,6.33,0.0,1.0,-5.780000000000008
-3440.0,0,2,0.0,-1.0,-1.6,-2.5,-4.0,-3.25,-4.67,0.0,2.0,-0.4999999999999929
-6928.0,0,0,2.0,1.0,-1.66,-5.0,-5.0,2.67,-1.5,-3.0,0.0,2.519999999999989
-1003.0,0,-2,2.0,1.0,0.0,-0.5,6.67,4.5,-4.25,0.0,0.0,-21.01999999999999
6083.0,1,0,-2.0,-1.0,0.5,7.75,4.75,2.5,2.34,-1.0,0.0,-2.6100000000000065
2168.0,0,0,2.0,0.0,6.0,-1.5,-1.0,0.0,4.25,0.0,0.0,-1.3700000000000117
-2387.0,0,-2,-1.0,0.0,-4.0,-1.0,-2.0,5.0,0.5,-1.0,0.0,-21.729999999999976
5759.0,1,0,0.0,-1.0,-0.5,10.4,3.67,2.5,6.0,-1.0,-1.0,-0.7599999999999838
8479.0,1,2,-2.0,-2.0,5.0,5.67,1.5,7.75,5.5,-3.0,-2.0,-3.9300000000000495
1519.0,0,0,1.0,0.0,-2.0,-2.0,0.0,-1.0,-1.67,2.0,-2.0,49.980000000000025
4847.0,1,2,-2.0,-1.0,3.67,2.67,0.0,1.0,2.0,-2.0,0.0,5.790000000000006
178.0,1,0,-1.0,1.0,4.75,0.33,-4.33,2.5,1.0,0.0,-1.0,-4.0600000000000165
4508.0,1,-1,-1.0,-1.0,0.0,1.66,7.67,7.0,2.75,-1.0,0.0,-13.460000000000022
-714.0,0,2,1.0,0.0,2.67,2.75,-4.5,0.0,-3.0,2.0,1.0,-17.739999999999995
6448.0,1,1,1.0,-1.0,3.75,8.0,6.0,1.33,-2.0,1.0,1.0,109.13999999999996
-1523.0,1,1,-1.0,1.0,-2.0,0.4000000000000001,5.5,0.5,0.75,1.0,0.0,11.319999999999991
-4587.0,0,-2,2.0,2.0,-9.89,-1.0,-3.8,-1.0,-2.5,-1.0,1.0,3.860000000000035
-4202.0,0,-2,-2.0,-1.0,-6.67,-1.3,-3.17,0.0,-5.17,1.0,-1.0,-0.8800000000000026
6183.0,0,2,-1.0,-1.0,0.0,5.5,2.5,0.0,1.33,1.0,0.0,-16.880000000000003
-1473.0,1,0,-2.0,1.0,-7.83,-1.0,3.0,3.75,6.25,-1.0,0.0,-19.05999999999998
-7617.0,0,0,0.0,2.0,2.5,-1.33,-5.33,-7.0,-2.0,-1.0,0.0,-23.359999999999992
4264.0,1,2,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,11.969999999999956
