gold_difference,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,blue_win_percentage,red_win_percentage
1098.0,0.0,-1.0,-1.0,0.0,4.5,-6.0,3.5,0.6699999999999999,73.84059006064034,26.159409939359662
8084.0,0.0,-2.0,-1.0,1.67,6.5,3.5,4.5,1.42,99.9997193051095,0.00028069489050608354
259.0,0.0,1.0,0.0,-0.7300000000000001,-1.83,1.75,3.5,0.6699999999999999,21.75816518061015,78.24183481938985
8550.0,1.0,-1.0,-1.0,1.67,4.5,6.0,-2.0,5.0,99.9997761588871,0.00022384111289852626
12783.0,1.0,0.0,-3.0,7.0,9.6,11.6,5.5,10.0,99.99999946227473,5.377252705329738e-07
-8865.0,-1.0,1.0,1.0,-1.0,-9.25,1.5,-11.0,-10.75,0.11507948217763696,99.88492051782237
2026.0,2.0,1.0,-1.0,-0.8200000000000001,-0.6699999999999999,-0.8300000000000001,1.34,1.73,78.3560922405209,21.643907759479106
5047.0,2.0,-1.0,-2.0,0.8600000000000001,2.5,-3.0,6.0,0.5,99.91251731894619,0.08748268105381385
2157.0,2.0,1.0,0.0,4.5,1.0,0.5,4.5,3.0,85.21907961040878,14.780920389591216
1447.0,2.0,-1.0,1.0,-3.67,-0.5,0.0,1.75,2.25,85.46259782871427,14.537402171285734
5083.0,-2.0,1.0,0.0,1.5,2.25,0.0,9.75,9.8,99.84156568947144,0.1584343105285626
-738.0,0.0,0.0,0.0,-0.8300000000000001,0.33,-2.0,4.75,1.75,57.467220145104335,42.532779854895665
1248.0,2.0,-1.0,0.0,1.33,1.5,3.0,-1.0,-2.5,81.51680825906588,18.483191740934117
-7195.0,-2.0,0.0,2.0,-3.75,-5.4,-3.5,-10.25,-3.7,0.3606965647219311,99.63930343527807
-1654.0,-1.0,0.0,2.0,1.17,7.0,-1.5,8.0,7.8,45.511935954083214,54.488064045916786
3409.0,2.0,1.0,-1.0,2.0,-1.0,-1.5,-4.0,-4.5,97.00181013628958,2.9981898637104223
435.0,0.0,1.0,1.0,-3.0,1.0,0.33,4.5,5.5,29.49814352690189,70.50185647309812
-1709.0,1.0,-1.0,0.0,-0.83,3.0,7.67,1.25,2.0,71.60169381500953,28.398306184990474
-3170.0,-2.0,1.0,1.0,0.0,3.0,-0.8,5.25,-1.7,9.014742129239124,90.98525787076088
6176.0,2.0,-1.0,-1.0,1.5,7.5,4.9,5.75,0.5,99.98934521777484,0.01065478222515992
13053.0,1.0,0.0,-3.0,2.9,4.8,4.83,19.38,8.5,99.99999947099127,5.290087301546009e-07
-5568.0,0.0,1.0,2.0,4.0,-3.0,-2.0,-7.6,-2.0,2.52919662115033,97.47080337884967
-863.0,2.0,0.0,1.0,1.9,-5.0,0.0,-5.5,-5.67,67.98382910667885,32.016170893321146
-4534.0,-2.0,-1.0,0.0,-1.0,-2.0,-2.0,1.0,3.5,8.815173878861557,91.18482612113844
-1742.0,-2.0,-1.0,0.0,1.5,-1.0,-0.6699999999999999,3.0,3.67,52.612533857459646,47.387466142540354
-6328.0,0.0,-1.0,1.0,-1.0,-2.0,-1.0,-6.0,-2.0,3.5689211425935383,96.43107885740646
16960.0,1.0,-1.0,-4.0,4.0,3.75,10.25,6.0,9.0,99.9999999994198,5.802007763122674e-10
-3267.0,-2.0,-1.0,1.0,0.5999999999999999,4.0,2.0,0.0,-1.33,28.764194453440307,71.23580554655969
-1901.0,-2.0,1.0,0.0,-0.5,-1.17,-4.4,0.75,-2.0,14.209545976954468,85.79045402304553
-12031.0,-2.0,0.0,5.0,-9.6,-6.6,-5.6,-2.67,-7.0,0.005787281516322004,99.99421271848368
2297.0,2.0,1.0,-3.0,2.1,0.0,-8.0,0.0,-3.0,79.58162088061108,20.418379119388916
3849.0,-2.0,0.0,-1.0,-1.25,8.5,0.95,9.75,5.75,99.30799919109518,0.6920008089048224
-3302.0,0.0,0.0,1.0,-0.27,-5.5,-1.67,-0.5,-1.0,15.515131176878013,84.48486882312199
-4026.0,0.0,1.0,0.0,0.0,1.0,0.0,-7.67,-2.67,5.728239665997356,94.27176033400265
-7337.0,-2.0,1.0,1.0,-2.0,-2.67,-0.5,-10.0,-3.4,0.24879828675551974,99.75120171324448
-2721.0,0.0,2.0,1.0,-4.0,-5.0,-7.67,-6.0,-7.33,3.1432457392053013,96.8567542607947
1640.0,-1.0,-1.0,1.0,-0.8300000000000001,4.33,-0.25,6.0,7.33,90.93541213700583,9.064587862994173
4027.0,0.0,0.0,0.0,1.67,6.5,8.0,6.6,9.0,99.60216742881994,0.39783257118006077
-11366.0,0.0,0.0,1.0,-6.6,-5.33,-1.5,-6.0,-7.0,0.024183796631015265,99.97581620336898
2468.0,2.0,-1.0,0.0,1.5,3.5,3.5,1.0,-0.1699999999999999,96.88006920217903,3.1199307978209703
224.0,0.0,-1.0,1.0,2.5,1.0,-0.5,-7.0,-3.17,52.1826810832123,47.8173189167877
-2320.0,2.0,2.0,0.0,0.5,-2.0,-2.0,-3.0,-2.0,13.674619143285197,86.3253808567148
6057.0,2.0,-1.0,-1.0,1.0,4.4,1.5,13.4,3.6,99.9851502438416,0.014849756158398009
4350.0,0.0,0.0,-4.0,-6.0,-1.3,-1.13,3.0,6.0,99.40434987064926,0.5956501293507444
-3472.0,2.0,1.0,0.0,5.0,-4.33,0.0,0.0,-2.5,20.75908841252815,79.24091158747186
4264.0,2.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,99.18953265871424,0.8104673412857579
