gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role,win_score_difference
-1830.0,1,0,1.0,-1.0,-1.5,0.0,3.5,0.0,-1.0,-2.0,0.0,8.610000000000035
-8341.0,0,0,0.0,0.0,-1.66,-6.0,-4.0,-6.0,-7.33,1.0,1.0,-64.19999999999999
-351.0,0,-1,2.0,0.0,0.0,3.0,-0.5,-2.4,-1.0,0.0,0.0,-29.76000000000002
-6809.0,1,-2,0.0,1.0,-0.5,-5.67,-6.5,-1.83,-5.0,0.0,0.0,16.550000000000004
-5004.0,0,-1,1.0,0.0,2.0,-1.5,0.0,-1.17,0.0,1.0,1.0,4.319999999999993
4576.0,1,0,-1.0,0.0,0.0,2.5,4.5,3.0,6.67,2.0,1.0,8.609999999999985
4886.0,1,2,0.0,-1.0,-1.0,1.5,0.8500000000000001,0.0,9.5,2.0,1.0,10.509999999999984
-1258.0,0,0,-2.0,0.0,-2.0,-2.5,1.0,5.0,1.6,0.0,-1.0,-4.150000000000013
-12031.0,0,-2,0.0,5.0,-9.6,-6.6,-5.6,-2.67,-7.0,2.0,0.0,-8.919999999999987
452.0,1,-1,-1.0,0.0,1.9,-0.75,6.67,-2.0,1.5,1.0,-1.0,-1.690000000000012
-1891.0,0,-1,0.0,1.0,0.0,-1.0,9.8,0.0,-4.75,-1.0,1.0,-47.49
-553.0,1,2,1.0,0.0,1.5,0.0,-6.67,0.25,-0.6699999999999999,-2.0,0.0,-5.180000000000021
-9502.0,0,-1,0.0,2.0,-7.0,-6.75,0.0,-2.5,-3.4,0.0,0.0,-9.289999999999978
189.0,1,0,-2.0,-1.0,1.0,-0.5,-1.25,7.25,5.75,0.0,2.0,9.98999999999998
3066.0,1,0,1.0,0.0,-3.0,0.6000000000000001,4.33,3.33,6.0,0.0,0.0,7.159999999999997
3872.0,1,0,0.0,0.0,1.33,3.0,3.0,0.5,5.33,2.0,0.0,23.770000000000024
6685.0,1,2,-1.0,0.0,1.0,3.33,1.0,1.0,1.0,2.0,-1.0,-10.650000000000013
2023.0,1,0,-1.0,0.0,0.17,-3.0,-0.5,0.92,-3.5,0.0,1.0,-9.959999999999987
-2038.0,0,0,-1.0,-1.0,-5.25,1.0,-9.67,3.0,6.0,0.0,-2.0,12.410000000000018
6599.0,1,2,-1.0,-2.0,-0.33,8.0,2.0,5.0,3.3,0.0,0.0,-2.919999999999966
12852.0,1,1,-2.0,-1.0,4.0,9.5,-0.25,9.71,6.3,1.0,1.0,16.380000000000024
2730.0,1,1,-2.0,0.0,-1.0,2.5,3.0,5.33,5.33,-1.0,-1.0,-16.549999999999997
4355.0,1,2,0.0,-1.0,2.0,0.0,0.0,2.0,-1.0,-1.0,0.0,-5.689999999999998
-4820.0,0,1,1.0,0.0,-6.0,-7.0,-2.0,-2.0,-4.0,-1.0,0.0,-66.32999999999998
-5850.0,1,-2,0.0,1.0,-2.5,-6.0,-2.25,0.1699999999999999,-0.75,1.0,2.0,0.8100000000000023
-5642.0,0,-2,-1.0,1.0,0.3299999999999999,-2.67,0.0,-1.5,0.8300000000000001,2.0,-1.0,7.409999999999997
2799.0,1,1,1.0,0.0,3.6,11.67,2.7,-3.33,-0.6000000000000001,-1.0,0.0,-18.929999999999986
1302.0,1,2,0.0,-1.0,2.0,1.0,1.0,-3.5,-0.33,-2.0,-1.0,9.670000000000009
-1137.0,1,0,-2.0,0.0,-1.5,0.6699999999999999,-1.0,0.0,0.0,0.0,2.0,1.7300000000000253
