gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
629.0,1,0,1.0,0.0,2.33,-5.0,-1.67,-2.0,-2.17,0.0,-1.0
-105.0,0,-2,-1.0,1.0,-1.6,-8.0,7.2,-4.25,1.08,1.0,-1.0
-51.0,0,0,1.0,-1.0,4.0,-1.67,-1.0,-5.0,-8.17,0.0,-1.0
1122.0,1,2,-2.0,-1.0,0.5,2.0,-1.84,-3.0,-2.5,1.0,-1.0
-44.0,1,0,2.0,1.0,0.83,2.0,5.0,0.3,-4.0,0.0,1.0
-8809.0,0,-2,1.0,1.0,-1.5,-5.0,-5.0,-12.5,-6.17,1.0,1.0
519.0,0,0,0.0,0.0,-1.2,-8.75,-0.83,0.5,-0.25,-1.0,0.0
8944.0,1,1,2.0,-2.0,9.0,6.5,2.0,0.33,10.0,-2.0,1.0
-1479.0,0,0,-1.0,0.0,0.0,1.8,-3.2,-1.5,-3.5,3.0,2.0
-5006.0,0,-2,-1.0,1.0,1.5,-3.0,-1.0,-4.4,-8.33,-1.0,1.0
-4241.0,0,-1,2.0,1.0,1.0,-7.0,-3.83,-3.0,-3.0,5.0,-1.0
-3214.0,0,0,1.0,-1.0,-4.8,1.5,-3.67,1.5,0.8300000000000001,1.0,0.0
6694.0,1,2,-1.0,0.0,-1.0,8.6,4.0,2.0,5.5,-1.0,0.0
5377.0,1,2,1.0,-1.0,0.0,-1.0,-3.0,3.5,3.33,1.0,0.0
7145.0,1,2,1.0,-2.0,10.8,1.75,0.5,-3.0,-4.0,-1.0,-1.0
-5111.0,0,1,-1.0,1.0,-6.0,-2.08,-1.25,0.0,-6.5,1.0,0.0
-8344.0,0,-1,0.0,1.0,-6.0,-4.25,-2.33,-5.75,-1.5,2.0,0.0
-3944.0,0,0,0.0,0.0,-3.5,-6.0,-4.0,-3.25,-4.0,-2.0,1.0
-1007.0,0,2,0.0,0.0,0.6699999999999999,-0.5,-6.5,-9.25,-1.47,3.0,0.0
2570.0,1,0,1.0,0.0,4.8,5.33,0.5,2.0,0.0,1.0,1.0
517.0,0,-2,0.0,0.0,-1.5,3.0,4.0,0.5,-0.5,1.0,0.0
2306.0,0,0,2.0,-1.0,5.8,10.33,-1.33,2.0,1.0,0.0,1.0
516.0,1,0,2.0,0.0,-1.0,0.5,0.0,-7.0,-2.0,-3.0,-1.0
-1321.0,1,0,-2.0,1.0,-0.3299999999999999,-7.0,2.04,2.0,3.0,0.0,-1.0
-1830.0,1,0,1.0,-1.0,-1.5,0.0,3.5,0.0,-1.0,-2.0,0.0
-1999.0,0,0,2.0,0.0,-3.5,1.25,8.0,-6.67,-2.17,1.0,-1.0
3689.0,1,2,-1.0,0.0,3.0,1.25,-0.5,3.0,0.75,0.0,-1.0
-3827.0,0,-2,-1.0,1.0,-6.0,-7.4,-0.68,-0.55,0.5,0.0,-2.0
-1498.0,1,0,-1.0,1.0,-0.25,-4.0,2.33,-0.8,-2.21,0.0,2.0
-626.0,1,0,1.0,0.0,1.17,-0.5,-6.5,-3.0,-1.0,1.0,1.0
2693.0,1,2,-1.0,0.0,0.0,6.25,0.6699999999999999,-1.0,-3.0,-2.0,1.0
1695.0,1,2,-1.0,-1.0,7.75,-1.5,-1.67,-9.6,-9.0,3.0,0.0
-4903.0,1,0,1.0,0.0,-2.0,-1.17,-5.6,-4.0,0.0,-2.0,0.0
-918.0,0,-2,2.0,1.0,-0.83,2.0,-4.5,-1.33,1.53,2.0,1.0
