top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,top_blue_lane,top_blue_role,top_red_lane,top_red_role,jung_blue_lane,jung_blue_role,jung_red_lane,jung_red_role,mid_blue_lane,mid_blue_role,mid_red_lane,mid_red_role,ad_blue_lane,ad_blue_role,ad_red_lane,ad_red_role,support_blue_lane,support_blue_role,support_red_lane,support_red_role,score_blue,score_red,score_blue_role,score_red_role
Nasus,Pantheon,Bel'Veth,Lillia,LeBlanc,Syndra,Xayah,Aphelios,Janna,Senna,396.0,red,2,1.0,0.0,-0.83,2.17,-2.5,6.75,8.67,top,Fighter,top,Fighter,jungle,Fighter,jungle,Fighter,mid,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Marksman,5.0,5.0,4.0,3.0
Illaoi,K'Sante,Kha'Zix,Graves,Taliyah,Akali,Veigar,Zeri,Pyke,Lulu,-653.0,blue,0,2.0,-1.0,-1.5,-5.0,1.0,-1.0,-7.0,top,Fighter,top,Tank,jungle,Assassin,jungle,Marksman,jungle,Mage,top,Assassin,mid,Mage,adc,Marksman,support,Support,support,Support,3.0,4.0,4.0,4.0
Riven,Yone,Zac,Gragas,Annie,Viktor,Jinx,Ezreal,Janna,Renata Glasc,-4908.0,red,-1,1.0,1.0,-2.0,-4.0,2.0,-1.5,-4.0,top,Fighter,top,Assassin,top,Tank,top,Fighter,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,4.0,5.0,5.0
Graves,Kayle,Zac,Ekko,Sylas,Janna,Kai'Sa,Ezreal,Nautilus,Leona,3151.0,red,2,0.0,0.0,0.0,4.67,4.0,2.9,-0.8399999999999999,jungle,Marksman,top,Fighter,top,Tank,jungle,Assassin,top,Mage,support,Support,adc,Marksman,adc,Marksman,mid,Tank,support,Tank,1.0,4.0,3.0,5.0
Riven,Fiora,Zac,Ekko,Kai'Sa,Vladimir,Yasuo,Varus,Blitzcrank,Milio,8489.0,blue,2,-1.0,-1.0,1.0,5.0,4.33,9.75,7.5,top,Fighter,top,Fighter,top,Tank,jungle,Assassin,adc,Marksman,top,Mage,top,Fighter,mid,Marksman,support,Tank,support,Support,2.0,3.0,3.0,5.0
Malphite,Gwen,Rengar,Jarvan IV,Gragas,Zed,Jinx,Lux,Milio,Varus,2454.0,blue,0,-2.0,-1.0,2.0,11.0,0.75,1.5,1.33,top,Tank,top,Fighter,top,Assassin,jungle,Tank,top,Fighter,top,Assassin,adc,Marksman,mid,Mage,support,Support,mid,Marksman,3.0,2.0,5.0,5.0
Illaoi,Jax,Master Yi,Lee Sin,Lulu,Orianna,Jinx,Nilah,Taliyah,Thresh,6530.0,blue,2,-1.0,-2.0,-1.5,2.0,3.25,1.0,1.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Fighter,support,Support,mid,Mage,adc,Marksman,adc,Fighter,jungle,Mage,support,Support,3.0,5.0,5.0,3.0
Shen,Kayle,Zac,Lillia,Ekko,Ahri,Jinx,Xayah,Zilean,Rakan,4201.0,blue,0,-1.0,-2.0,1.0,8.67,0.0,8.75,7.5,top,Tank,top,Fighter,top,Tank,jungle,Fighter,jungle,Assassin,mid,Mage,adc,Marksman,adc,Marksman,mid,Support,support,Support,2.0,5.0,4.0,4.0
Hecarim,Riven,Malphite,Nidalee,Sylas,Qiyana,Caitlyn,Vayne,Senna,Rakan,4120.0,blue,0,1.0,-2.0,3.0,0.32999999999999996,0.0,-1.0,0.5,jungle,Fighter,top,Fighter,top,Tank,jungle,Assassin,top,Mage,mid,Assassin,adc,Marksman,top,Marksman,support,Marksman,support,Support,2.0,4.0,4.0,4.0
Jayce,Shen,Poppy,Ekko,Syndra,Qiyana,Aphelios,Ezreal,Zilean,Seraphine,5847.0,blue,0,-1.0,-1.0,4.5,5.0,3.0,0.5,1.5,top,Fighter,top,Tank,top,Tank,jungle,Assassin,mid,Mage,mid,Assassin,adc,Marksman,adc,Marksman,mid,Support,adc,Mage,3.0,4.0,5.0,4.0
Malphite,Jayce,Ekko,Varus,Qiyana,Lissandra,Twitch,Graves,Thresh,Janna,3857.0,blue,0,0.0,0.0,2.0,5.0,2.0,5.0,9.4,top,Tank,top,Fighter,jungle,Assassin,mid,Marksman,mid,Assassin,mid,Mage,adc,Marksman,jungle,Marksman,support,Support,support,Support,5.0,3.0,4.0,4.0
Jayce,Irelia,Kha'Zix,Diana,Syndra,Gragas,Xayah,Varus,Janna,Rakan,-4785.0,red,0,2.0,1.0,4.5,-0.5,-2.0,-4.0,-2.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Fighter,mid,Mage,top,Fighter,adc,Marksman,mid,Marksman,support,Support,support,Support,5.0,3.0,5.0,3.0
Malphite,Mordekaiser,Kindred,Kha'Zix,Viktor,Lissandra,Twitch,Zeri,Milio,Yuumi,-2150.0,red,-1,1.0,1.0,0.0,-1.0,-3.0,-3.0,-3.0,top,Tank,top,Fighter,jungle,Marksman,jungle,Assassin,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,5.0,5.0,4.0,5.0
Udyr,Ornn,Master Yi,Kha'Zix,Orianna,Karthus,Aphelios,Xayah,Maokai,Bard,-2214.0,red,-2,2.0,1.0,-1.0,0.0,3.0,-1.5,1.0,top,Fighter,top,Tank,jungle,Assassin,jungle,Assassin,mid,Mage,jungle,Mage,adc,Marksman,adc,Marksman,top,Tank,support,Support,4.0,4.0,5.0,5.0
