top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,top_blue_lane,top_blue_role,top_red_lane,top_red_role,jung_blue_lane,jung_blue_role,jung_red_lane,jung_red_role,mid_blue_lane,mid_blue_role,mid_red_lane,mid_red_role,ad_blue_lane,ad_blue_role,ad_red_lane,ad_red_role,support_blue_lane,support_blue_role,support_red_lane,support_red_role,score_blue,score_red,score_blue_role,score_red_role
Ornn,Rengar,Jarvan IV,Nidalee,Anivia,Sylas,Sivir,Tristana,Karma,Nautilus,-6553.0,red,-2,1.0,1.0,-3.0,-9.0,-2.67,-1.0,-10.57,top,Tank,top,Assassin,jungle,Tank,jungle,Assassin,mid,Mage,top,Mage,adc,Marksman,mid,Marksman,support,Mage,mid,Tank,5.0,2.0,3.0,4.0
Olaf,Rammus,Nunu & Willump,Graves,LeBlanc,Brand,Zeri,Jinx,Janna,Thresh,3441.0,blue,2,1.0,0.0,5.86,8.0,2.5,1.5,-0.75,top,Fighter,jungle,Tank,jungle,Tank,jungle,Marksman,mid,Assassin,support,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,5.0,3.0,5.0,4.0
Fiora,Jayce,Kha'Zix,Maokai,Ahri,Brand,Jinx,Aphelios,Senna,Thresh,1538.0,red,2,-2.0,0.0,0.0,2.0,2.5,1.67,-3.5,top,Fighter,top,Fighter,jungle,Assassin,top,Tank,mid,Mage,support,Mage,adc,Marksman,adc,Marksman,support,Marksman,support,Support,5.0,3.0,4.0,5.0
Riven,Bel'Veth,Ekko,Poppy,Yasuo,Annie,Zeri,Xayah,Xerath,Soraka,-5118.0,red,-2,2.0,1.0,-5.75,-3.5,-0.5,-5.0,-3.6,top,Fighter,jungle,Fighter,jungle,Assassin,top,Tank,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,mid,Mage,support,Support,3.0,3.0,4.0,5.0
Camille,Brand,Nidalee,Nocturne,Aurelion Sol,Zed,Jinx,Ezreal,Milio,Bard,-7278.0,red,-2,1.0,2.0,0.9999999999999999,-6.0,-5.0,-2.0,-6.0,top,Fighter,support,Mage,jungle,Assassin,jungle,Assassin,mid,Mage,top,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Support,5.0,3.0,5.0,4.0
Fiora,Kayle,Lissandra,Taliyah,Pantheon,Fizz,Draven,Jinx,Amumu,Blitzcrank,9989.0,blue,1,-2.0,-1.0,1.5,5.33,9.0,7.5,1.33,top,Fighter,top,Fighter,mid,Mage,jungle,Mage,top,Fighter,mid,Assassin,adc,Marksman,adc,Marksman,jungle,Tank,support,Tank,2.0,5.0,4.0,5.0
Volibear,Jax,Lulu,Kha'Zix,Varus,Sylas,Twitch,Aphelios,Gragas,Thresh,2902.0,blue,2,-2.0,0.0,-1.0,7.0,5.0,0.0,5.25,top,Fighter,top,Fighter,support,Support,jungle,Assassin,mid,Marksman,top,Mage,adc,Marksman,adc,Marksman,top,Fighter,support,Support,3.0,4.0,3.0,5.0
Jayce,Gnar,Ekko,Sylas,Akshan,Qiyana,Twitch,Jinx,Elise,Lux,16916.0,blue,1,-2.0,-4.0,1.6,12.4,5.67,3.4,12.8,top,Fighter,top,Fighter,jungle,Assassin,top,Mage,top,Marksman,mid,Assassin,adc,Marksman,adc,Marksman,jungle,Mage,mid,Mage,3.0,3.0,4.0,4.0
Jayce,Rammus,Nunu & Willump,Graves,Akali,Katarina,Varus,Jinx,Soraka,Lulu,5413.0,blue,2,-2.0,-1.0,5.83,6.5,7.0,0.0,0.5,top,Fighter,jungle,Tank,jungle,Tank,jungle,Marksman,top,Assassin,mid,Assassin,mid,Marksman,adc,Marksman,support,Support,support,Support,3.0,4.0,5.0,4.0
Camille,Irelia,Jarvan IV,Lee Sin,Cassiopeia,Syndra,Jinx,Brand,Nautilus,Nami,4203.0,blue,2,0.0,-1.0,1.33,8.0,0.34,2.25,4.5,top,Fighter,top,Fighter,jungle,Tank,jungle,Fighter,top,Mage,mid,Mage,adc,Marksman,support,Mage,mid,Tank,support,Support,3.0,4.0,4.0,3.0
Shen,Jayce,Bel'Veth,Ekko,Twisted Fate,Akshan,Caitlyn,Kai'Sa,Soraka,Renata Glasc,5108.0,red,2,0.0,-2.0,2.67,6.3,-0.5,5.67,3.0,top,Tank,top,Fighter,jungle,Fighter,jungle,Assassin,mid,Mage,top,Marksman,adc,Marksman,adc,Marksman,support,Support,support,Support,5.0,4.0,5.0,4.0
Ornn,Viktor,Shyvana,Irelia,Akali,Viego,Jinx,Zeri,Karma,Soraka,3106.0,blue,0,-2.0,0.0,2.0,1.5,8.43,6.33,6.0,top,Tank,mid,Mage,jungle,Fighter,top,Fighter,top,Assassin,jungle,Assassin,adc,Marksman,adc,Marksman,support,Mage,support,Support,4.0,2.0,5.0,5.0
Rammus,Fiora,Ekko,Jarvan IV,Annie,Anivia,Jinx,Kog'Maw,Renata Glasc,Karma,-2974.0,red,-2,0.0,1.0,-1.0,-2.33,-2.0,2.0,1.5,jungle,Tank,top,Fighter,jungle,Assassin,jungle,Tank,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Mage,4.0,5.0,5.0,4.0
Yone,Ornn,Ekko,Tahm Kench,Viego,Galio,Ezreal,Senna,Janna,Sivir,6852.0,blue,1,-1.0,-2.0,3.0,5.0,5.67,3.0,-4.0,top,Assassin,top,Tank,jungle,Assassin,top,Support,jungle,Assassin,mid,Tank,adc,Marksman,support,Marksman,support,Support,adc,Marksman,4.0,2.0,3.0,3.0
Aatrox,Sett,Zac,Jarvan IV,Tryndamere,Galio,Aphelios,Zeri,Zilean,Braum,7444.0,blue,1,-2.0,-1.0,-1.0,6.36,1.17,5.67,1.67,top,Fighter,top,Fighter,top,Tank,jungle,Tank,top,Fighter,mid,Tank,adc,Marksman,adc,Marksman,mid,Support,support,Support,2.0,5.0,4.0,4.0
Jayce,Rengar,Lee Sin,Sylas,Jinx,Zed,Akali,Tristana,Nautilus,Leona,2565.0,red,0,0.0,0.0,-6.83,0.16999999999999993,8.75,5.0,4.17,top,Fighter,top,Assassin,jungle,Fighter,top,Mage,adc,Marksman,top,Assassin,top,Assassin,mid,Marksman,mid,Tank,support,Tank,2.0,2.0,4.0,4.0
Kennen,Jayce,Rammus,Lee Sin,LeBlanc,Ahri,Ezreal,Aphelios,Janna,Thresh,-8837.0,red,-2,1.0,3.0,-4.0,-3.83,-5.5,-5.0,-4.0,top,Mage,top,Fighter,jungle,Tank,jungle,Fighter,mid,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,5.0,5.0,5.0,4.0
Gwen,Skarner,Lee Sin,Hecarim,Yasuo,Ahri,Jinx,Ashe,Nami,Milio,2161.0,blue,2,1.0,0.0,0.5,3.5,3.33,1.0,2.75,top,Fighter,jungle,Fighter,jungle,Fighter,jungle,Fighter,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,4.0,3.0,4.0
Zac,LeBlanc,Rengar,Master Yi,Lissandra,Rakan,Jinx,Twitch,Sylas,Renekton,-5070.0,blue,-2,-1.0,2.0,-0.83,1.67,0.0,-5.0,-6.17,top,Tank,mid,Assassin,top,Assassin,jungle,Assassin,mid,Mage,support,Support,adc,Marksman,adc,Marksman,top,Mage,top,Fighter,3.0,2.0,4.0,4.0
Rengar,K'Sante,Ekko,Kayn,Lux,Ahri,Sivir,Zeri,Karma,Soraka,3181.0,red,2,2.0,-1.0,1.83,2.5,5.33,-2.0,0.0,top,Assassin,top,Tank,jungle,Assassin,top,Fighter,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Mage,support,Support,5.0,4.0,3.0,5.0
Renekton,Malphite,Master Yi,Bel'Veth,Vex,Katarina,Zeri,Samira,Lux,Rell,3755.0,blue,0,-2.0,-1.0,1.5,3.5,4.5,2.83,3.0,top,Fighter,top,Tank,jungle,Assassin,jungle,Fighter,mid,Mage,mid,Assassin,adc,Marksman,adc,Marksman,mid,Mage,support,Tank,4.0,5.0,4.0,4.0
Pantheon,K'Sante,Bel'Veth,Fiddlesticks,Aphelios,Yasuo,Syndra,Twitch,Blitzcrank,Lulu,1957.0,red,0,-1.0,0.0,5.8,2.34,0.16999999999999993,0.1499999999999999,-2.75,top,Fighter,top,Tank,jungle,Fighter,jungle,Mage,adc,Marksman,top,Fighter,mid,Mage,adc,Marksman,support,Tank,support,Support,3.0,4.0,4.0,5.0
Rumble,Aatrox,Elise,Lee Sin,Zed,Ekko,Vayne,Jinx,Milio,Blitzcrank,-11044.0,red,-1,1.0,2.0,-4.0,-12.0,-0.32999999999999996,-0.83,-6.0,top,Fighter,top,Fighter,jungle,Mage,jungle,Fighter,top,Assassin,jungle,Assassin,top,Marksman,adc,Marksman,support,Support,support,Tank,3.0,4.0,5.0,4.0
Cho'Gath,Jax,Rengar,Nidalee,Annie,Talon,Jinx,Vayne,Rakan,Janna,1310.0,blue,-2,-1.0,0.0,-3.0,10.33,1.0,1.9,2.92,top,Tank,top,Fighter,top,Assassin,jungle,Assassin,mid,Mage,jungle,Assassin,adc,Marksman,top,Marksman,support,Support,support,Support,4.0,3.0,5.0,4.0
Cho'Gath,Jax,Rengar,Nidalee,Annie,Talon,Jinx,Vayne,Rakan,Janna,1310.0,blue,-2,-1.0,0.0,-3.0,10.33,1.0,1.9,2.92,top,Tank,top,Fighter,top,Assassin,jungle,Assassin,mid,Mage,jungle,Assassin,adc,Marksman,top,Marksman,support,Support,support,Support,4.0,3.0,5.0,4.0
Jax,Pantheon,Rek'Sai,Kha'Zix,Lux,Ahri,Xayah,Tristana,Thresh,Elise,1264.0,red,0,-2.0,0.0,1.75,0.33000000000000007,-2.0,6.5,0.41999999999999993,top,Fighter,top,Fighter,jungle,Fighter,jungle,Assassin,mid,Mage,mid,Mage,adc,Marksman,mid,Marksman,support,Support,jungle,Mage,5.0,3.0,4.0,4.0
Shen,Sett,Kayn,Jarvan IV,Kai'Sa,Viktor,Karthus,Nilah,Nautilus,Nami,-3504.0,red,-2,1.0,1.0,-1.17,-2.33,-1.5,0.33000000000000007,-2.0,top,Tank,top,Fighter,top,Fighter,jungle,Tank,adc,Marksman,mid,Mage,jungle,Mage,adc,Fighter,mid,Tank,support,Support,1.0,5.0,4.0,4.0
Malphite,Cassiopeia,Hecarim,Poppy,Ahri,Rumble,Jinx,Draven,Blitzcrank,Lulu,11586.0,blue,1,-2.0,-3.0,5.67,5.17,11.0,2.5,1.5,top,Tank,top,Mage,jungle,Fighter,top,Tank,mid,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Tank,support,Support,5.0,3.0,4.0,5.0
Jax,Ornn,Zac,Bel'Veth,Yone,Yasuo,Aphelios,Jinx,Nautilus,Milio,-2885.0,red,-2,2.0,0.0,4.33,-1.17,-1.0,-1.0,3.0,top,Fighter,top,Tank,top,Tank,jungle,Fighter,top,Assassin,top,Fighter,adc,Marksman,adc,Marksman,mid,Tank,support,Support,2.0,4.0,4.0,4.0
Tahm Kench,Malphite,Bel'Veth,Jarvan IV,Akali,Aurelion Sol,Lucian,Ezreal,Milio,Karma,6571.0,blue,2,1.0,-1.0,4.67,1.25,3.5,0.6499999999999999,-2.5,top,Support,top,Tank,jungle,Fighter,jungle,Tank,top,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Mage,4.0,5.0,4.0,3.0
Zac,Mordekaiser,Ekko,Lillia,Illaoi,Irelia,Varus,Draven,Thresh,Karma,3318.0,blue,2,-2.0,-2.0,6.0,0.0,3.21,-1.0,-0.6699999999999999,top,Tank,top,Fighter,jungle,Assassin,jungle,Fighter,top,Fighter,top,Fighter,mid,Marksman,adc,Marksman,support,Support,support,Mage,3.0,4.0,5.0,3.0
Irelia,Illaoi,Bel'Veth,Nidalee,Sivir,Akshan,LeBlanc,Draven,Braum,Nautilus,-3230.0,blue,0,2.0,1.0,-2.0,-3.0,1.0,-5.0,1.17,top,Fighter,top,Fighter,jungle,Fighter,jungle,Assassin,adc,Marksman,top,Marksman,mid,Assassin,adc,Marksman,support,Support,mid,Tank,3.0,3.0,4.0,4.0
Fiora,Riven,Elise,Fiddlesticks,Zed,Anivia,Ezreal,Jinx,Thresh,Braum,-525.0,red,0,-1.0,1.0,-0.33999999999999986,-2.0,0.6699999999999999,-2.0,0.0,top,Fighter,top,Fighter,jungle,Mage,jungle,Mage,top,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,5.0,5.0,4.0
Riven,Olaf,Kindred,Bel'Veth,Cassiopeia,Lux,Seraphine,Zeri,Rakan,Lulu,-7759.0,red,-2,0.0,2.0,-0.8,-13.33,-4.17,-4.5,-3.71,top,Fighter,top,Fighter,jungle,Marksman,jungle,Fighter,top,Mage,mid,Mage,adc,Mage,adc,Marksman,support,Support,support,Support,4.0,5.0,4.0,4.0
Riven,Olaf,Elise,Kha'Zix,Irelia,Bel'Veth,Xayah,Jinx,Thresh,Nautilus,-8779.0,red,-2,2.0,3.0,-2.1,-1.18,-3.14,-3.5,-1.27,top,Fighter,top,Fighter,jungle,Mage,jungle,Assassin,top,Fighter,jungle,Fighter,adc,Marksman,adc,Marksman,support,Support,mid,Tank,4.0,3.0,4.0,4.0
Jax,Camille,Zac,Ekko,Talon,Cassiopeia,Jinx,Draven,Tahm Kench,Janna,-7252.0,red,-1,-1.0,1.0,-3.25,-10.0,-4.0,-3.5,-7.4,top,Fighter,top,Fighter,top,Tank,jungle,Assassin,jungle,Assassin,top,Mage,adc,Marksman,adc,Marksman,top,Support,support,Support,2.0,4.0,5.0,5.0
Illaoi,K'Sante,Elise,Vi,Yone,Ryze,Kai'Sa,Aphelios,Thresh,Leona,7717.0,blue,1,-1.0,-1.0,4.8,11.0,-3.75,4.5,3.4,top,Fighter,top,Tank,jungle,Mage,jungle,Fighter,top,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Tank,4.0,5.0,5.0,4.0
Illaoi,Tahm Kench,Yorick,Kindred,Lissandra,Diana,Kai'Sa,Ezreal,Seraphine,Pyke,-12103.0,red,-2,1.0,3.0,-7.0,-6.0,-4.0,-6.67,-9.8,top,Fighter,top,Support,top,Fighter,jungle,Marksman,mid,Mage,jungle,Fighter,adc,Marksman,adc,Marksman,adc,Mage,support,Support,3.0,4.0,3.0,3.0
Poppy,Fiora,Sylas,Ekko,Yone,Akshan,Karthus,Vayne,Miss Fortune,Pyke,-2693.0,red,2,1.0,-1.0,0.66,-10.0,-3.0,-3.0,-1.15,top,Tank,top,Fighter,top,Mage,jungle,Assassin,top,Assassin,top,Marksman,jungle,Mage,top,Marksman,adc,Marksman,support,Support,1.0,3.0,4.0,4.0
Akshan,Cassiopeia,Nidalee,Bel'Veth,Viktor,Malphite,Kai'Sa,Xayah,Rakan,Alistar,461.0,blue,-2,1.0,0.0,2.67,0.0,-1.25,1.0,4.0,top,Marksman,top,Mage,jungle,Assassin,jungle,Fighter,mid,Mage,top,Tank,adc,Marksman,adc,Marksman,support,Support,support,Tank,5.0,4.0,4.0,4.0
K'Sante,Rammus,Diana,Kha'Zix,Akshan,Volibear,Zeri,Jhin,Bard,Rell,1049.0,red,0,1.0,0.0,6.0,-2.33,1.0,1.0,5.33,top,Tank,jungle,Tank,jungle,Fighter,jungle,Assassin,top,Marksman,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Tank,4.0,3.0,4.0,4.0
Zilean,Yone,Graves,Pantheon,Karma,Akali,Twitch,Ezreal,Sion,Lux,919.0,blue,0,-2.0,-1.0,0.0,0.5,2.0,0.0,-3.5,mid,Support,top,Assassin,jungle,Marksman,top,Fighter,support,Mage,top,Assassin,adc,Marksman,adc,Marksman,top,Tank,mid,Mage,2.0,2.0,4.0,4.0
Malphite,K'Sante,Elise,Wukong,Ryze,Orianna,Nilah,Twitch,Pantheon,Leona,2450.0,blue,0,-2.0,0.0,3.0,-0.33999999999999986,-4.0,0.0,-5.0,top,Tank,top,Tank,jungle,Mage,top,Fighter,mid,Mage,mid,Mage,adc,Fighter,adc,Marksman,top,Fighter,support,Tank,4.0,4.0,3.0,4.0
Renekton,Garen,Bel'Veth,Skarner,Fizz,Sylas,Samira,Jinx,Blitzcrank,Thresh,8891.0,blue,2,-2.0,-2.0,4.0,7.67,9.5,9.0,11.0,top,Fighter,top,Fighter,jungle,Fighter,jungle,Fighter,mid,Assassin,top,Mage,adc,Marksman,adc,Marksman,support,Tank,support,Support,5.0,4.0,4.0,4.0
Malphite,Irelia,Nidalee,Kindred,Jayce,Galio,Twitch,Draven,Lux,Milio,7936.0,blue,1,-1.0,0.0,-1.0,9.5,8.5,5.57,4.5,top,Tank,top,Fighter,jungle,Assassin,jungle,Marksman,top,Fighter,mid,Tank,adc,Marksman,adc,Marksman,mid,Mage,support,Support,3.0,5.0,5.0,4.0
Irelia,Fiora,Jarvan IV,Rengar,Kai'Sa,Sylas,Jinx,Xayah,Morgana,Thresh,-5585.0,red,0,1.0,1.0,4.8,-4.67,-4.5,-9.0,-7.8,top,Fighter,top,Fighter,jungle,Tank,top,Assassin,adc,Marksman,top,Mage,adc,Marksman,adc,Marksman,support,Mage,support,Support,4.0,3.0,4.0,5.0
Poppy,Malphite,Kha'Zix,Hecarim,Yone,Fizz,Ezreal,Kog'Maw,Karma,Alistar,-4832.0,red,0,1.0,0.0,-3.0,-10.0,-1.25,-2.7,0.0,top,Tank,top,Tank,jungle,Assassin,jungle,Fighter,top,Assassin,mid,Assassin,adc,Marksman,adc,Marksman,support,Mage,support,Tank,4.0,5.0,4.0,4.0
Pantheon,Sylas,Hecarim,Jarvan IV,Kassadin,K'Sante,Draven,Aphelios,Lux,Thresh,-6106.0,red,1,1.0,1.0,0.0,-7.25,-7.67,-4.0,-5.5,top,Fighter,top,Mage,jungle,Fighter,jungle,Tank,mid,Assassin,top,Tank,adc,Marksman,adc,Marksman,mid,Mage,support,Support,4.0,4.0,4.0,4.0
Sion,K'Sante,Ekko,Sejuani,Gangplank,Renekton,Jinx,Xayah,Alistar,Janna,-3387.0,red,0,1.0,2.0,0.0,-1.0,0.0,-4.0,-4.6,top,Tank,top,Tank,jungle,Assassin,jungle,Tank,top,Fighter,top,Fighter,adc,Marksman,adc,Marksman,support,Tank,support,Support,4.0,4.0,4.0,4.0
Jax,Ornn,Gragas,Jarvan IV,Karma,Sylas,Draven,Kai'Sa,Zilean,Elise,-803.0,red,0,0.0,-2.0,-0.5,-8.5,-10.2,-1.33,-1.4,top,Fighter,top,Tank,top,Fighter,jungle,Tank,support,Mage,top,Mage,adc,Marksman,adc,Marksman,mid,Support,jungle,Mage,2.0,3.0,4.0,3.0
Ryze,Rumble,Rengar,Lee Sin,Akshan,Anivia,Aphelios,Renata Glasc,Thresh,Zeri,-2844.0,red,0,2.0,0.0,-3.0,-9.5,-2.0,-6.0,0.5,mid,Mage,top,Fighter,top,Assassin,jungle,Fighter,top,Marksman,mid,Mage,adc,Marksman,support,Support,support,Support,adc,Marksman,2.0,3.0,4.0,4.0
Jax,Gnar,Lulu,Kindred,Syndra,Brand,Zeri,Ezreal,Viego,Rakan,3915.0,blue,0,-2.0,0.0,-1.0,3.17,6.0,5.0,7.5,top,Fighter,top,Fighter,support,Support,jungle,Marksman,mid,Mage,support,Mage,adc,Marksman,adc,Marksman,jungle,Assassin,support,Support,3.0,4.0,5.0,4.0
Darius,Jax,Rengar,Skarner,Viktor,Ahri,Janna,Ezreal,Jinx,Blitzcrank,682.0,blue,2,1.0,0.0,2.25,2.5,-2.0,-0.6699999999999999,5.5,top,Fighter,top,Fighter,top,Assassin,jungle,Fighter,mid,Mage,mid,Mage,support,Support,adc,Marksman,adc,Marksman,support,Tank,2.0,5.0,5.0,4.0
Darius,Thresh,Karthus,Wukong,Ezreal,Lux,Cassiopeia,Kai'Sa,Karma,Alistar,8566.0,blue,2,0.0,-2.0,1.5,0.7999999999999998,-1.17,-6.0,3.83,top,Fighter,support,Support,jungle,Mage,top,Fighter,adc,Marksman,mid,Mage,top,Mage,adc,Marksman,support,Mage,support,Tank,3.0,3.0,3.0,5.0
Malphite,Illaoi,Vi,Warwick,Ekko,Vex,Jinx,Tristana,Milio,Swain,-5825.0,red,-2,2.0,0.0,0.0,-4.5,-8.0,-3.5,3.33,top,Tank,top,Fighter,jungle,Fighter,top,Fighter,jungle,Assassin,mid,Mage,adc,Marksman,mid,Marksman,support,Support,top,Mage,4.0,2.0,5.0,3.0
Poppy,Mordekaiser,Nidalee,Lee Sin,Akshan,Qiyana,Lucian,Jinx,Nami,Karma,-4314.0,red,0,2.0,0.0,0.0,-4.0,0.5,-5.0,-5.0,top,Tank,top,Fighter,jungle,Assassin,jungle,Fighter,top,Marksman,mid,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Mage,4.0,5.0,4.0,4.0
Quinn,Malphite,Talon,Warwick,Fizz,Yasuo,Samira,Varus,Leona,Lux,6076.0,blue,1,-1.0,-1.0,0.0,5.5,4.0,2.87,3.5,top,Marksman,top,Tank,jungle,Assassin,top,Fighter,mid,Assassin,top,Fighter,adc,Marksman,mid,Marksman,support,Tank,mid,Mage,5.0,1.0,3.0,4.0
Sion,Darius,Jarvan IV,Wukong,Viktor,Lissandra,Miss Fortune,Twitch,Rell,Yuumi,3770.0,blue,2,1.0,0.0,1.0,0.5,-1.83,1.0,-1.0,top,Tank,top,Fighter,jungle,Tank,top,Fighter,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Tank,support,Support,5.0,4.0,3.0,4.0
Kennen,Jax,Master Yi,Gragas,Akali,Veigar,Kai'Sa,Jinx,Thresh,Milio,-2407.0,red,2,1.0,1.0,-1.0,-2.33,5.75,-5.0,-4.33,top,Mage,top,Fighter,jungle,Assassin,top,Fighter,top,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,4.0,4.0,4.0
Sett,Darius,Master Yi,Jarvan IV,Katarina,Anivia,Jhin,Twitch,Xerath,Lux,4732.0,blue,2,-1.0,0.0,4.0,-2.0,1.0,-2.0,0.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Tank,mid,Assassin,mid,Mage,adc,Marksman,adc,Marksman,mid,Mage,mid,Mage,4.0,4.0,4.0,4.0
Jayce,Sion,Kindred,Kha'Zix,Twisted Fate,Rumble,Caitlyn,Sivir,Thresh,Lux,-4595.0,blue,-1,0.0,0.0,-0.32999999999999996,-10.0,-5.6,0.5,2.0,top,Fighter,top,Tank,jungle,Marksman,jungle,Assassin,mid,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Support,mid,Mage,5.0,3.0,4.0,5.0
Vladimir,Darius,Warwick,Kayn,Syndra,Zoe,Jinx,Tristana,Alistar,Morgana,3026.0,blue,0,1.0,0.0,1.5,7.0,0.83,7.0,6.67,top,Mage,top,Fighter,top,Fighter,top,Fighter,mid,Mage,mid,Mage,adc,Marksman,mid,Marksman,support,Tank,support,Mage,4.0,3.0,4.0,3.0
Pantheon,Volibear,Nidalee,Kha'Zix,Irelia,Sett,Draven,Jinx,Sylas,Lux,2745.0,blue,2,2.0,-1.0,2.4,3.5,0.9999999999999999,-3.0,-3.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Assassin,top,Fighter,top,Fighter,adc,Marksman,adc,Marksman,top,Mage,mid,Mage,3.0,3.0,4.0,4.0
Gwen,Fiora,Kha'Zix,Udyr,Yone,Xerath,Caitlyn,Ezreal,Lux,Lissandra,-572.0,red,-2,-1.0,1.0,-1.0,1.0,1.5,1.0,0.0,top,Fighter,top,Fighter,jungle,Assassin,top,Fighter,top,Assassin,mid,Mage,adc,Marksman,adc,Marksman,mid,Mage,mid,Mage,3.0,3.0,4.0,3.0
Riven,Kennen,Kha'Zix,Lee Sin,Diana,Viktor,Jinx,Ashe,Pyke,Karma,3178.0,blue,0,1.0,0.0,0.66,0.73,4.0,0.33000000000000007,10.0,top,Fighter,top,Mage,jungle,Assassin,jungle,Fighter,jungle,Fighter,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Mage,4.0,5.0,4.0,3.0
Fiora,Yone,Vi,Lee Sin,Viktor,Irelia,Kog'Maw,Jinx,Yuumi,Lulu,1831.0,blue,-2,1.0,0.0,2.0,-0.5,-1.17,-2.0,2.67,top,Fighter,top,Assassin,jungle,Fighter,jungle,Fighter,mid,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support,5.0,4.0,4.0,4.0
Renekton,Jax,Lillia,Nocturne,Twisted Fate,Lux,Miss Fortune,Tristana,Karma,Yuumi,3932.0,red,2,1.0,-1.0,2.5,5.33,-0.32999999999999996,-1.67,-1.0,top,Fighter,top,Fighter,jungle,Fighter,jungle,Assassin,mid,Mage,mid,Mage,adc,Marksman,mid,Marksman,support,Mage,support,Support,5.0,4.0,3.0,5.0
Garen,Rammus,Lillia,Lee Sin,Xerath,Syndra,Caitlyn,Jinx,Nami,Lux,-2834.0,red,-2,-1.0,1.0,-2.0,-2.5,-3.5,-1.0,0.0,top,Fighter,jungle,Tank,jungle,Fighter,jungle,Fighter,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,mid,Mage,5.0,3.0,4.0,4.0
Malphite,Sylas,Rengar,Kha'Zix,Orianna,Irelia,Jinx,Miss Fortune,Yuumi,Lux,-3004.0,red,0,1.0,0.0,2.0,-3.67,0.6699999999999999,-2.75,-6.33,top,Tank,top,Mage,top,Assassin,jungle,Assassin,mid,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Support,mid,Mage,4.0,3.0,5.0,4.0
Riven,Olaf,Ivern,Jarvan IV,Vladimir,Seraphine,Jinx,Kog'Maw,Zilean,Lulu,-289.0,red,0,1.0,-1.0,1.0,-1.0,-2.0,0.0,1.0,top,Fighter,top,Fighter,jungle,Support,jungle,Tank,top,Mage,adc,Mage,adc,Marksman,adc,Marksman,mid,Support,support,Support,3.0,4.0,4.0,5.0
Renekton,Malphite,Evelynn,Zac,Cassiopeia,Yasuo,Kai'Sa,Jinx,Morgana,Karma,-11005.0,red,-2,1.0,3.0,-2.33,-2.5,-1.0,-3.75,-6.5,top,Fighter,top,Tank,jungle,Assassin,top,Tank,top,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Mage,support,Mage,4.0,3.0,4.0,4.0
Cho'Gath,Gangplank,Rek'Sai,Wukong,LeBlanc,Lux,Jinx,Ashe,Karma,Pyke,-1500.0,blue,-2,0.0,-1.0,0.6699999999999999,-3.5,-2.33,2.0,1.3399999999999999,top,Tank,top,Fighter,jungle,Fighter,top,Fighter,mid,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Mage,support,Support,5.0,4.0,5.0,4.0
Caitlyn,Malphite,Kha'Zix,Sylas,Irelia,Viktor,Akshan,Jinx,Rakan,Thresh,-5952.0,red,-2,0.0,1.0,-4.0,2.5,1.0,-2.5,-6.5,adc,Marksman,top,Tank,jungle,Assassin,top,Mage,top,Fighter,mid,Mage,top,Marksman,adc,Marksman,support,Support,support,Support,2.0,4.0,4.0,4.0
Malphite,Quinn,Warwick,Zac,Kled,Fizz,Varus,Ezreal,Lux,Yuumi,199.0,red,0,1.0,0.0,4.5,-7.5,-0.30000000000000004,1.0,1.0,top,Tank,top,Marksman,top,Fighter,top,Tank,top,Fighter,mid,Assassin,mid,Marksman,adc,Marksman,mid,Mage,support,Support,1.0,4.0,4.0,4.0
