gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role,win_score_difference
3168.0,1,0,1.0,-2.0,0.5,4.25,8.6,-1.0,0.0,0.0,1.0,2.6799999999999855
-1379.0,0,-2,-1.0,0.0,-0.47,-0.95,-2.67,1.25,-0.5,3.0,1.0,1.6000000000000298
3995.0,1,2,1.0,0.0,5.0,5.0,1.0,1.0,-1.0,-4.0,0.0,16.72999999999996
-1999.0,0,0,2.0,0.0,-3.5,1.25,8.0,-6.67,-2.17,1.0,-1.0,62.81
706.0,1,0,0.0,1.0,2.5,1.67,1.17,-1.0,-1.5,-1.0,-2.0,9.630000000000038
-7546.0,0,-1,2.0,1.0,0.1699999999999999,0.5,-5.0,3.0,-4.3,-1.0,0.0,-104.51999999999998
1019.0,0,0,1.0,0.0,-0.1699999999999999,-1.0,0.0,1.33,-3.0,0.0,0.0,-22.320000000000007
1706.0,0,-2,0.0,-2.0,-0.25,-1.08,2.5,2.0,2.5,-1.0,0.0,4.909999999999961
5660.0,1,2,-1.0,0.0,7.0,1.5,2.0,1.5,7.67,2.0,0.0,-6.989999999999995
-4662.0,0,-2,2.0,0.0,-2.5,-1.6,-1.0,-8.0,-5.94,-1.0,-1.0,2.469999999999999
1784.0,0,2,0.0,-1.0,7.62,3.83,-5.67,0.3500000000000001,-1.83,-1.0,-1.0,2.1000000000000227
7169.0,0,1,0.0,-3.0,2.75,3.1,-2.0,3.5,7.5,1.0,0.0,-11.539999999999978
-831.0,0,2,-2.0,0.0,0.75,2.1,2.0,-5.67,-0.5,-2.0,0.0,-2.7600000000000335
-2817.0,0,0,-1.0,1.0,-2.0,-1.0,-1.0,-1.33,0.0,-1.0,1.0,19.369999999999997
-4983.0,0,-2,2.0,1.0,0.0,-3.5,-4.0,0.8300000000000001,-8.5,2.0,2.0,0.38999999999998636
4736.0,1,-2,-1.0,-1.0,0.33,5.0,5.5,4.67,-2.33,1.0,1.0,-4.1900000000000475
94.0,0,-1,1.0,0.0,-0.33,-4.75,1.0,-1.33,-8.6,-2.0,-2.0,9.190000000000033
-1700.0,0,-1,2.0,0.0,0.0,0.0,-2.0,-2.67,-3.0,2.0,0.0,-23.74000000000005
6835.0,1,2,0.0,-1.0,3.0,-2.0,3.5,2.5,3.0,-2.0,0.0,-50.80000000000003
-621.0,0,2,2.0,0.0,3.75,-2.0,0.92,-7.67,-8.0,2.0,-1.0,-12.33999999999999
4277.0,0,2,2.0,0.0,-2.67,2.0,-3.5,3.75,7.0,1.0,0.0,-8.280000000000008
264.0,1,-1,-1.0,0.0,0.0,-2.67,3.67,0.0,-1.0,-1.0,-1.0,-5.809999999999974
4923.0,1,1,-2.0,0.0,0.0,2.5,5.67,-2.0,0.0,1.0,0.0,0.8999999999999915
-1129.0,0,2,2.0,0.0,1.5,-4.25,-6.0,1.0,0.75,-1.0,-2.0,-6.030000000000001
-8701.0,0,-2,1.0,2.0,-7.5,-7.6,-9.5,2.0,-0.33,0.0,0.0,12.689999999999998
-5983.0,0,0,2.0,2.0,-0.6699999999999999,-0.33,-2.67,-0.5,-2.0,-1.0,0.0,28.659999999999997
1178.0,1,2,1.0,-1.0,0.0,-3.5,-2.67,2.0,-2.5,1.0,-1.0,0.16000000000003922
-765.0,1,0,-1.0,-1.0,-2.0,-1.5,-5.0,4.0,-1.0,3.0,0.0,42.400000000000034
