gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
4514.0,1,2,0.0,-1.0,0.0,-2.0,-5.0,1.83,-1.0,-1.0,0.0
868.0,0,2,1.0,0.0,8.29,1.5,-2.33,-7.5,-2.33,-2.0,1.0
1414.0,0,2,1.0,0.0,1.5,5.67,-2.67,3.4,-3.0,1.0,-1.0
-453.0,1,0,0.0,1.0,-3.8,1.33,-1.5,5.5,4.67,1.0,-1.0
2602.0,1,2,-2.0,-1.0,0.5,7.33,2.0,7.0,0.27,0.0,0.0
78.0,0,-2,-1.0,0.0,-1.0,0.0,0.0,2.0,2.0,1.0,2.0
334.0,1,2,-1.0,0.0,-0.1699999999999999,-3.0,-0.83,0.75,0.0,0.0,0.0
-4838.0,0,-2,1.0,3.0,0.5,-4.93,-6.67,-6.0,-5.5,1.0,0.0
-6398.0,0,-1,0.0,1.0,1.0,-3.75,-6.33,-1.5,-2.0,0.0,0.0
228.0,1,-2,1.0,1.0,3.0,2.0,-3.0,-4.0,-1.0,0.0,0.0
1626.0,1,2,2.0,0.0,-2.3,0.33,-2.5,0.0,-0.5,3.0,1.0
-9107.0,0,-2,2.0,2.0,-2.5,-13.67,-12.33,-4.25,-7.6,2.0,0.0
9052.0,1,0,-1.0,-2.0,0.1699999999999999,8.5,3.5,8.57,3.17,0.0,1.0
2452.0,1,-1,-1.0,0.0,-2.0,-1.0,0.6699999999999999,8.0,6.12,-2.0,-2.0
-4776.0,0,0,1.0,1.0,2.0,-1.0,0.0,-6.33,-2.0,-1.0,0.0
-4327.0,0,0,-1.0,0.0,-2.0,4.0,2.17,-2.0,-6.5,1.0,0.0
3642.0,1,2,1.0,-1.0,0.5,-1.0,2.5,2.0,-1.17,-3.0,0.0
13900.0,1,1,-2.0,-4.0,4.0,10.0,6.0,4.0,4.0,3.0,1.0
1642.0,0,1,-2.0,-1.0,0.5,-0.5,0.33,8.8,5.0,1.0,-1.0
-2273.0,1,-2,0.0,0.0,2.33,-1.25,-6.0,0.0,-2.0,1.0,1.0
5841.0,1,2,1.0,0.0,3.0,8.0,6.0,2.42,4.5,1.0,2.0
5084.0,1,2,-2.0,0.0,1.0,8.25,1.67,-0.33,0.25,0.0,1.0
1259.0,1,2,0.0,-1.0,4.6,-1.0,0.0,0.75,-4.33,0.0,0.0
2520.0,1,-2,-1.0,0.0,-2.0,-0.5,0.0,2.0,2.0,0.0,0.0
926.0,0,0,1.0,1.0,4.5,8.0,-1.0,1.0,1.33,0.0,0.0
3635.0,1,2,-1.0,-1.0,0.0,1.33,0.0,5.0,0.0,0.0,-1.0
4128.0,1,2,-1.0,-1.0,-0.8699999999999999,4.25,11.4,2.5,1.5,1.0,0.0
1496.0,1,0,-2.0,1.0,5.0,3.0,6.33,-6.0,-3.6,1.0,-1.0
-3271.0,0,0,1.0,0.0,1.67,-1.0,-5.5,-3.75,-7.5,0.0,0.0
5026.0,1,0,-2.0,0.0,-2.33,5.5,5.0,4.67,5.0,-1.0,1.0
5181.0,1,-1,2.0,-1.0,6.5,3.25,0.0,0.0,2.0,0.0,0.0
-2215.0,0,-1,0.0,0.0,-3.67,-0.5,-4.0,0.0,-0.5,1.0,2.0
6493.0,1,2,-2.0,0.0,7.67,4.67,2.33,-0.25,2.0,-1.0,0.0
-827.0,0,0,1.0,0.0,0.0,-2.0,-4.0,-0.25,-2.0,0.0,1.0
2835.0,1,-1,-2.0,0.0,1.0,1.87,-4.5,1.93,0.3999999999999999,0.0,-1.0
268.0,1,2,1.0,0.0,-0.67,-3.0,0.0,-0.5,-3.0,0.0,-1.0
204.0,1,2,-1.0,0.0,2.33,4.0,7.0,-5.67,-11.67,0.0,-1.0
3257.0,1,2,0.0,-1.0,3.4,4.0,4.0,-4.0,-1.67,-1.0,-1.0
4633.0,1,0,-1.0,-1.0,0.33,3.53,9.8,-2.1,-2.2,0.0,1.0
6194.0,1,2,-2.0,-1.0,0.0,5.5,0.33,3.5,2.5,1.0,-1.0
1351.0,1,2,-2.0,0.0,3.75,4.0,8.0,-2.5,-1.92,-1.0,2.0
2591.0,1,2,1.0,0.0,4.5,7.5,1.33,1.0,1.0,-1.0,1.0
-4472.0,0,-2,2.0,2.0,0.8300000000000001,-1.0,-4.0,-6.67,-2.0,-2.0,-1.0
2966.0,1,2,-1.0,-1.0,4.75,5.67,2.0,0.6699999999999999,2.5,0.0,2.0
-6086.0,0,1,1.0,0.0,-3.0,-4.0,-8.8,-0.8300000000000001,-4.33,0.0,-1.0
5845.0,0,1,-1.0,-1.0,1.5,6.2,2.5,4.5,3.0,0.0,0.0
-2084.0,1,-2,-2.0,1.0,-0.25,5.0,0.4199999999999999,-0.33,-1.0,1.0,-1.0
-6085.0,0,-1,1.0,2.0,-6.6,-0.4199999999999999,-1.47,-3.0,-1.17,1.0,0.0
-291.0,0,0,-1.0,0.0,-0.7300000000000001,2.0,-2.0,5.33,1.27,1.0,0.0
-3223.0,0,-2,1.0,0.0,-2.67,-5.0,-1.0,-2.0,-0.33,1.0,-1.0
2544.0,1,-2,2.0,1.0,2.0,3.0,6.0,4.0,4.0,1.0,0.0
-697.0,1,0,2.0,0.0,-2.67,-2.0,-0.5,-7.25,-3.33,2.0,-1.0
2234.0,1,0,-2.0,0.0,-1.5,2.0,3.0,2.5,1.5,-1.0,1.0
48.0,1,-2,-1.0,0.0,0.5,-1.0,3.0,-1.0,-1.0,0.0,0.0
153.0,0,0,2.0,0.0,0.0,3.0,-1.0,4.67,0.1699999999999999,-1.0,-1.0
-931.0,0,2,1.0,-2.0,1.5,-3.0,-0.83,-1.92,-6.5,-1.0,-1.0
6296.0,1,0,0.0,-1.0,1.0,2.0,2.0,3.5,9.0,0.0,-1.0
1491.0,1,0,1.0,-1.0,1.0,-6.5,-5.0,1.75,1.0,2.0,1.0
3287.0,1,2,-1.0,-1.0,3.0,10.0,3.0,2.0,3.7,0.0,-1.0
-730.0,1,0,2.0,-1.0,-0.6699999999999999,-1.83,-2.0,4.83,-4.0,-1.0,-1.0
-1517.0,0,-1,2.0,0.0,4.75,-4.5,1.4,-2.17,-5.5,-2.0,0.0
5108.0,0,2,0.0,-2.0,2.67,6.3,-0.5,5.67,3.0,1.0,1.0
4533.0,1,0,-2.0,0.0,3.0,1.0,7.5,0.33,-1.0,0.0,0.0
-3004.0,0,0,1.0,0.0,2.0,-3.67,0.6699999999999999,-2.75,-6.33,1.0,1.0
-144.0,0,2,2.0,0.0,6.0,5.0,-1.0,-2.67,-5.0,-1.0,0.0
7287.0,1,1,-1.0,-1.0,4.25,3.17,-2.67,2.0,5.0,-1.0,-2.0
-668.0,1,-1,0.0,0.0,-3.8,-9.0,-5.0,1.5,2.5,0.0,0.0
1698.0,1,1,-1.0,0.0,4.0,1.0,0.5,-1.0,3.33,-1.0,-1.0
-486.0,1,2,2.0,0.0,-5.33,-2.33,-0.1699999999999999,-2.0,0.0,0.0,0.0
5304.0,1,-1,0.0,0.0,-3.75,6.6,9.0,0.33,6.0,-1.0,1.0
9812.0,1,1,-1.0,-2.0,3.0,8.2,4.25,11.33,3.83,-1.0,-2.0
2588.0,1,0,-1.0,0.0,3.0,2.35,0.08,3.75,4.0,2.0,0.0
629.0,1,2,-2.0,0.0,-1.33,-7.0,1.0,-7.5,-8.67,0.0,-1.0
-3048.0,0,0,1.0,1.0,4.33,-0.55,-6.0,-5.67,-4.33,1.0,0.0
2437.0,1,-1,1.0,0.0,-1.17,-0.5,1.0,3.0,1.0,-2.0,-2.0
3546.0,1,1,1.0,0.0,2.33,0.6600000000000001,3.33,1.5,4.33,2.0,1.0
2748.0,0,2,1.0,0.0,7.0,0.5,-2.0,-0.5,-3.0,1.0,0.0
-5851.0,0,-2,1.0,1.0,-0.8,-8.25,-3.0,-7.0,-4.5,-2.0,-1.0
-8190.0,0,-2,2.0,1.0,2.0,-7.5,-3.67,-7.33,-9.83,0.0,-1.0
-9043.0,0,-2,1.0,3.0,-5.75,-13.5,-4.5,-0.08,0.0,-2.0,0.0
4167.0,1,-2,2.0,-1.0,-0.1699999999999999,2.17,-4.1,2.5,5.0,-1.0,1.0
12287.0,1,2,0.0,-3.0,5.75,9.6,0.0,12.0,11.33,1.0,0.0
2029.0,1,0,0.0,0.0,2.33,3.3,1.0,-5.67,0.33,-2.0,0.0
5105.0,1,0,0.0,-1.0,6.75,5.33,2.0,-1.0,-1.0,0.0,0.0
4307.0,1,2,1.0,0.0,4.0,12.75,0.6699999999999999,1.67,1.25,1.0,-1.0
-5151.0,0,0,1.0,0.0,-3.0,3.5,-0.27,-5.67,-4.0,0.0,-1.0
-5809.0,0,0,-2.0,0.0,0.5,-8.5,-8.0,-1.0,-2.5,0.0,1.0
-8872.0,0,-1,1.0,2.0,-4.0,-3.25,-10.0,-3.5,-0.6699999999999999,0.0,0.0
15645.0,1,1,-2.0,-4.0,5.0,10.71,8.75,8.6,9.33,1.0,1.0
-629.0,0,2,0.0,0.0,-3.5,-5.0,-0.5,-3.0,-4.0,2.0,0.0
5162.0,1,1,1.0,-1.0,6.5,2.1,4.33,-3.0,1.33,2.0,0.0
-8860.0,0,-2,1.0,2.0,-3.33,-3.5,-7.0,-0.3500000000000001,6.25,0.0,-1.0
2972.0,1,2,1.0,-1.0,1.5,1.5,-4.0,1.08,-0.1999999999999999,0.0,0.0
671.0,0,2,0.0,0.0,0.0,6.0,2.0,1.0,1.58,0.0,1.0
3284.0,0,2,0.0,-2.0,1.67,-1.0,3.0,0.0,1.0,2.0,1.0
3697.0,1,0,-2.0,0.0,0.9,2.0,1.83,6.67,5.0,0.0,0.0
322.0,0,0,0.0,-1.0,2.67,2.5,1.0,0.0,-1.67,1.0,-1.0
-1570.0,0,2,1.0,0.0,-4.0,-4.0,0.0,0.5,1.67,1.0,1.0
-1013.0,0,2,0.0,1.0,-1.0,-2.75,-2.5,8.0,7.2,0.0,1.0
-872.0,1,-2,-2.0,1.0,0.27,10.0,2.5,0.5,1.0,0.0,0.0
10279.0,1,2,0.0,0.0,4.67,0.0,3.33,4.5,8.67,-1.0,1.0
1836.0,1,0,1.0,0.0,-2.33,2.0,3.67,-2.0,-1.0,1.0,-1.0
-1252.0,0,2,1.0,0.0,-7.67,-2.53,-2.0,-3.33,0.0,-2.0,0.0
-2452.0,1,0,-1.0,0.0,-6.4,-1.25,-1.67,6.5,1.67,3.0,-1.0
427.0,1,0,1.0,-1.0,5.0,1.0,0.0,-4.5,-1.5,1.0,0.0
-1155.0,1,0,1.0,0.0,-0.33,-3.33,4.0,1.83,2.0,1.0,-1.0
-2178.0,0,0,-1.0,-1.0,-1.5,-7.0,-6.0,1.67,-7.25,-3.0,2.0
5788.0,1,2,0.0,-1.0,3.67,-1.5,2.5,4.3,6.33,-3.0,1.0
-9014.0,0,-2,0.0,1.0,-1.0,-8.5,-0.5,-6.0,-6.0,0.0,1.0
9704.0,1,2,1.0,-3.0,1.33,5.0,3.0,4.7,13.57,-2.0,-1.0
8086.0,1,2,-1.0,-1.0,2.5,2.1,1.5,7.0,7.0,2.0,1.0
3988.0,1,0,0.0,0.0,-1.0,5.0,3.0,10.33,8.8,1.0,-1.0
6308.0,1,2,2.0,-1.0,3.5,0.08,4.75,1.33,3.67,-2.0,1.0
5408.0,1,2,-1.0,0.0,0.5,6.33,2.25,0.0,-1.0,0.0,0.0
3895.0,0,2,0.0,-1.0,3.0,1.0,5.75,0.5,-0.8300000000000001,1.0,1.0
-716.0,1,-1,1.0,0.0,4.0,-3.0,-4.0,-2.0,-4.5,2.0,2.0
