gold_difference,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,blue_win_percentage,red_win_percentage
-1480.0,1.0,1.0,0.0,3.0,-3.5,-0.75,1.5,0.8300000000000001,32.10332554242557,67.89667445757442
-1148.0,0.0,-1.0,0.0,-2.0,-1.5,-0.1699999999999999,-5.5,-3.0,43.54262310526054,56.45737689473946
5817.0,2.0,-1.0,0.0,5.0,7.0,0.0,3.2,2.67,92.1875919997884,7.8124080002116045
-8372.0,-2.0,-2.0,3.0,-4.5,-1.75,9.75,-4.5,-1.0,10.558145667160659,89.44185433283934
7813.0,-1.0,-1.0,0.0,0.33,4.5,4.0,5.67,3.33,94.1100487157767,5.889951284223301
113.0,1.0,2.0,0.0,1.0,-0.6699999999999999,-0.5,-0.05,-0.5,36.23274607304081,63.76725392695919
-1452.0,1.0,1.0,1.0,-1.5,-2.5,-3.75,3.0,-0.5,31.22403059045634,68.77596940954366
-1479.0,1.0,-1.0,0.0,-0.1699999999999999,-0.3399999999999998,1.0,-3.0,-1.34,44.95620660272634,55.04379339727366
7398.0,2.0,1.0,-1.0,2.67,-3.5,1.17,2.0,7.33,89.26906826093013,10.730931739069874
-1335.0,2.0,1.0,0.0,-2.33,-4.0,-3.75,0.92,-3.0,30.594307308521014,69.40569269147899
5225.0,2.0,1.0,0.0,-1.58,2.5,-2.0,-0.1999999999999999,-1.83,80.2394404150777,19.760559584922305
1688.0,0.0,-2.0,0.0,2.0,1.0,4.0,6.0,2.0,76.52266333469049,23.477336665309508
3594.0,0.0,1.0,-1.0,1.9,6.0,2.5,-0.33,1.0,69.50556667917787,30.494433320822125
785.0,-1.0,0.0,1.0,-5.5,0.5,0.93,1.4,-0.5,51.038473460125886,48.961526539874114
-2027.0,-2.0,-1.0,0.0,0.0,4.5,-1.0,5.67,6.0,37.45857577574232,62.54142422425768
-7531.0,-1.0,1.0,2.0,-9.0,-5.25,-11.25,-1.67,-2.75,4.169198686889426,95.83080131311057
2174.0,2.0,1.0,-1.0,0.0,1.0,0.5,-1.0,-4.0,59.218013298691,40.781986701309
-2407.0,2.0,0.0,0.0,0.0,-1.0,-4.0,-6.75,-8.67,30.83955605899993,69.16044394100007
3445.0,2.0,1.0,0.0,-0.5,-2.5,-1.5,2.5,-1.0,69.33235780963209,30.667642190367914
5512.0,2.0,1.0,-1.0,-1.0,-3.0,-1.0699999999999998,6.4,1.5,80.1484860905291,19.851513909470896
680.0,0.0,-1.0,-1.0,1.83,1.0,-0.33,2.0,3.67,60.25191810065175,39.74808189934825
-745.0,1.0,1.0,0.0,-5.0,-7.0,1.0,-2.17,-4.67,31.31912033125183,68.68087966874816
2466.0,2.0,-1.0,-1.0,-0.5,6.0,0.83,1.0,3.25,75.8258366106277,24.174163389372296
494.0,0.0,0.0,0.0,0.33,0.0,-6.8,0.0,0.0,50.358365494926936,49.641634505073064
5235.0,2.0,-1.0,0.0,-0.25,8.0,3.8,4.0,3.0,89.91846099990542,10.08153900009458
1827.0,0.0,1.0,-1.0,0.83,-0.5800000000000001,-0.6699999999999999,-0.6600000000000001,-1.0,52.81195445511666,47.18804554488334
1885.0,0.0,-1.0,-1.0,-1.33,1.25,-3.2,5.5,2.33,66.83220871956195,33.16779128043805
-8725.0,-2.0,2.0,1.0,-0.83,-10.4,-5.0,-5.83,-14.75,2.1667693479584376,97.83323065204156
6482.0,2.0,-1.0,-2.0,7.33,0.6699999999999999,2.75,4.33,4.17,92.60157828303048,7.398421716969523
-1602.0,2.0,-1.0,0.0,-6.83,-1.83,-1.67,1.0,-3.0,40.55456181827057,59.44543818172943
3197.0,2.0,0.0,0.0,-1.0,7.0,-1.0,6.67,5.67,76.36854609066415,23.631453909335846
-5276.0,2.0,1.0,0.0,1.25,-9.25,-7.33,-6.0,-6.5,10.760977276813213,89.23902272318679
4427.0,2.0,-2.0,-1.0,0.1699999999999999,3.17,2.0,2.0,6.5,88.90570300734785,11.094296992652147
3450.0,2.0,1.0,-1.0,1.0,6.0,3.5,1.5,-1.5,71.35917559602066,28.640824403979337
-6627.0,-2.0,0.0,0.0,-3.67,-4.8,-1.5,1.67,4.0,7.41359776361222,92.58640223638778
2439.0,-1.0,0.0,-1.0,6.75,-6.75,0.0,-0.5,1.5,65.38446356658453,34.61553643341547
5841.0,0.0,1.0,-2.0,1.5,1.17,7.0,6.0,-0.75,80.94686700923995,19.053132990760048
-8822.0,-2.0,1.0,2.0,0.0,-5.5,-1.33,-1.0,-1.5,3.612387495372672,96.38761250462733
5315.0,0.0,-1.0,-1.0,1.0699999999999998,8.0,1.0,5.0,7.0,88.06662575005552,11.933374249944478
-7843.0,-2.0,1.0,1.0,0.0,-1.0,-3.0,-2.67,-5.0,4.585561881618972,95.41443811838103
4602.0,2.0,0.0,0.0,1.0,7.0,1.33,1.8,1.67,84.19858138570775,15.801418614292245
3076.0,1.0,-1.0,0.0,1.83,3.53,6.4,-2.67,6.25,80.75144823053132,19.248551769468676
-5512.0,-1.0,-1.0,2.0,-1.75,-3.0,-1.83,-5.67,0.4199999999999999,17.111699802951787,82.88830019704821
4697.0,2.0,1.0,0.0,5.6,3.5,-3.0,-3.0,2.33,80.74427182294241,19.25572817705759
5162.0,1.0,1.0,-1.0,6.5,2.1,4.33,-3.0,1.33,81.63541029786522,18.36458970213478
-423.0,2.0,1.0,0.0,-2.0,3.33,-1.0,0.75,-2.5,40.04430788700128,59.95569211299872
5162.0,2.0,0.0,-1.0,4.67,9.0,5.5,2.33,1.17,87.30218563626333,12.697814363736668
1037.0,0.0,-1.0,0.0,0.0,-1.67,-2.0,2.0,0.0,62.50759070497289,37.49240929502711
689.0,2.0,0.0,1.0,-0.5800000000000001,-1.0,3.0,2.0,1.5,59.43370346755006,40.56629653244994
-788.0,1.0,1.0,0.0,-0.6699999999999999,1.66,0.0,-0.4199999999999999,4.0,36.44024860524749,63.55975139475251
-7795.0,-1.0,1.0,1.0,1.0,-3.0,-7.6,-6.0,-1.67,4.81170216023337,95.18829783976663
4229.0,2.0,1.0,-1.0,1.0,1.0,-2.0,-0.92,2.0,74.1620301893888,25.8379698106112
38.0,2.0,-1.0,0.0,3.67,0.6699999999999999,2.0,-3.0,0.6699999999999999,62.07458118891904,37.92541881108096
-5186.0,-1.0,0.0,0.0,-9.0,-6.0,-3.5,1.0,0.1699999999999999,10.173496460608773,89.82650353939123
1195.0,2.0,2.0,0.0,2.0,1.0,-5.0,-1.67,-1.25,46.406954595276325,53.593045404723675
-44.0,0.0,2.0,1.0,0.83,2.0,5.0,0.3,-4.0,36.96284332074762,63.03715667925238
710.0,1.0,-1.0,0.0,1.0,-3.0,-3.67,-4.5,-4.67,60.90177542145601,39.09822457854399
2190.0,0.0,2.0,0.0,1.33,8.33,2.0,0.0,3.17,54.384904443782,45.615095556218
-1060.0,-1.0,1.0,1.0,-3.21,-1.0,-0.5800000000000001,3.0,8.75,31.243395255190293,68.7566047448097
-1242.0,-1.0,1.0,0.0,-1.17,-2.0,2.0,2.0,2.0,29.109321734461712,70.89067826553828
4787.0,2.0,0.0,-1.0,4.0,2.5,-2.0,7.67,-1.0,83.9404678597226,16.059532140277398
3963.0,2.0,-2.0,-1.0,4.0,4.67,-0.5,4.0,5.33,88.44222570249947,11.55777429750053
-4623.0,2.0,1.0,1.0,3.0,1.0,-1.0,-2.67,-5.67,17.14612666796389,82.8538733320361
2274.0,0.0,-1.0,-1.0,7.83,0.5,0.0,-7.0,-5.5,73.75756250626011,26.242437493739885
-8008.0,1.0,1.0,3.0,1.0,-11.0,-2.0,-8.6,-5.5,5.799306388778251,94.20069361122175
2531.0,0.0,-1.0,-1.0,3.0,-1.5,-10.0,1.5,1.0,71.37675603798537,28.623243962014627
177.0,-2.0,0.0,0.0,1.0,0.0,-3.5,-1.4,0.75,45.197923528728694,54.802076471271306
5063.0,2.0,0.0,0.0,3.0,8.4,7.83,0.33,1.5,87.5174087298899,12.482591270110106
3808.0,0.0,0.0,0.0,5.0,1.4,1.83,3.0,-2.33,78.69446570555255,21.305534294447455
-3082.0,0.0,1.0,1.0,3.0,-2.0,0.33,-0.3399999999999998,0.0,22.589886550652196,77.4101134493478
-273.0,0.0,0.0,-1.0,1.0,-4.0,-2.0,-3.0,-4.0,41.91348785347711,58.08651214652289
-3460.0,0.0,0.0,0.0,2.67,-2.0,-4.25,0.6699999999999999,1.0,23.388484730904384,76.61151526909562
-3837.0,0.0,1.0,3.0,-1.0,-0.5,-5.0,0.6699999999999999,-0.3399999999999998,19.213399760064732,80.78660023993527
1025.0,0.0,-1.0,-1.0,-2.0,4.0,1.0,3.0,5.0,61.704685117112554,38.295314882887446
-4143.0,-1.0,1.0,1.0,-0.33,3.17,1.5,-1.33,-1.83,15.769882264995458,84.23011773500454
2561.0,0.0,1.0,0.0,0.5,4.5,-1.33,1.17,1.93,62.159365799034475,37.840634200965525
-3423.0,-2.0,1.0,0.0,-4.67,3.5,2.0,-3.33,0.5,15.204241089973177,84.79575891002682
-4457.0,-2.0,1.0,1.0,-3.07,-4.0,-8.0,5.33,3.75,11.277657915089216,88.72234208491078
-6879.0,-2.0,2.0,0.0,2.0,-1.34,-6.2,3.75,-1.08,4.4756298077045304,95.52437019229546
3546.0,1.0,1.0,0.0,2.33,0.6600000000000001,3.33,1.5,4.33,71.9910757695358,28.008924230464203
7398.0,2.0,1.0,-1.0,-1.0,6.07,5.75,3.0,1.67,89.67578563593602,10.324214364063977
8153.0,2.0,-1.0,-4.0,3.2,1.66,0.75,2.0,6.0,94.07349605992944,5.92650394007056
8618.0,2.0,-1.0,-3.0,1.2,9.5,2.5,7.5,5.6,95.58162891058605,4.418371089413952
-3840.0,-1.0,1.0,-1.0,-2.67,-5.0,-4.0,-1.5,-1.0,12.289212549078545,87.71078745092146
-561.0,0.0,-1.0,0.0,0.0,-1.0,-3.5,4.67,0.5,50.05734786070447,49.94265213929553
-7463.0,0.0,2.0,1.0,-0.5,-2.67,-3.5,-2.7,-5.0,4.310315339468871,95.68968466053113
2055.0,0.0,-1.0,0.0,0.0,1.66,1.5,1.0,1.5,71.32290743187998,28.677092568120017
8649.0,2.0,-1.0,-2.0,3.17,9.83,1.67,1.5,0.0,96.03361150787923,3.966388492120771
-6353.0,-1.0,1.0,6.0,-8.5,-7.5,-3.33,0.0,-2.0,8.82470998407469,91.17529001592531
1049.0,0.0,1.0,0.0,6.0,-2.33,1.0,1.0,5.33,52.76574679138349,47.23425320861651
-8701.0,-2.0,1.0,2.0,-7.5,-7.6,-9.5,2.0,-0.33,2.8249107603272057,97.1750892396728
5283.0,2.0,0.0,0.0,-1.5,0.4199999999999999,0.0,1.67,11.17,85.31047904086427,14.689520959135734
608.0,2.0,0.0,0.0,-1.0,-0.8000000000000003,-2.7,-1.0,-0.5,54.73468017335909,45.26531982664091
12875.0,1.0,0.0,-2.0,5.0,11.0,8.67,2.6,11.6,98.70491493132295,1.2950850686770536
-735.0,2.0,1.0,-1.0,2.75,-1.0,1.0,-1.73,-6.0,37.44440585412242,62.55559414587758
1165.0,0.0,-1.0,1.0,-4.5,6.0,1.5,4.67,3.5,65.9237626306037,34.076237369396296
8155.0,0.0,0.0,-2.0,7.6,-2.0,1.5,-2.0,8.0,92.86649050418319,7.13350949581681
6916.0,2.0,-1.0,-2.0,1.25,5.5,5.0,4.0,4.0,92.93480517751497,7.065194822485026
-4055.0,-2.0,0.0,1.0,0.0,-8.8,-8.0,1.25,-0.6699999999999999,16.347847976322427,83.65215202367757
-7005.0,-2.0,2.0,1.0,-2.0,-2.0,-2.67,-3.5,-5.5,4.172105212751122,95.82789478724888
-5964.0,0.0,-1.0,1.0,0.0,-1.5,-8.0,-6.0,-2.25,14.988298076268855,85.01170192373115
3085.0,2.0,0.0,0.0,3.0,3.83,6.75,-2.0,5.0,77.73055070418297,22.269449295817026
-327.0,-1.0,1.0,0.0,-0.1299999999999999,-1.5,4.7,0.33,1.25,36.71600320749665,63.28399679250335
-9771.0,-1.0,1.0,1.0,-4.0,-5.0,-3.67,-3.5,-3.0,2.3222972461617073,97.67770275383829
-1114.0,-2.0,2.0,0.0,-5.0,0.3500000000000001,-1.0,6.0,5.33,21.299380119704477,78.70061988029552
-8734.0,-2.0,2.0,2.0,-6.83,-10.75,-6.0,1.0,-1.0,2.1027208956501093,97.89727910434989
-153.0,2.0,1.0,0.0,1.0,-3.0,-5.8,-0.5,-1.67,41.18221877304846,58.81778122695154
10828.0,1.0,-1.0,-1.0,2.5,8.0,8.71,8.2,4.0,98.12550293544184,1.874497064558156
4617.0,2.0,-2.0,-2.0,2.0,5.0,0.0,9.67,9.5,89.48407123510263,10.515928764897367
-3993.0,0.0,1.0,2.0,-1.0,-3.0,0.5,-7.5,-6.33,16.83376864805603,83.16623135194396
-2760.0,-2.0,1.0,1.0,-1.0,-1.33,-0.33,0.1999999999999999,-2.75,19.8844440685305,80.1155559314695
398.0,2.0,-1.0,-1.0,-0.6699999999999999,-2.17,-0.4199999999999999,-2.5,-2.7,58.34693098775497,41.65306901224503
2765.0,-1.0,-1.0,1.0,-3.67,9.0,1.33,7.67,6.75,76.38582146693886,23.614178533061136
4117.0,0.0,1.0,-1.0,1.5,7.5,9.5,-0.5,1.47,74.35385473993145,25.64614526006855
-11415.0,-1.0,1.0,3.0,-1.0,-5.0,-13.78,-5.8,-10.25,1.5823419629042985,98.4176580370957
5331.0,2.0,-1.0,0.0,7.67,10.33,6.5,1.0,3.0,92.2636189178806,7.736381082119394
