,gold_difference,team_win,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp
888,1569.0,0,1.0,0.0,-0.3299999999999999,2.0,3.5,1.0,0.6600000000000001
889,-4051.0,0,0.0,1.0,0.5,-3.0,-0.33,0.0,-2.0
890,-6686.0,1,-1.0,2.0,-0.33,-2.4,-2.0,-2.67,-6.75
891,-7176.0,0,2.0,3.0,-2.67,-4.0,-7.0,3.5,3.0
892,-803.0,0,0.0,-2.0,-0.5,-8.5,-10.2,-1.33,-1.4
893,-5880.0,0,0.0,1.0,-1.75,-1.25,-2.53,-2.0,-2.5
894,3810.0,1,1.0,-1.0,1.5,-0.5,1.0,1.5,4.0
895,8030.0,1,2.0,-2.0,7.62,1.3,5.5,-4.0,2.5
896,-6465.0,0,2.0,1.0,2.04,1.0,-2.0,-1.15,-10.38
897,2732.0,1,1.0,0.0,2.0,2.0,3.0,-6.33,-0.3399999999999998
898,-2335.0,0,-1.0,1.0,-1.0,-2.0,1.83,-3.0,-2.0
899,-2722.0,1,-1.0,1.0,-7.0,2.2,-3.5,1.42,-0.5
900,1007.0,0,0.0,0.0,-0.95,1.0,-1.75,-0.6699999999999999,-0.33
901,-1749.0,1,2.0,-1.0,-7.0,-1.67,-0.5800000000000001,2.25,-1.0
902,-319.0,0,1.0,-1.0,-2.33,-0.33,-1.5,6.33,1.0
903,-2714.0,0,2.0,0.0,-0.5,-2.17,-5.0,-1.2,-5.5
904,2813.0,1,2.0,-1.0,-0.33,0.67,1.5,2.5,4.5
905,712.0,0,-2.0,0.0,5.5,2.6,4.5,0.3500000000000001,0.08
906,1907.0,1,-2.0,0.0,0.0,1.66,2.25,4.33,8.67
907,1151.0,0,-1.0,0.0,1.0,1.0,1.5,0.75,-2.0
908,224.0,1,-1.0,1.0,2.5,1.0,-0.5,-7.0,-3.17
909,4476.0,1,1.0,-1.0,4.88,4.5,-4.0,1.0,0.0
910,2476.0,1,-1.0,0.0,1.0,-3.0,-4.5,3.0,2.67
911,-6714.0,0,2.0,3.0,-2.0,-1.0,0.0,-1.33,-1.0
912,3132.0,1,1.0,-1.0,1.75,1.0,2.5,0.0,0.0
913,-2214.0,0,1.0,0.0,1.0,-1.75,-3.0,-2.0,2.0
914,-508.0,0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0
915,1330.0,0,-1.0,-1.0,0.6699999999999999,-2.0,0.7400000000000001,0.58,-4.5
916,-1227.0,1,1.0,0.0,-0.92,-0.53,0.0,-6.1,0.0
917,-7981.0,0,1.0,2.0,-3.4,-3.0,-4.71,-2.73,-1.25
918,-7795.0,0,1.0,1.0,1.0,-3.0,-7.6,-6.0,-1.67
919,3464.0,1,-2.0,-1.0,0.3299999999999999,1.0,-2.0,2.0,0.5
920,-6111.0,0,2.0,2.0,-2.3,-2.0,-2.5,-2.0,0.0
921,-7195.0,0,0.0,2.0,-3.75,-5.4,-3.5,-10.25,-3.7
