link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,gold_difference,turret_blue,turret_red,dragon_blue,dragon_red,blue_heralds,red_heralds,team_win
/match/tr/1401549364,Gangplank,K'Sante,Gragas,Jarvan IV,Lissandra,Akali,Jinx,Ezreal,Bard,Karma,0.4,5.0,5.0,6.5,1.33,1.0,1.83,2.0,1.75,3.0,-3129.0,0.0,0.0,0.0,1.0,1,0,red
/match/tr/1403584260,Camille,Mordekaiser,Zac,Udyr,Lissandra,Aurelion Sol,Kai'Sa,Samira,Ahri,Janna,1.0,1.5,1.0,4.0,5.0,1.0,1.0,5.0,0.2,10.0,-9174.0,1.0,0.0,1.0,0.0,0,1,red
/match/tr/1403573960,LeBlanc,Karma,Bel'Veth,Rammus,Katarina,Garen,Jinx,Aphelios,Thresh,Lulu,2.0,2.0,3.67,2.0,2.0,2.0,1.67,1.5,2.33,10.0,-3413.0,0.0,0.0,0.0,1.0,2,0,blue
/match/tr/1403571117,Tahm Kench,Camille,Evelynn,Lee Sin,Zed,Anivia,Zeri,Xayah,Yuumi,Janna,3.0,2.0,1.0,0.75,2.0,4.0,3.0,2.0,3.0,1.0,3451.0,0.0,1.0,0.0,1.0,1,0,blue
/match/tr/1403567294,Poppy,Shen,Kindred,Lillia,Ahri,Yasuo,Kalista,Xerath,Alistar,Senna,1.0,4.0,0.25,8.0,1.0,6.0,0.6,13.0,0.5,5.5,-7561.0,0.0,0.0,1.0,0.0,1,0,red
/match/tr/1403553817,Singed,Kennen,Kha'Zix,Jarvan IV,LeBlanc,Vladimir,Kai'Sa,Jinx,Rakan,Twitch,5.0,0.25,0.75,7.0,5.0,1.0,0.0,3.0,0.0,3.0,-5381.0,0.0,0.0,1.0,1.0,2,0,red
/match/tr/1403752848,Dr. Mundo,Volibear,Rammus,Talon,Vladimir,Syndra,Ezreal,Jinx,Janna,Lulu,1.5,0.33,8.0,1.0,5.0,4.0,2.0,1.33,4.0,5.0,-3130.0,0.0,0.0,1.0,0.0,0,2,red
/match/tr/1403753640,Malphite,Ornn,Jarvan IV,Kayn,Corki,Fizz,Jinx,Caitlyn,Blitzcrank,Thresh,1.5,0.67,3.33,2.0,1.67,2.0,1.75,1.5,4.5,2.0,-866.0,0.0,0.0,1.0,0.0,1,1,red
/match/tr/1403749663,Gangplank,Darius,Wukong,Jarvan IV,Katarina,Vladimir,Nilah,Sivir,Braum,Senna,0.33,6.0,1.67,2.5,0.5,3.0,3.0,2.0,3.0,2.0,-8319.0,2.0,0.0,0.0,2.0,0,2,red
/match/tr/1403739941,Jax,Darius,Diana,Jarvan IV,Sylas,Nautilus,Sivir,Nilah,Heimerdinger,Rakan,0.67,0.67,5.0,1.67,2.0,4.0,1.0,6.0,3.0,4.0,-1009.0,0.0,1.0,0.0,1.0,1,0,red
/match/tr/1403734376,Tryndamere,Darius,Viego,Sylas,Syndra,Hecarim,Xayah,Ezreal,Rakan,Pyke,2.0,0.33,6.0,1.75,2.5,1.75,1.5,2.33,4.67,1.17,2638.0,0.0,0.0,1.0,0.0,1,1,red
