gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
-2623.0,1,2,1.0,1.0,9.6,0.75,-3.5,9.5,-7.71,-1.0,2.0
-6802.0,0,0,1.0,1.0,-1.5,-11.4,-5.0,1.83,6.0,0.0,1.0
-2132.0,1,0,-1.0,0.0,2.0,4.67,0.0,-7.5,-3.0,-1.0,1.0
3038.0,0,0,-2.0,0.0,-1.0,6.0,5.0,2.75,4.0,-2.0,0.0
-1554.0,1,0,0.0,0.0,4.8,1.0,-6.8,3.75,-5.0,-1.0,1.0
5840.0,1,2,-1.0,-1.0,9.86,3.0,-0.5,0.0,2.0,-1.0,-2.0
-1379.0,0,-1,-1.0,2.0,1.0,0.8300000000000001,5.0,-4.12,0.3399999999999998,0.0,0.0
15853.0,1,1,-1.0,-5.0,10.43,5.25,-1.0,6.0,6.25,-1.0,1.0
-592.0,1,0,0.0,0.0,-2.33,-0.6699999999999999,0.5,0.5,-4.67,-1.0,1.0
-171.0,1,0,0.0,0.0,0.0,4.5,1.0,-1.8,2.25,0.0,1.0
-3361.0,0,2,2.0,1.0,-1.5,-1.83,-7.25,-1.92,-9.5,1.0,0.0
2116.0,1,-1,-1.0,0.0,3.0,10.4,0.8300000000000001,5.0,2.5,-1.0,-1.0
7674.0,1,1,-1.0,-1.0,1.0,5.33,1.17,6.33,7.5,-1.0,-1.0
1406.0,0,2,0.0,-1.0,2.0,5.5,6.5,-1.08,0.1,0.0,1.0
4460.0,1,1,-1.0,-1.0,2.0,1.5,0.0,6.0,7.0,-2.0,0.0
682.0,1,2,1.0,0.0,2.25,2.5,-2.0,-0.6699999999999999,5.5,-3.0,1.0
-6822.0,0,-2,2.0,3.0,-9.86,-0.6000000000000001,0.0,0.33,-0.5800000000000001,3.0,1.0
3938.0,0,2,0.0,-1.0,0.0,2.0,1.0,-0.3,-1.0,-1.0,-1.0
-2648.0,0,-2,-2.0,0.0,-2.0,-1.67,-1.83,-1.42,-2.5,0.0,1.0
-5030.0,0,-2,1.0,1.0,-4.0,-10.6,-0.5,2.33,1.33,3.0,-1.0
7604.0,1,1,-2.0,0.0,-2.5,5.93,3.67,5.0,3.0,2.0,2.0
-942.0,0,0,-2.0,0.0,1.2,3.0,0.0,-1.0,-3.5,0.0,0.0
-2445.0,0,-2,-1.0,1.0,-5.0,-2.25,-3.0,3.5,1.0,1.0,0.0
-2926.0,0,0,-1.0,1.0,-4.0,-2.67,0.5,-1.75,2.0,-1.0,-1.0
2388.0,1,0,0.0,0.0,1.5,-4.0,2.0,-1.75,4.33,-2.0,-1.0
-4132.0,0,-2,2.0,1.0,-4.6,-2.5,0.5,-6.5,-0.5,0.0,1.0
-4095.0,1,-2,2.0,1.0,-0.33,-6.0,-4.33,-5.5,-8.33,-1.0,0.0
1332.0,1,0,-1.0,0.0,2.0,4.0,3.0,0.5,0.4199999999999999,2.0,0.0
-5373.0,0,0,1.0,0.0,-0.5,-1.7,-4.5,-8.0,-1.83,-1.0,0.0
8489.0,1,2,-1.0,-1.0,1.0,5.0,4.33,9.75,7.5,-1.0,-2.0
-3267.0,0,-2,-1.0,1.0,0.5999999999999999,4.0,2.0,0.0,-1.33,2.0,1.0
3394.0,0,2,1.0,0.0,5.4,0.5,3.33,-1.33,-3.0,-1.0,-1.0
4977.0,1,0,-2.0,-1.0,1.0,5.0,5.25,3.0,0.0,-2.0,-2.0
1521.0,1,2,-2.0,0.0,2.0,-0.5,2.67,-1.6,2.8,1.0,-2.0
-3976.0,0,-1,-1.0,0.0,1.0,2.0,-2.0,-3.4,-2.0,-1.0,-1.0
3980.0,1,2,-1.0,-1.0,6.67,2.8,5.0,1.5,-1.5,0.0,1.0
-3870.0,0,-1,1.0,1.0,-2.83,-4.75,-0.53,2.0,3.5,3.0,0.0
-5545.0,0,-2,1.0,2.0,-1.5,-5.0,0.0,-3.27,-4.75,0.0,0.0
-6425.0,0,-2,1.0,2.0,-6.0,-3.0,-5.5,-6.0,-3.0,-2.0,0.0
-172.0,0,-1,1.0,0.0,0.0,0.5,-3.33,2.0,3.0,2.0,0.0
-4087.0,0,0,1.0,0.0,-2.0,-4.0,-1.0,-4.0,-4.0,0.0,1.0
-106.0,0,2,2.0,1.0,0.0,-2.0,3.0,-7.0,-5.25,-2.0,-1.0
-3387.0,0,0,1.0,2.0,0.0,-1.0,0.0,-4.0,-4.6,0.0,0.0
2327.0,1,-1,-1.0,-1.0,-1.0,1.0,0.0,1.0,-6.75,-1.0,1.0
-8130.0,0,-2,1.0,2.0,-3.71,-1.33,-5.67,1.5,3.5,1.0,0.0
5989.0,1,1,-2.0,-2.0,0.5,2.0,5.0,2.5,3.25,1.0,1.0
7018.0,1,2,-2.0,-2.0,6.0,1.33,5.5,1.5,0.0,0.0,0.0
