gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role,win_score_difference
5711.0,0,2,1.0,-1.0,1.0,-1.73,-0.33,5.67,2.0,2.0,1.0,-18.78000000000001
-3061.0,0,0,2.0,1.0,0.0,-1.5,0.0,-6.67,-4.5,1.0,0.0,-16.860000000000042
1382.0,1,2,1.0,-1.0,-1.25,-8.0,0.25,-1.0,-3.0,2.0,-2.0,-15.320000000000007
3761.0,1,2,1.0,-1.0,1.5,-1.5,-0.1699999999999999,3.67,-1.0,1.0,0.0,73.06
3091.0,1,2,-2.0,-1.0,2.75,1.0,-2.0,-1.0,-5.0,2.0,1.0,68.43000000000002
540.0,1,1,0.0,0.0,-1.0,-1.0,-2.0,0.75,1.0,2.0,1.0,48.829999999999956
6282.0,1,2,-1.0,-2.0,-0.5,8.0,5.5,3.5,4.0,0.0,0.0,11.180000000000007
-2968.0,0,1,1.0,0.0,-0.3399999999999998,-7.33,-3.0,-5.67,-4.67,0.0,0.0,-0.8300000000000409
963.0,1,0,1.0,0.0,1.33,-3.5,1.0,1.0,3.0,1.0,-2.0,5.7099999999999795
-5499.0,0,-2,2.0,0.0,0.6699999999999999,-7.8,-2.0,-0.96,-2.0,1.0,1.0,1.5499999999999972
2676.0,1,2,-1.0,0.0,3.75,-5.5,2.33,1.13,-2.17,1.0,1.0,-10.060000000000016
1455.0,1,-2,-1.0,0.0,2.5,4.0,5.33,3.0,-1.67,0.0,1.0,16.07999999999999
8033.0,1,0,0.0,-2.0,5.0,7.5,1.5,-1.0,-0.1699999999999999,3.0,0.0,11.320000000000007
-2199.0,0,-2,0.0,0.0,0.5,-1.0,-1.67,-4.0,-4.0,1.0,0.0,1.3400000000000176
-4381.0,1,0,1.0,1.0,-0.33,3.5,-5.0,-6.5,-2.24,1.0,0.0,44.59
-3271.0,0,0,1.0,0.0,1.67,-1.0,-5.5,-3.75,-7.5,0.0,0.0,10.580000000000034
-8737.0,0,-1,2.0,3.0,-3.5,-6.25,-2.25,1.0,-1.0,-1.0,0.0,5.490000000000009
-4700.0,0,-2,-1.0,1.0,-1.5,-5.0,-0.1699999999999999,-3.1,-7.25,1.0,0.0,-10.39
1303.0,1,0,1.0,2.0,3.67,5.0,1.67,-4.0,-1.0,-3.0,2.0,10.609999999999964
975.0,1,2,-1.0,1.0,1.0,0.5,2.5,0.33,3.33,0.0,0.0,30.560000000000002
-4584.0,0,0,-1.0,2.0,2.0,0.0,4.0,0.5,-1.33,1.0,1.0,4.070000000000029
-6245.0,0,-1,2.0,0.0,-7.83,-10.33,-5.0,2.0,-1.83,-1.0,-1.0,2.130000000000031
2161.0,1,2,1.0,0.0,0.5,3.5,3.33,1.0,2.75,0.0,-1.0,-5.430000000000007
3241.0,1,2,-2.0,-1.0,-3.0,3.17,-1.5,3.0,16.86,0.0,0.0,5.930000000000007
-4041.0,0,-2,2.0,1.0,0.1699999999999999,-2.0,-1.0,1.0,-0.5,0.0,-1.0,5.899999999999999
-1914.0,1,-2,-2.0,0.0,-0.5,-2.7,-4.0,-1.45,-7.67,-2.0,1.0,-1.0399999999999991
-1549.0,0,0,1.0,0.0,-3.0,-3.0,-3.0,1.17,0.5,0.0,-2.0,-5.629999999999981
-14149.0,0,-1,1.0,2.0,-6.5,-9.6,0.0,-5.75,-6.0,-1.0,2.0,-6.560000000000059
-2142.0,0,-2,-1.0,2.0,0.0,3.75,0.5,11.5,4.25,1.0,0.0,-6.0800000000000125
2508.0,1,2,-1.0,1.0,8.83,8.0,4.5,-0.08,-4.0,1.0,-1.0,3.7099999999999724
-2811.0,0,-2,1.0,0.0,-4.0,-2.67,3.33,-0.6699999999999999,-1.08,-1.0,0.0,13.53999999999997
-8927.0,0,-1,2.0,1.0,-2.0,-7.5,-4.5,-2.33,-7.0,0.0,-2.0,-6.680000000000042
2745.0,1,1,1.0,0.0,2.0,1.0,3.0,0.3399999999999998,-1.67,0.0,0.0,5.350000000000016
-276.0,0,0,1.0,0.0,0.6000000000000001,5.25,-3.5,-2.75,-4.0,0.0,1.0,-3.260000000000012
-775.0,1,0,1.0,0.0,-3.25,-2.67,0.0,0.0,-4.0,-1.0,0.0,-12.170000000000016
-6347.0,0,-2,-1.0,1.0,-4.0,-0.8300000000000001,-0.5,2.0,-1.0,1.0,1.0,4.289999999999949
-7059.0,0,-2,-1.0,1.0,-5.0,-3.5,-3.0,0.0,-0.5,0.0,0.0,6.299999999999997
-8112.0,0,-2,2.0,0.0,-0.5,-7.25,-3.67,-4.67,-5.0,2.0,1.0,16.480000000000018
-8826.0,0,-1,2.0,1.0,1.5,-5.1,-5.67,-7.33,-5.5,1.0,0.0,13.010000000000012
-6833.0,0,-2,0.0,3.0,-7.0,-3.0,-3.0,-6.0,-2.9,-1.0,0.0,-3.6999999999999957
-910.0,0,-2,1.0,0.0,-1.5,-2.0,1.17,-1.5,0.0,-1.0,0.0,11.05000000000004
8415.0,1,-1,-2.0,-1.0,2.5,3.0,2.5,5.8,5.0,2.0,0.0,2.3099999999999667
2996.0,1,2,-2.0,1.0,-2.0,8.75,8.6,7.67,4.75,-1.0,0.0,-10.70000000000001
-1181.0,1,-2,-1.0,0.0,3.5,0.0,-1.5,3.5,1.0,1.0,2.0,7.600000000000016
6004.0,1,2,2.0,-1.0,4.0,4.5,0.0,2.0,-0.33,0.0,0.0,-3.2699999999999676
3541.0,1,0,-1.0,-1.0,5.8,3.6,1.0,-0.33,1.0,2.0,1.0,-13.770000000000003
0.0,0,1,2.0,1.0,1.0,3.0,6.25,-1.67,-5.5,-2.0,1.0,-3.4199999999999875
2472.0,1,2,0.0,-1.0,2.67,-3.67,4.5,-1.58,-2.0,1.0,1.0,-10.229999999999976
-2180.0,0,-2,1.0,0.0,-2.5,0.75,0.0,-4.5,-0.33,1.0,1.0,-13.879999999999988
3958.0,1,2,-1.0,-1.0,1.0,3.7,4.5,1.0,-0.33,-3.0,1.0,-62.37000000000003
-4830.0,0,-1,-1.0,1.0,-4.75,-1.0,-3.67,-3.0,-2.0,2.0,-2.0,-6.460000000000001
1581.0,1,2,0.0,-1.0,-3.5,3.5,5.0,-2.67,2.0,0.0,0.0,3.989999999999945
2989.0,0,0,1.0,0.0,5.0,5.33,0.5,1.0,2.0,1.0,-1.0,-8.18999999999997
-4659.0,0,0,2.0,1.0,-5.75,-3.25,-3.0,0.0,-0.1699999999999999,0.0,-1.0,2.329999999999984
-3164.0,0,-2,-1.0,1.0,0.83,-5.0,-3.0,-1.75,0.0,0.0,0.0,-5.11999999999999
6950.0,1,2,2.0,-1.0,1.33,5.0,-2.5,2.0,6.75,-1.0,0.0,-19.36
2615.0,0,-2,-2.0,0.0,1.0,8.0,4.5,1.17,0.0,-2.0,0.0,-0.36000000000001364
-6427.0,0,0,2.0,1.0,-0.33,-7.0,-2.5,-0.92,-4.5,-1.0,-2.0,-15.810000000000002
3874.0,1,-2,-1.0,0.0,0.25,2.25,8.25,2.5,-0.25,0.0,0.0,6.240000000000016
-2118.0,1,-1,-1.0,0.0,1.0,-1.53,-2.5,-3.0,-6.67,0.0,0.0,-1.2700000000000102
578.0,1,0,-2.0,0.0,-0.3999999999999999,-3.33,2.0,3.33,10.25,0.0,2.0,-9.649999999999991
-1853.0,0,2,1.0,0.0,4.6,-7.5,-0.6699999999999999,-7.0,-7.67,-1.0,0.0,-4.0500000000000185
-2537.0,1,0,0.0,1.0,-2.71,-1.0,-0.5,-0.83,-5.0,1.0,1.0,-3.309999999999995
-782.0,0,0,2.0,0.0,1.5,-4.5,2.0,-1.4,7.75,2.0,-1.0,-0.13000000000001677
-1390.0,0,-2,2.0,-1.0,3.75,-4.0,-7.0,-0.5,-5.5,-1.0,-1.0,1.259999999999991
1026.0,1,-1,0.0,0.0,3.67,4.5,1.0,-1.0,-1.5,-2.0,-2.0,2.6899999999999977
