gold_difference,herald_difference,dragon_difference,win_score_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,blue_win_percentage,red_win_percentage
0.34629528205930676,0.0,-0.5,0.4542713567839178,-0.5,0.12820512820512822,0.75,-0.2313475997686524,0.2753623188405797,1.2206148282097649,71.49405614996675,28.505943850033248
-0.4284484782098427,0.0,1.0,-4.068341708542707,0.0,-0.12820512820512822,-0.36166666666666664,-1.156737998843262,-0.2484472049689441,-0.9945750452079566,5.853874794534817,94.14612520546518
-0.31844143650731555,0.6666666666666666,0.5,-0.13553481694185007,0.0,0.8333333333333334,0.4166666666666667,0.1735106998264893,-0.8695652173913043,-1.2658227848101264,32.097154250739074,67.90284574926093
-0.47883577184883813,0.0,0.5,0.04307250538406373,0.5,0.25641025641025644,0.3333333333333333,-0.2313475997686524,-1.8633540372670807,-1.0849909584086799,22.670799307636912,77.32920069236309
-0.748454737500978,0.0,0.5,0.5978463747307985,0.5,-0.6846153846153846,-0.6883333333333334,-0.1156737998843262,-2.1739130434782608,-0.6636528028933092,18.098900441009516,81.90109955899048
0.31390345043423834,0.0,0.5,0.9751615218951893,-0.5,-0.5128205128205129,-0.6666666666666666,0.1156737998843262,0.0,-0.15009041591320074,57.553832905584066,42.446167094415934
-0.5689695641968547,0.6666666666666666,0.5,0.8712132089016511,0.0,0.25641025641025644,-0.16666666666666666,0.0,-0.1366459627329193,-0.3019891500904159,23.522529482930903,76.4774705170691
-0.37571395039511774,-0.3333333333333333,-0.5,-0.49274946159368094,0.0,-0.5974358974358974,-0.2916666666666667,-0.2891844997108155,0.0,-0.3616636528028933,24.911109248287737,75.08889075171226
-0.7597214615444801,-0.6666666666666666,0.5,0.2733668341708544,0.5,0.5128205128205129,-0.8333333333333334,-0.4626951995373048,-1.1739130434782608,-0.3019891500904159,12.430604449068962,87.56939555093103
0.29043110867694233,0.6666666666666666,0.5,0.06317300789662537,0.0,-0.4102564102564103,-0.3333333333333333,0.1156737998843262,-0.6211180124223602,-0.5424954792043399,66.37482296248464,33.62517703751536
0.40481965417416477,0.0,0.0,0.11600861450107582,0.0,0.0,0.6666666666666666,0.8675534991324465,-0.7598343685300207,-0.9041591320072332,75.84308103159772,24.15691896840228
0.5046553477818637,0.0,0.0,-0.04479540559942591,0.0,0.12820512820512822,-0.245,0.2313475997686524,0.8281573498964803,0.3616636528028933,69.54633948795478,30.453660512045218
-0.5276582427040137,0.0,0.5,0.19641062455132974,0.0,-0.25641025641025644,-0.055,-0.9253903990746096,-0.20703933747412007,-0.9041591320072332,15.675541188257776,84.32445881174222
0.0444409670604804,-0.6666666666666666,0.5,0.19296482412060456,0.0,-0.12820512820512822,0.16666666666666666,0.1156737998843262,0.0,0.3616636528028933,41.991773109403546,58.008226890596454
0.579140912291683,0.6666666666666666,0.5,-1.6562814070351728,-0.5,-0.7692307692307693,-0.22333333333333336,0.578368999421631,-0.6211180124223602,-0.059674502712477394,60.668636835326886,39.331363164673114
