gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role,win_score_difference
-2863.0,0,2,1.0,0.0,-0.5,3.3,-4.67,-0.54,-0.5,2.0,0.0,3.0400000000000063
-7290.0,0,-2,2.0,1.0,-2.5,-5.75,-8.33,-4.0,-4.33,1.0,0.0,-64.35999999999997
-6300.0,0,-1,1.0,1.0,0.17,-7.0,-2.7,-4.33,-6.25,1.0,1.0,3.460000000000008
-6767.0,0,-2,1.0,3.0,-2.5,-7.33,2.0,-5.5,-7.6,-2.0,0.0,-31.18000000000001
4078.0,1,0,-2.0,-1.0,-2.0,2.0,1.0,3.0,-1.53,3.0,0.0,9.260000000000003
-587.0,1,0,1.0,-1.0,2.8,-0.5,-6.0,2.0,1.0,1.0,0.0,3.179999999999972
4.0,1,0,1.0,0.0,0.83,-2.0,-3.75,-5.0,-4.0,1.0,0.0,3.640000000000001
-3372.0,0,2,1.0,0.0,-1.25,-1.0,2.67,-3.0,-4.0,2.0,1.0,35.48
-2237.0,1,-2,2.0,2.0,-2.0,-4.0,-1.67,-0.4199999999999999,0.8300000000000001,3.0,0.0,-6.669999999999995
5501.0,1,1,-1.0,-1.0,7.0,8.4,0.25,-1.5,8.75,-2.0,0.0,47.51000000000002
2188.0,0,2,-1.0,0.0,-0.1499999999999999,0.5800000000000001,4.0,0.0,-1.5,-1.0,0.0,0.769999999999996
3060.0,1,2,1.0,-1.0,-0.3299999999999999,3.4,3.5,0.6000000000000001,-0.25,0.0,2.0,11.11000000000002
1999.0,1,0,-1.0,-1.0,-1.0,-5.2,-8.33,1.6,1.0,1.0,0.0,-5.739999999999974
3747.0,1,-2,1.0,-1.0,1.5,2.83,2.33,1.0,4.0,1.0,1.0,0.1200000000000116
6771.0,1,1,-2.0,-1.0,0.0,9.5,4.5,7.0,6.5,0.0,1.0,-1.1400000000000148
5233.0,1,1,-1.0,0.0,4.75,0.0,-1.5,0.6699999999999999,0.0,0.0,0.0,-12.460000000000017
4614.0,1,2,1.0,0.0,0.83,1.0,-1.0,0.5,2.67,2.0,0.0,8.839999999999968
-73.0,0,2,-1.0,-1.0,2.33,-6.5,0.0,-6.33,-7.25,1.0,-2.0,55.63999999999997
3830.0,1,1,-1.0,0.0,3.67,1.0,0.5,8.25,4.5,-3.0,0.0,-3.1899999999999977
-6493.0,0,-2,1.0,2.0,-9.0,-3.0,-1.5,3.0,6.67,-3.0,-1.0,0.6400000000000148
777.0,0,0,1.0,0.0,-3.0,1.0,-1.5,6.0,2.33,1.0,0.0,8.749999999999979
8618.0,1,2,-1.0,-3.0,1.2,9.5,2.5,7.5,5.6,1.0,0.0,9.940000000000012
1236.0,0,0,-2.0,0.0,0.0,1.0,1.5,1.5,0.4199999999999999,-2.0,-1.0,0.8400000000000034
2305.0,0,-2,-2.0,0.0,-1.0,8.33,1.5,0.75,3.67,0.0,0.0,10.119999999999967
273.0,1,-2,-2.0,0.0,0.5,0.33,3.0,-2.0,1.0,2.0,1.0,-3.30000000000004
6110.0,1,0,1.0,-2.0,-1.5,12.0,12.5,3.4,0.2000000000000001,1.0,-1.0,24.250000000000057
4117.0,1,0,1.0,-1.0,1.5,7.5,9.5,-0.5,1.47,0.0,1.0,5.700000000000017
-1754.0,0,0,2.0,-1.0,0.4499999999999999,0.0,-1.0,-4.1,-7.67,-2.0,1.0,-11.769999999999968
10233.0,1,-1,-1.0,-1.0,0.8300000000000001,3.75,5.83,11.6,3.17,-1.0,1.0,11.420000000000009
-7223.0,0,-1,1.0,1.0,-4.67,-7.75,-4.25,-6.33,-1.83,3.0,0.0,-9.91000000000001
-5654.0,0,1,0.0,0.0,-2.25,1.35,2.5,-0.33,-4.5,0.0,0.0,-2.729999999999997
1646.0,1,0,0.0,0.0,3.6,0.0,3.5,-0.83,4.5,1.0,1.0,-10.460000000000008
8701.0,1,2,-2.0,-1.0,4.67,10.25,3.17,2.17,2.17,1.0,1.0,-9.390000000000065
-2516.0,0,-2,1.0,0.0,1.0,0.4199999999999999,-4.67,-1.33,-6.5,0.0,0.0,-15.22
5733.0,1,1,1.0,-1.0,2.67,6.0,0.75,4.75,0.6600000000000001,0.0,0.0,20.41999999999998
-4536.0,0,-2,1.0,1.0,-1.0,-6.0,3.33,-2.5,-2.08,-1.0,1.0,12.779999999999994
-6425.0,0,-2,1.0,2.0,-6.0,-3.0,-5.5,-6.0,-3.0,-2.0,0.0,11.40999999999999
-1822.0,1,2,2.0,0.0,-0.83,-6.4,-0.33,0.5,-1.0,-1.0,-1.0,43.190000000000055
9757.0,1,1,-1.0,-2.0,0.33,6.33,5.3,7.67,9.5,0.0,1.0,3.159999999999989
1697.0,0,2,-1.0,-1.0,0.5,-3.0,0.0,-1.0,1.75,1.0,1.0,36.31000000000004
-9771.0,0,-1,1.0,1.0,-4.0,-5.0,-3.67,-3.5,-3.0,0.0,-1.0,-6.120000000000012
349.0,0,2,1.0,0.0,3.0,-1.83,-4.0,-4.0,-5.0,-2.0,0.0,10.06000000000001
