link,gold_difference_at_20_minutes,turret_difference_at_20_minutes,dragon_difference_at_20_minutes,Team_Win,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,herald_difference_at_20_minutes
/match/eune/3359135111,950.0,3.0,2.0,blue,0.43,2.5,3.67,4.5,1.0,1.25,6.5,1.25,7.0,1.0,0
/match/eune/3359121944,-1302.0,-2.0,-2.0,red,2.0,1.33,5.0,2.0,2.67,1.0,0.25,5.5,0.75,11.0,-1
/match/eune/3359114985,-7078.0,-3.0,-1.0,red,1.2,0.5,1.5,3.33,0.67,2.0,2.0,3.0,6.0,4.5,-2
/match/eune/3359114046,-560.0,-1.0,-1.0,red,1.5,1.5,7.0,5.0,0.5,5.0,3.0,2.0,4.0,3.0,0
/match/eune/3359122349,8351.0,4.0,0.0,blue,6.0,0.0,12.0,1.33,1.8,1.43,1.5,1.2,3.67,2.67,0
/match/eune/3359116094,-988.0,1.0,2.0,red,0.62,4.5,2.5,1.6,4.5,1.33,1.67,1.5,11.0,2.67,-2
/match/eune/3359102059,-7842.0,-4.0,-2.0,red,1.0,1.5,1.6,5.0,4.0,1.25,0.75,4.5,1.2,7.0,-2
/match/eune/3359107406,-9405.0,-4.0,-2.0,red,0.5,3.5,1.12,8.0,1.33,2.4,1.17,17.0,1.0,5.0,0
/match/eune/3359098686,4951.0,2.0,0.0,blue,7.0,1.0,11.0,1.75,0.67,4.0,4.0,0.4,3.5,2.0,0
/match/eune/3359097347,3876.0,1.0,2.0,red,12.0,1.33,4.0,1.5,5.0,0.33,4.0,1.0,7.0,0.33,0
/match/eune/3359091204,3426.0,2.0,2.0,blue,1.5,0.5,3.0,2.5,2.0,0.86,6.0,1.0,2.5,4.0,2
/match/eune/3359082813,6777.0,3.0,0.0,blue,0.33,2.0,3.5,1.2,4.0,0.75,12.0,0.4,14.0,0.25,0
/match/eune/3359081601,-4316.0,0.0,-2.0,red,1.0,4.0,0.62,8.5,0.83,5.33,1.86,0.83,3.0,2.83,-2
/match/eune/3359080253,-4132.0,-3.0,0.0,red,1.5,4.0,8.0,1.0,4.0,0.67,6.0,1.0,5.0,0.5,-2
/match/eune/3359078311,5121.0,4.0,1.0,blue,6.0,1.33,2.0,0.67,6.0,1.75,5.5,1.33,3.0,0.5,0
/match/eune/3359069966,1161.0,2.0,-1.0,blue,1.0,1.0,2.0,3.5,2.0,1.0,3.0,4.0,1.0,1.33,0
/match/eune/3359066959,-2743.0,-5.0,1.0,red,0.75,3.5,1.6,3.33,0.8,12.0,1.75,2.2,1.14,5.0,-2
/match/eune/3359063630,-5346.0,1.0,-1.0,red,1.5,2.5,2.0,11.0,1.75,2.33,1.67,1.17,1.4,3.75,-2
/match/eune/3359066176,-3827.0,-2.0,-2.0,red,2.0,3.0,1.0,5.0,0.43,13.0,0.71,3.33,4.5,6.0,0
/match/eune/3359053921,-951.0,-1.0,-1.0,red,1.0,4.5,2.67,1.0,6.0,0.67,0.67,4.67,2.0,3.5,-2
/match/eune/3359049905,-2366.0,-2.0,-2.0,red,0.0,3.0,2.5,2.5,0.5,3.0,1.25,1.0,1.5,8.0,-2
/match/eune/3359055403,-1970.0,-2.0,1.0,red,1.2,2.33,2.5,2.67,9.0,11.0,1.33,0.33,4.0,1.5,0
/match/eune/3359047981,4918.0,1.0,3.0,blue,1.67,1.0,11.0,2.5,2.5,6.0,3.5,0.5,4.5,0.75,0
/match/eune/3359043954,-1226.0,0.0,2.0,red,0.88,3.25,3.0,1.62,4.33,6.5,3.33,2.0,5.0,2.25,0
/match/eune/3359050078,-6045.0,-3.0,-3.0,blue,0.83,1.75,1.83,6.0,0.8,2.2,1.0,5.0,0.71,5.67,0
/match/eune/3359040327,3712.0,3.0,0.0,blue,4.0,0.5,6.0,2.0,2.5,0.38,0.33,4.0,2.6,4.67,0
/match/eune/3359030320,-1333.0,-2.0,-2.0,blue,0.5,1.5,9.0,2.33,3.0,5.0,0.33,3.5,1.25,2.67,-2
/match/eune/3359025423,-7211.0,-4.0,-3.0,red,7.0,1.0,1.25,3.0,0.6,9.0,2.0,2.67,2.33,2.25,-2
/match/eune/3359026078,3621.0,-2.0,0.0,blue,1.0,3.0,15.0,1.67,11.0,0.29,1.67,1.0,8.5,1.75,-1
/match/eune/3359015722,3378.0,-1.0,2.0,red,0.5,2.0,10.0,0.5,5.0,1.0,7.0,0.0,7.0,0.75,2
/match/eune/3359014183,184.0,2.0,1.0,blue,0.75,1.25,2.0,3.5,1.0,2.25,1.75,4.25,3.5,2.5,0
/match/eune/3359010330,-3068.0,0.0,-2.0,red,1.14,2.0,1.0,4.67,0.8,6.0,1.0,6.0,1.67,5.0,1
/match/eune/3359003532,-2569.0,-2.0,0.0,blue,2.0,2.0,2.5,4.0,0.38,7.0,4.0,3.0,1.25,8.0,-2
/match/eune/3358988989,2575.0,1.0,2.0,blue,5.0,0.25,11.0,0.78,2.4,0.83,2.0,7.0,1.67,3.5,0
/match/eune/3358993755,-8353.0,-4.0,-2.0,red,0.5,3.67,1.17,3.67,3.0,8.0,0.5,2.6,3.0,5.0,0
/match/eune/3358983041,-6004.0,-3.0,-1.0,red,2.33,0.8,1.33,6.0,2.0,2.67,0.89,6.0,1.12,6.33,-2
/match/eune/3358982722,-7555.0,-2.0,-3.0,red,1.0,8.0,1.67,4.0,1.33,7.0,0.86,1.5,1.5,8.0,-2
