gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
-3395.0,0,0,0.0,1.0,-1.5,0.2000000000000001,-5.0,0.0,-5.3,0.0,1.0
7322.0,1,2,1.0,-2.0,0.17,11.0,9.0,-1.25,0.0,2.0,1.0
3170.0,1,2,-2.0,-1.0,0.0,4.0,2.1,7.5,10.6,-2.0,-1.0
952.0,1,2,2.0,0.0,3.0,2.0,1.5,-1.17,-2.0,0.0,0.0
309.0,1,-2,1.0,1.0,0.0,1.33,4.0,-2.1,5.75,-1.0,0.0
-12162.0,0,-1,2.0,1.0,-1.0,-9.0,-4.0,-8.5,-3.83,1.0,0.0
-1621.0,1,2,-1.0,1.0,0.25,1.33,-0.5,1.33,2.5,1.0,2.0
-1766.0,0,0,1.0,-1.0,2.67,-5.0,-3.5,-2.5,-1.0,-1.0,-1.0
-4907.0,1,-2,1.0,0.0,-6.0,-8.0,-1.75,0.5,-1.3,-1.0,0.0
-354.0,0,2,-1.0,0.0,-0.3299999999999999,9.33,4.5,0.3399999999999998,-0.25,1.0,0.0
-11050.0,0,-1,1.0,0.0,-1.75,-5.5,-7.0,-12.6,-15.0,0.0,1.0
5146.0,1,0,1.0,-2.0,0.0,0.0,4.0,2.0,2.0,-1.0,-2.0
-1805.0,1,0,1.0,0.0,1.0,-4.75,0.0,1.67,1.67,0.0,1.0
3970.0,0,-1,0.0,0.0,4.0,8.5,-0.5,5.2,-0.8699999999999999,-2.0,-1.0
4838.0,1,0,-1.0,-1.0,-8.71,3.0,2.0,11.29,2.5,-1.0,1.0
-4218.0,0,0,-1.0,1.0,1.25,-0.92,-4.0,-9.67,-0.75,-1.0,0.0
4128.0,1,2,0.0,0.0,2.67,1.0,0.5,-5.25,-3.0,2.0,0.0
-614.0,0,0,-1.0,1.0,1.0,-6.0,-3.0,0.5,-1.0,-1.0,1.0
1043.0,1,2,2.0,0.0,2.0,1.0,2.1,-5.0,-4.33,-1.0,1.0
-3294.0,0,2,2.0,0.0,-3.0,-3.0,-2.0,3.5,2.5,0.0,-1.0
-5220.0,0,-2,1.0,1.0,-4.0,-1.0,3.5,-4.33,0.8300000000000001,0.0,1.0
1940.0,1,0,1.0,-2.0,-2.0,-1.75,-8.71,-0.5,-8.33,3.0,0.0
-4735.0,0,-2,-1.0,1.0,2.5,-5.0,-3.71,-6.67,2.0,-1.0,-2.0
1689.0,1,0,1.0,0.0,-2.0,-3.33,-1.75,1.0,2.75,0.0,-1.0
-2435.0,1,2,1.0,0.0,0.9,6.0,-1.5,-0.33,-2.75,0.0,1.0
639.0,1,2,1.0,-1.0,-2.75,2.0,5.4,-4.5,-2.0,-3.0,-1.0
-2449.0,0,-2,0.0,0.0,2.5,-2.0,-6.0,-0.6699999999999999,-1.5,-3.0,0.0
-2011.0,0,-1,1.0,-1.0,2.0,-1.25,-2.17,2.0,-0.1699999999999999,0.0,0.0
-2860.0,0,0,2.0,1.0,-4.0,-1.33,-1.42,3.5,3.0,-1.0,1.0
6323.0,1,0,-1.0,-2.0,2.67,9.33,6.33,8.2,1.25,1.0,-1.0
5102.0,1,1,0.0,-1.0,1.83,9.2,0.6699999999999999,4.33,-2.25,0.0,1.0
2795.0,0,-1,0.0,0.0,-1.0699999999999998,2.0,-5.33,6.0,3.5,-2.0,-1.0
1360.0,0,0,1.0,0.0,-1.0,-2.75,5.0,-2.17,-1.25,-2.0,-1.0
-1632.0,0,-2,0.0,0.0,-0.25,-2.5,1.75,1.5,-1.5,2.0,-1.0
-4456.0,0,0,2.0,1.0,-1.5,-2.0,-2.0,-2.5,-1.0,0.0,1.0
-11104.0,0,-2,1.0,3.0,-7.0,-7.75,1.0,-0.5,-10.8,-3.0,0.0
-3073.0,0,-2,1.0,0.0,-0.6699999999999999,-3.0,-5.0,0.0,-0.5,-3.0,0.0
3798.0,1,2,1.0,-1.0,4.0,-4.5,-2.25,5.0,2.25,-2.0,1.0
1983.0,0,-2,1.0,0.0,-4.0,1.25,2.5,-2.5,-6.0,0.0,1.0
2174.0,1,2,1.0,-1.0,0.0,1.0,0.5,-1.0,-4.0,1.0,0.0
-4133.0,0,-1,0.0,1.0,0.0,-6.0,-1.3,1.5,-6.67,-1.0,0.0
-8041.0,0,-2,1.0,1.0,-4.0,-8.33,-2.0,0.5,-3.5,1.0,0.0
6481.0,1,2,1.0,-1.0,5.0,3.33,1.34,2.0,0.33,0.0,2.0
1244.0,0,0,-1.0,0.0,0.92,1.0,-2.0,1.33,-5.67,2.0,0.0
2094.0,1,2,-1.0,0.0,2.0,4.67,4.0,1.17,1.83,0.0,-1.0
2439.0,1,2,1.0,-1.0,1.0,1.0,3.0,2.5,0.5,1.0,0.0
2579.0,1,2,-2.0,-1.0,-1.5,-5.33,-2.0,5.75,4.5,0.0,2.0
3374.0,0,0,2.0,0.0,0.0,-3.0,0.0,3.0,1.53,1.0,1.0
