gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
-867.0,1,2,-1.0,0.0,1.0,0.1699999999999999,-4.0,-1.67,-2.33,1.0,0.0
-3725.0,0,2,-1.0,2.0,-1.75,-0.8300000000000001,-4.0,-0.25,-1.4,-1.0,1.0
767.0,1,0,1.0,0.0,-0.8699999999999999,-6.5,2.67,0.6699999999999999,-6.0,0.0,-1.0
-139.0,0,-2,1.0,0.0,-2.0,-2.0,-1.0,0.0,-1.0,0.0,0.0
-1267.0,0,2,-1.0,0.0,-3.25,4.2,-4.75,-0.8,-5.0,1.0,0.0
1082.0,1,2,-2.0,0.0,-5.8,-1.5,1.0,5.5,-0.5,0.0,0.0
4324.0,1,0,0.0,-1.0,-1.5,3.67,4.0,7.4,5.5,-2.0,-1.0
-9019.0,0,-1,1.0,4.0,-1.27,2.0,-1.0,-3.75,-5.0,1.0,0.0
-2899.0,0,0,1.0,1.0,-3.83,-3.5,-2.5,0.5,3.67,-1.0,1.0
-3881.0,1,-1,1.0,0.0,2.0,-2.0,-2.5,-1.25,-6.0,0.0,2.0
1714.0,0,2,0.0,-1.0,0.1699999999999999,-5.0,3.5,5.67,5.33,1.0,1.0
2046.0,0,0,1.0,-1.0,-4.5,-4.3,-5.33,4.12,6.14,-2.0,0.0
2811.0,1,0,-1.0,0.0,0.25,0.33,3.75,7.25,1.5,1.0,2.0
-3351.0,0,0,0.0,1.0,1.5,-3.0,4.0,-10.75,-9.83,-2.0,0.0
4527.0,1,2,-2.0,-2.0,1.67,4.33,1.0,3.67,3.0,-2.0,0.0
-11136.0,0,1,0.0,1.0,-4.33,-11.25,-6.17,-6.0,-14.0,1.0,-1.0
-4615.0,0,0,-1.0,2.0,5.33,8.33,-0.55,-4.33,1.5,0.0,1.0
-1916.0,1,2,0.0,0.0,-0.3299999999999999,-2.0,-3.0,-3.33,-4.0,-2.0,-2.0
4430.0,1,2,1.0,-1.0,-2.0,1.83,0.33,-0.6699999999999999,3.33,2.0,1.0
-704.0,1,-1,0.0,0.0,-3.75,5.0,0.0,5.0,0.0,-3.0,-1.0
5847.0,1,0,-1.0,-1.0,4.5,5.0,3.0,0.5,1.5,-1.0,1.0
