gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
-1682.0,1,-2,-2.0,0.0,1.0,-2.0,-0.33,1.33,2.0,-1.0,-1.0
-2449.0,0,-2,0.0,0.0,2.5,-2.0,-6.0,-0.6699999999999999,-1.5,-3.0,0.0
3276.0,1,-2,-1.0,-1.0,0.2,-3.33,-1.17,3.5,2.9,0.0,-1.0
2552.0,1,0,-2.0,1.0,1.67,6.5,3.5,2.0,6.0,1.0,-1.0
-3089.0,0,-1,-1.0,2.0,0.83,3.0,-1.25,0.25,1.5,0.0,1.0
4419.0,1,0,-1.0,-1.0,1.5,11.0,2.33,3.25,-0.4499999999999999,-3.0,0.0
6393.0,1,2,1.0,0.0,4.8,14.2,9.33,-1.5,11.33,1.0,2.0
1149.0,1,2,-2.0,-1.0,1.5,4.0,3.25,0.4199999999999999,-0.25,-2.0,0.0
235.0,0,0,1.0,0.0,-0.6,-1.75,1.0,3.0,4.33,1.0,1.0
-8729.0,0,-2,1.0,1.0,0.65,-9.8,-7.5,-2.5,-4.5,1.0,1.0
12540.0,1,2,-1.0,-5.0,-1.0,2.0,3.0,13.4,6.12,1.0,1.0
6797.0,1,-1,-2.0,-1.0,0.6699999999999999,5.67,2.5,4.0,6.0,0.0,-2.0
-4519.0,0,0,2.0,1.0,0.34,-2.33,1.0,-1.87,-4.1,-1.0,-1.0
-1585.0,1,2,1.0,0.0,4.4,1.17,6.67,-2.0,-2.5,2.0,-1.0
-6843.0,0,-2,-1.0,1.0,-1.5,-5.17,-1.0,-4.0,-10.33,-2.0,-1.0
-5466.0,0,0,1.0,1.0,-4.75,-1.67,-2.75,-1.5,-1.0,1.0,0.0
4340.0,0,2,-2.0,-1.0,0.0,-1.0,4.33,3.5,5.0,2.0,1.0
-6570.0,0,-2,1.0,1.0,0.0,-4.0,-3.0,-3.67,-1.42,1.0,1.0
5129.0,1,2,2.0,-1.0,1.6,1.42,-1.75,1.75,1.5,-1.0,0.0
1146.0,1,0,1.0,0.0,6.4,6.0,1.2,-3.0,-1.33,3.0,2.0
4703.0,1,0,-2.0,-1.0,-1.5,3.5,4.67,2.17,1.0,0.0,1.0
7832.0,1,2,0.0,-2.0,4.0,11.25,10.0,6.5,5.0,-2.0,-1.0
901.0,1,-2,-1.0,0.0,-1.33,4.67,-3.0,1.73,6.0,2.0,0.0
461.0,0,0,1.0,1.0,-1.2,1.17,5.2,-1.83,-0.75,-1.0,1.0
-1568.0,0,0,2.0,0.0,2.0,-7.33,-2.33,-6.25,-1.33,0.0,0.0
1914.0,1,0,0.0,0.0,0.0,7.0,-0.3,0.6699999999999999,2.34,-3.0,-1.0
4575.0,0,2,1.0,-1.0,1.5,7.0,0.5,0.8300000000000001,0.0,0.0,-2.0
-10023.0,0,-1,1.0,3.0,-3.33,-4.33,-4.0,-4.0,-2.5,2.0,0.0
2785.0,1,1,0.0,0.0,2.0,5.75,3.67,-3.67,-1.67,0.0,0.0
9220.0,1,2,-2.0,-2.0,2.0,5.33,4.75,4.0,7.0,1.0,2.0
-11366.0,0,0,0.0,1.0,-6.6,-5.33,-1.5,-6.0,-7.0,2.0,2.0
