gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
5063.0,1,2,0.0,0.0,3.0,8.4,7.83,0.33,1.5,0.0,0.0
-416.0,0,2,1.0,0.0,0.75,3.5,2.0,-8.67,-4.2,0.0,-2.0
1081.0,0,2,0.0,-1.0,-3.75,1.2,0.6600000000000001,-3.0,-0.5,1.0,-1.0
-8513.0,0,-1,1.0,1.0,-3.67,-9.75,-0.5,-8.0,-11.0,1.0,-1.0
-2500.0,0,2,1.0,1.0,-2.5,-1.33,-1.0,1.17,-4.33,1.0,0.0
3746.0,1,2,0.0,-1.0,-1.0,4.5,4.0,-0.1699999999999999,0.0,0.0,0.0
1736.0,1,-2,1.0,0.0,0.0,6.67,5.0,0.25,1.75,1.0,1.0
164.0,1,0,1.0,0.0,1.0,2.0,-1.0,1.0,1.5,2.0,0.0
880.0,0,2,-1.0,-1.0,2.75,0.0,-1.0,-1.0,-1.5,-2.0,-2.0
-3074.0,0,-2,1.0,0.0,-1.33,2.0,-1.0,-2.8,1.5,1.0,0.0
-1622.0,0,-2,2.0,1.0,1.5,-5.0,-1.0,-0.5,2.0,2.0,0.0
-2285.0,1,2,0.0,0.0,-2.0,1.0,-1.0,4.5,3.33,2.0,1.0
15389.0,1,1,-2.0,-6.0,4.75,5.0,1.5,6.0,6.0,1.0,-1.0
1257.0,0,2,1.0,0.0,0.0,-1.33,0.1,0.0,-0.8300000000000001,1.0,1.0
-3440.0,0,-2,1.0,1.0,-0.5,-1.27,-1.0,-0.33,0.6699999999999999,-1.0,-1.0
6366.0,1,-1,0.0,-2.0,1.25,2.0,4.0,1.0,1.0,1.0,0.0
-1105.0,0,0,1.0,-1.0,-0.25,-1.0,-3.0,-1.17,3.17,3.0,1.0
-2936.0,0,-2,-1.0,0.0,-8.71,-7.0,-0.6699999999999999,1.33,-2.0,2.0,0.0
-626.0,1,0,1.0,0.0,1.17,-0.5,-6.5,-3.0,-1.0,1.0,1.0
-3686.0,1,0,1.0,0.0,-1.5,1.0,-3.33,-1.08,1.34,3.0,1.0
3900.0,1,2,1.0,-1.0,6.0,0.0,-0.33,0.0,0.9,1.0,1.0
4659.0,1,2,-2.0,-1.0,0.0,7.0,2.67,4.0,2.0,0.0,-1.0
2797.0,0,2,0.0,0.0,0.5,1.0,-1.0,0.0,-1.0,-2.0,0.0
-8872.0,0,-1,1.0,2.0,-4.0,-3.25,-10.0,-3.5,-0.6699999999999999,0.0,0.0
-5346.0,1,0,-2.0,1.0,-1.5,-4.0,-1.0,-3.0,-0.5,1.0,1.0
-730.0,1,0,2.0,-1.0,-0.6699999999999999,-1.83,-2.0,4.83,-4.0,-1.0,-1.0
