gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
381.0,1,-2,-2.0,0.0,-1.0,1.5,1.0,-0.33,-4.0,1.0,0.0
15345.0,1,1,0.0,-2.0,8.83,10.86,3.5,5.0,7.0,-2.0,-1.0
-3611.0,0,-2,0.0,0.0,-1.5,-9.6,-5.33,-5.67,-5.33,0.0,0.0
-4075.0,0,-1,0.0,0.0,-0.6699999999999999,-5.67,3.5,-5.0,-10.14,2.0,0.0
-2105.0,0,0,1.0,0.0,2.0,-1.17,-1.0,-2.25,-7.25,-2.0,0.0
6268.0,1,0,-2.0,-5.0,3.75,-2.08,1.5,4.0,-1.0,3.0,0.0
-10777.0,0,-1,2.0,3.0,-3.75,-3.5,-1.5,-4.0,-6.5,1.0,1.0
-1771.0,0,1,-1.0,0.0,0.5,-6.33,-3.5,-5.5,-3.0,-2.0,0.0
-10420.0,0,0,2.0,2.0,-2.67,-9.25,-3.67,-1.34,-8.0,0.0,0.0
-381.0,0,0,-1.0,1.0,-2.33,7.5,1.2,3.67,2.0,1.0,0.0
685.0,1,-1,1.0,0.0,3.67,1.83,-1.33,-1.0,-3.0,0.0,1.0
-7617.0,0,0,0.0,2.0,2.5,-1.33,-5.33,-7.0,-2.0,-1.0,0.0
-8513.0,0,1,1.0,0.0,0.0,-7.0,-4.0,-5.5,-5.5,-2.0,-1.0
-6279.0,0,-2,2.0,2.0,-5.8,-8.33,-4.17,-1.83,-2.0,1.0,-1.0
1148.0,1,1,-1.0,0.0,-1.5,3.0,2.0,2.0,1.0,1.0,-1.0
3252.0,0,2,1.0,-1.0,-0.33,3.0,0.0,4.0,4.0,2.0,1.0
12352.0,1,2,0.0,-1.0,2.9,1.58,8.0,9.0,8.67,2.0,0.0
-2992.0,0,-2,1.0,1.0,0.5,-3.0,-0.3299999999999999,0.0,-1.0,-2.0,0.0
13591.0,1,1,-1.0,-2.0,3.0,14.38,12.86,2.67,1.5,1.0,0.0
2668.0,1,2,-2.0,0.0,-2.0,-1.0,1.0,2.0,3.0,-1.0,0.0
-5197.0,0,2,-2.0,0.0,-7.88,-8.0,1.0,0.5,0.5,1.0,1.0
4396.0,0,-1,-1.0,0.0,-3.0,2.05,5.4,3.33,14.0,0.0,0.0
