Unnamed: 0,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
4349,-9875.0,0,-1,1.0,1.0,-4.67,-5.33,-3.75,-7.0,-8.0,-1.0,-1.0
5599,-1231.0,0,-2,-1.0,1.0,0.0,6.67,-1.5,-1.0,0.0,1.0,2.0
6973,-452.0,0,0,2.0,1.0,6.0,4.0,-1.0,-1.0,-2.0,0.0,-1.0
8983,254.0,0,2,1.0,0.0,1.2,-4.75,-1.25,-5.0,-0.1699999999999999,-2.0,0.0
9794,3764.0,1,0,-1.0,0.0,1.75,9.8,0.83,1.0,4.25,0.0,0.0
9583,-10542.0,0,-1,-1.0,1.0,-3.67,-11.33,0.0,-5.0,-11.67,1.0,0.0
7758,-7776.0,0,-2,-1.0,3.0,0.08,-7.0,-6.0,-2.2,-5.2,-1.0,0.0
8812,3945.0,0,2,-1.0,-1.0,0.0,8.0,1.5,6.0,5.33,0.0,0.0
3434,2793.0,1,0,-1.0,0.0,1.67,6.0,3.0,0.0,-1.0,0.0,2.0
5895,2623.0,1,-2,2.0,0.0,0.83,-2.5,-3.0,3.4,6.0,-1.0,0.0
7127,-13599.0,0,-1,2.0,3.0,-5.33,-2.42,-2.0,-0.5,-2.5,0.0,-1.0
9658,-5466.0,0,0,1.0,1.0,-4.75,-1.67,-2.75,-1.5,-1.0,1.0,0.0
2339,2123.0,0,2,1.0,-1.0,-2.5,-1.0,-2.0,1.0,-2.5,0.0,-1.0
3364,381.0,1,-2,-2.0,0.0,-1.0,1.5,1.0,-0.33,-4.0,1.0,0.0
8364,-5134.0,0,-2,1.0,0.0,-1.5,-5.0,-2.8,-5.1,-7.33,0.0,-1.0
8717,-4306.0,0,-1,-1.0,2.0,-1.25,-9.33,-8.5,1.33,-5.67,1.0,-1.0
3135,730.0,1,0,-1.0,0.0,5.8,-2.6,-3.0,-0.8999999999999999,-1.66,0.0,-1.0
1257,1591.0,0,-1,1.0,-1.0,0.0,-3.0,-3.25,0.3299999999999999,2.0,-3.0,-1.0
3500,2173.0,1,2,-1.0,0.0,-2.0,1.0,-5.0,2.0,1.33,2.0,0.0
7228,3353.0,1,2,-1.0,-1.0,0.75,6.0,0.75,-0.33,-1.0,2.0,-1.0
9560,-3166.0,1,0,-1.0,1.0,0.0,-1.4,0.8300000000000001,-2.67,2.0,2.0,-1.0
9305,4640.0,1,-2,-1.0,-2.0,5.67,4.0,2.0,1.67,1.0,-1.0,0.0
4828,11975.0,1,1,-1.0,-4.0,1.0,5.1,1.4,4.38,13.43,-2.0,-2.0
4844,9548.0,1,2,1.0,-3.0,1.5,0.0,2.6,1.0,2.0,-1.0,0.0
3371,-3868.0,0,0,0.0,2.0,7.67,-3.25,-1.33,0.8000000000000003,5.86,2.0,0.0
4784,14101.0,1,1,1.0,-3.0,5.83,10.6,6.75,-1.0,6.25,1.0,1.0
