Unnamed: 0,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
7122,1502.0,1,1,0.0,-1.0,1.5,-3.0,-4.0,0.3299999999999999,-1.0,1.0,-2.0
63,12477.0,1,-1,-2.0,-1.0,14.33,2.67,15.71,2.17,5.29,1.0,1.0
6093,-7244.0,1,-2,1.0,1.0,-4.0,-7.33,-0.5,-6.0,-7.0,0.0,-1.0
6535,6126.0,1,1,-1.0,-1.0,-1.0,5.0,7.0,7.0,7.25,1.0,0.0
5456,-13473.0,0,-1,2.0,3.0,-1.5,-7.0,-5.33,-9.0,-8.0,-2.0,-2.0
3,7030.0,1,2,1.0,-2.0,1.0,1.0,4.67,4.0,2.1,0.0,0.0
1851,-1614.0,0,-2,-1.0,1.0,-4.8,-12.5,0.0,1.73,-2.0,-3.0,-1.0
9415,-3472.0,0,2,1.0,0.0,5.0,-4.33,0.0,0.0,-2.5,1.0,0.0
1632,3133.0,1,0,2.0,0.0,1.0,1.5,0.75,7.33,0.1699999999999999,2.0,-1.0
9718,1380.0,0,0,0.0,0.0,-1.0,-2.25,-6.0,3.45,1.0,0.0,0.0
1234,95.0,1,2,-2.0,0.0,-1.75,1.25,-0.4199999999999999,-0.5,0.0,2.0,1.0
1386,-2672.0,0,0,0.0,1.0,-3.25,-8.0,0.5,-1.0,-7.0,1.0,0.0
546,-5825.0,0,-2,2.0,0.0,0.0,-4.5,-8.0,-3.5,3.33,2.0,2.0
8297,4822.0,1,0,-1.0,0.0,-1.5,3.0,4.5,3.0,3.0,0.0,0.0
7473,588.0,1,0,-1.0,1.0,4.75,3.5,-1.4,4.0,1.87,0.0,1.0
4347,-264.0,1,0,-1.0,1.0,3.33,3.67,2.0,0.1699999999999999,0.0,0.0,-1.0
1784,4092.0,0,1,-1.0,-2.0,2.8,2.0,0.3399999999999998,2.25,-3.0,0.0,-1.0
7302,-9139.0,0,-1,2.0,1.0,0.0,-8.0,-8.67,-2.5,-7.5,0.0,0.0
3593,6359.0,1,2,1.0,-1.0,2.5,7.33,-0.9,2.5,3.0,-1.0,0.0
305,-3247.0,1,-2,0.0,1.0,2.5,-0.13,0.8300000000000001,-3.5,-3.0,-2.0,-1.0
1757,-90.0,1,0,1.0,0.0,1.0,-9.0,-2.08,-4.0,2.0,2.0,1.0
2424,2086.0,1,2,1.0,0.0,0.25,-2.0,-1.0,0.5,2.33,3.0,0.0
3761,-353.0,0,2,1.0,0.0,-2.67,2.5,-1.0,0.0,-2.5,-1.0,1.0
2461,-5250.0,1,2,0.0,-1.0,1.3,-4.0,-6.0,-7.0,-3.5,1.0,0.0
1482,5052.0,0,0,1.0,-1.0,1.0,11.67,-1.5,0.25,1.42,1.0,0.0
477,490.0,1,2,-2.0,0.0,-1.67,7.0,5.5,-3.33,5.5,2.0,0.0
3111,-7202.0,0,-2,-1.0,2.0,1.33,-1.83,-5.67,-0.6000000000000001,-1.83,0.0,-1.0
5683,7237.0,1,2,0.0,-2.0,0.5800000000000001,3.0,3.0,4.5,1.0,0.0,1.0
9253,-7308.0,0,-2,0.0,1.0,-1.0,-2.5,1.0,-5.5,-6.0,-1.0,0.0
9021,-3482.0,0,-2,1.0,1.0,1.0,3.5,1.33,-0.5800000000000001,-4.0,-1.0,-1.0
2627,6290.0,1,1,-1.0,-2.0,0.6699999999999999,1.83,2.0,-0.25,1.33,-3.0,0.0
2731,10099.0,1,2,0.0,-2.0,-1.0,7.67,1.66,3.5,10.67,-1.0,2.0
4687,-4637.0,0,0,0.0,0.0,-2.0,-1.5,-2.25,-1.7,-2.75,2.0,0.0
5975,3422.0,0,2,0.0,-1.0,2.4,7.33,-1.0,3.83,1.5,0.0,-1.0
93,5759.0,1,0,0.0,-1.0,-0.5,10.4,3.67,2.5,6.0,-1.0,-1.0
2323,2009.0,0,-1,0.0,-1.0,-0.6699999999999999,1.33,-0.3999999999999999,0.83,0.0,1.0,0.0
6155,-3246.0,1,-2,-1.0,1.0,0.0,0.75,-3.0,0.0,1.0,-2.0,-1.0
4121,1077.0,0,0,2.0,-1.0,-1.0,-2.0,-2.0,-3.0,-3.67,-2.0,-2.0
2946,-1585.0,1,2,1.0,0.0,4.4,1.17,6.67,-2.0,-2.5,2.0,-1.0
3733,698.0,0,0,0.0,-1.0,5.25,-9.33,-3.67,-0.6699999999999999,-0.5,1.0,1.0
9245,7295.0,0,2,1.0,-1.0,1.33,12.6,7.75,7.25,2.0,0.0,1.0
9865,525.0,0,-1,-2.0,1.0,-4.33,4.0,5.25,1.17,2.0,2.0,0.0
7149,701.0,1,0,1.0,0.0,1.0,0.6699999999999999,-1.5,-0.75,-0.5300000000000002,-1.0,-1.0
279,-4307.0,0,-2,0.0,0.0,-2.0,-1.0,-2.0,-1.0,-4.75,1.0,0.0
5678,774.0,0,0,-1.0,0.0,-0.66,-1.0,3.67,5.0,-1.5,1.0,-1.0
9075,-2787.0,0,0,2.0,0.0,0.5,-9.0,-2.25,-3.0,-2.33,0.0,0.0
6040,-2363.0,0,-2,2.0,0.0,0.0,-3.0,-4.5,0.6699999999999999,-5.0,0.0,0.0
5807,-3347.0,0,0,1.0,0.0,-2.0,-8.6,-2.17,-3.0,-2.0,2.0,0.0
1356,2005.0,1,2,1.0,0.0,0.5,0.0,6.33,0.0,6.0,1.0,0.0
4643,-2483.0,0,-2,-1.0,0.0,-3.0,-2.0,-1.0,-2.0,-3.0,-2.0,-1.0
145,-2259.0,0,0,0.0,1.0,1.5,-2.5,-0.6699999999999999,0.0,-1.0,-1.0,1.0
5806,2095.0,1,2,-2.0,0.0,0.8300000000000001,2.0,3.0,0.0,-1.0,-1.0,0.0
112,1834.0,1,2,-1.0,-1.0,0.83,0.8300000000000001,-3.5,1.0,1.5,-1.0,0.0
6138,1501.0,1,2,-1.0,0.0,2.17,1.0,0.0,4.0,2.0,-1.0,1.0
9553,1929.0,0,-2,-1.0,-1.0,-0.33,2.0,1.67,0.33,-4.5,1.0,0.0
1232,-4640.0,0,-2,0.0,1.0,-1.6,0.5,1.67,-1.3,-1.0,0.0,-1.0
6205,9936.0,1,2,-2.0,-2.0,2.5,6.67,1.25,1.0,4.0,-2.0,0.0
7718,11883.0,1,0,0.0,-2.0,3.3,1.5,3.75,6.17,6.33,-1.0,-1.0
